학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00015,경영학의이해,3(3)
1학년/1학기,교양필수,U00066,기업회계의이해,3(3)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00017,경제학의이해,3(3)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00335,응용통계학,3(3)
1학년/2학기,전공핵심,BUS019,회계원리,3(3)
2학년/1학기,전공핵심,BUS080,HR과조직시스템의이해,3(3)
2학년/1학기,전공핵심,BUS033,경영정보시스템,3(3)
2학년/1학기,전공핵심,BUS008,마케팅원론,3(3)
2학년/1학기,전공핵심,BUS035,생산운영관리,3(3)
2학년/1학기,전공핵심,BUS024,재무관리원론,3(3)
2학년/1학기,전공선택,BUS027,21세기지식특강,1(1)
2학년/1학기,전공선택,BUS095,글로벌시대에서의사회적기업가정신,3(3)
2학년/1학기,전공선택,BUS012,원가회계,3(3)
2학년/1학기,전공선택,BUS028,재무회계,3(3)
2학년/2학기,전공핵심,BUS096,벤처경영과기업가정신,3(3)
2학년/2학기,전공핵심,BUS011,소비자행동론,3(3)
2학년/2학기,전공핵심,BUS021,인터넷비즈니스,3(3)
2학년/2학기,전공핵심,BUS017,투자론,3(3)
2학년/2학기,전공선택,BUS027,21세기지식특강,1(1)
2학년/2학기,전공선택,BUS088,글로벌ESG경영환경의이해,3(3)
2학년/2학기,전공선택,BUS077,비즈니스코딩기초와활용,3(3)
2학년/2학기,전공선택,BUS015,조직행위론,3(3)
2학년/2학기,전공선택,BUS097,지속가능을위한비즈니스애널리틱스,3(3)
3학년/1학기,전공핵심,BUS004,국제경영학,3(3)
3학년/1학기,전공선택,BUS003,광고론,3(3)
3학년/1학기,전공선택,BUS022,기업재무론,3(3)
3학년/1학기,전공선택,BUS038,비즈니스운영방법론,3(3)
3학년/1학기,전공선택,BUS071,빅데이터분석과응용,3(3)
3학년/1학기,전공선택,BUS081,조직이론과설계,3(3)
3학년/2학기,전공핵심,BUS018,품질경영,3(3)
3학년/2학기,전공선택,BUS044,ICT활용과이슈,3(3)
3학년/2학기,전공선택,BUS091,경영소프트웨어활용,3(3)
3학년/2학기,전공선택,BUS037,경영실무인턴십(현장실습),3(3)
3학년/2학기,전공선택,BUS094,공급사슬과ESG,3(3)
3학년/2학기,전공선택,BUS084,공급사슬과물류관리,3(3)
3학년/2학기,전공선택,BUS048,국제비즈니스협상,3(3)
3학년/2학기,전공선택,BUS007,노사관계론,3(3)
3학년/2학기,전공선택,BUS010,마케팅조사론,3(3)
3학년/2학기,전공선택,BUS089,미래경영론,3(3)
3학년/2학기,전공선택,BUS090,비즈니스애널리틱스의기초와활용,3(3)
3학년/2학기,전공선택,T00056,상업정보교육론,3(3)
3학년/2학기,전공선택,BUS036,아시아비즈니스,3(3)
3학년/2학기,전공선택,BUS034,유통관리,3(3)
3학년/2학기,전공선택,BUS013,인적자원관리론,3(3)
3학년/2학기,전공선택,BUS014,자본시장론,3(3)
4학년/1학기,전공선택,BUS037,경영실무인턴십(현장실습),3(3)
4학년/1학기,전공선택,BUS001,경영전략론,3(3)
4학년/1학기,전공선택,BUS076,고급금융실무,3(3)
4학년/1학기,전공선택,BUS005,금융기관론,3(3)
4학년/1학기,전공선택,BUS025,기업윤리,3(3)
4학년/1학기,전공선택,BUS009,마케팅전략,3(3)
4학년/1학기,전공선택,T00057,상업정보교재연구및지도법,3(3)
4학년/1학기,전공선택,BUS026,서비스경영,3(3)
4학년/1학기,전공선택,BUS050,서비스마케팅,3(3)
4학년/1학기,전공선택,BUS051,재무분석,3(3)
4학년/2학기,전공선택,BUS092,금융데이터분석,3(3)
4학년/2학기,전공선택,BUS049,금융상품론,3(3)
4학년/2학기,전공선택,BUS093,디지털마케팅,3(3)
4학년/2학기,전공선택,T00157,상업정보논리및논술,2(2)
4학년/2학기,전공선택,BUS039,제품혁신전략,3(3)
4학년/2학기,전공선택,BUS098,창업실무,3(3)
