학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
2학년/1학기,전공핵심,ASM015,AI를위한수학 I,3(3)
2학년/1학기,전공핵심,ASM010,프로그래밍기초,3(3)
2학년/1학기,전공선택,ASM016,C++프로그래밍,3(4)
2학년/1학기,전공선택,ASM014,오픈소스SW의이해,2(2)
2학년/2학기,전공핵심,ASM007,JAVA프로그래밍,3(4)
2학년/2학기,전공핵심,ASM022,웹프로그래밍 I,3(3)
2학년/2학기,전공핵심,ASM006,컴퓨터구조,3(3)
2학년/2학기,전공선택,ASM012,데이터분석,3(3)
3학년/1학기,전공핵심,ASM019,기계학습,3(3)
3학년/1학기,전공핵심,ASM004,운영체제,3(3)
3학년/1학기,전공핵심,ASM005,자료구조,3(3)
3학년/1학기,전공핵심,ASM028,현장실습(소프트웨어응용),3(3)
3학년/1학기,전공선택,ASM026,임베디드시스템(Arduino),3(4)
3학년/2학기,전공핵심,ASM001,데이터베이스,3(3)
3학년/2학기,전공핵심,ASM002,소프트웨어공학,3(3)
3학년/2학기,전공핵심,ASM003,알고리즘,3(3)
3학년/2학기,전공선택,ASM018,게임프로그래밍 I,3(4)
3학년/2학기,전공선택,ASM013,딥러닝,3(3)
4학년/1학기,전공핵심,ASM008,모바일프로그래밍,3(3)
4학년/1학기,전공핵심,ASM024,융합CDP(1),2(4)
4학년/1학기,전공핵심,ASM028,현장실습(소프트웨어응용),3(3)
4학년/1학기,전공선택,ASM017,UX/UI디자인 I,3(4)
4학년/1학기,전공선택,ASM021,디지털과상상력,3(3)
4학년/1학기,전공선택,ASM009,빅데이터응용,3(3)
4학년/1학기,전공선택,ASM023,웹프로그래밍 II,3(3)
4학년/2학기,전공핵심,ASM025,융합CDP(2),2(4)
4학년/2학기,전공핵심,ASM028,현장실습(소프트웨어응용),3(3)
4학년/2학기,전공선택,ASM020,데이터분석화와시각화,3(3)
4학년/2학기,전공선택,ASM011,웹프레임워크,3(3)
4학년/2학기,전공선택,ASM027,지리정보시스템(GIS)활용역량학습,3(3)
