학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/1학기,교양필수,U00336,의사소통기술,3(3)
1학년/1학기,전공선택,FES034,전학세미나,2(2)
1학년/2학기,교양필수,U00017,경제학의이해,3(3)
1학년/2학기,교양필수,U00677,글로벌문화와소통의이해,3(3)
1학년/2학기,전공핵심,FES044,식품자원경제학,3(3)
1학년/2학기,전공핵심,FES022,외식산업개론,3(3)
1학년/2학기,전공선택,FES034,전학세미나,2(2)
2학년/1학기,전공핵심,FES002,경영학원론,3(3)
2학년/1학기,전공핵심,FES005,미시경제학,3(3)
2학년/1학기,전공핵심,FES020,식음료개론,3(3)
2학년/1학기,전공선택,FES017,경제통계학,3(3)
2학년/1학기,전공선택,FES058,농식품산회계,3(3)
2학년/1학기,전공선택,FES004,마케팅원론,3(3)
2학년/1학기,전공선택,FES032,바리스타실무론,2(4)
2학년/1학기,전공선택,FES026,한식조리및실습,2(4)
2학년/2학기,전공핵심,FES001,거시경제학,3(3)
2학년/2학기,전공핵심,FES009,농식품시장론,3(3)
2학년/2학기,전공핵심,FES043,식품자원경영학,3(3)
2학년/2학기,전공핵심,FES027,농업경영학원론,3(3)
2학년/2학기,전공선택,FES025,양식조리및실습,2(4)
2학년/2학기,전공선택,FES046,외식과관광경영,3(3)
2학년/2학기,전공선택,FES063,조리원리,3(3)
3학년/1학기,전공핵심,FES050,외식서비스마케팅,3(3)
3학년/1학기,전공핵심,FES021,외식창업론,3(3)
3학년/1학기,전공선택,FES010,경영의사결정론,3(3)
3학년/1학기,전공선택,FES018,관광학원론,3(3)
3학년/1학기,전공선택,FES057,식품산업경영분석,3(3)
3학년/1학기,전공선택,FES060,지역개발이론과실제,3(3)
3학년/2학기,전공핵심,FES040,농식품정책론,3(3)
3학년/2학기,전공핵심,FES049,외식산업촉진론,3(3)
3학년/2학기,전공선택,FES064,디지털실습,2(4)
3학년/2학기,전공선택,FES048,외식사업시장분석,3(3)
3학년/2학기,전공선택,FES036,외식산업컨설팅,3(3)
3학년/2학기,전공선택,FES051,응용가격분석론,3(3)
3학년/2학기,전공선택,FES062,푸드테크론,3(3)
3학년/2학기,전공선택,FES061,협동조합이해와실제,3(3)
4학년/1학기,전공핵심,FES033,프랜차이즈산업론,3(3)
4학년/1학기,전공선택,FES030,서비스기업인사관리,3(3)
4학년/1학기,전공선택,FES007,소비자행동론,3(3)
4학년/1학기,전공선택,FES050,응용계량경제학,1(1)
4학년/1학기,전공선택,FES014,현장실습(1),3(3)
4학년/2학기,전공핵심,FES031,식품시장조사방법론,3(3)
4학년/2학기,전공선택,FES019,메뉴관리론,3(3)
4학년/2학기,전공선택,FES015,현장실습(2),3(3)
4학년/2학기,전공선택,FES013,환경경제학,3(3)
