학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00258,실용영어,3(3)
1학년/1학기,교양필수,U00336,의사소통기술,3(3)
1학년/1학기,전공핵심,FHS266,주거설계기초,2(4)
1학년/1학기,전공핵심,FHS193,한국주거의이해,3(3)
1학년/1학기,전공선택,FHS225,생활과학의이해,1(1)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00580,지속가능한공공디자인,3(3)
1학년/2학기,교양필수,U00541,현대인과생활환경,3(3)
1학년/2학기,전공핵심,FHS265,공간설계와조형,2(4)
1학년/2학기,전공핵심,FHS173,주택과실내디자인,3(3)
1학년/2학기,전공선택,FHS209,공간과CAD,2(4)
2학년/1학기,전공핵심,FHS097,실내디자인사,3(3)
2학년/1학기,전공핵심,FHS236,주거계획과서비스,3(4)
2학년/1학기,전공핵심,FHS155,주거와복지,3(3)
2학년/1학기,전공핵심,FHS166,주거환경학,3(4)
2학년/1학기,전공선택,FHS240,공간과그래픽,2(4)
2학년/1학기,전공선택,FHS246,공동주택디자인스튜디오,3(6)
2학년/2학기,전공핵심,FHS260,특수계층과주거,3(3)
2학년/2학기,전공선택,FHS241,공간과미디어,2(4)
2학년/2학기,전공선택,FHS098,실내디자인스튜디오,3(6)
2학년/2학기,전공선택,FHS147,조명디자인,3(4)
2학년/2학기,전공선택,FHS262,환경행태와심리,3(3)
3학년/1학기,전공핵심,FHS237,인간공학,3(4)
3학년/1학기,전공핵심,FHS261,환경색채학,3(4)
3학년/1학기,전공선택,T00146,가정논리및논술,2(2)
3학년/1학기,전공선택,FHS243,공간환경디자인스튜디오(1),3(6)
3학년/1학기,전공선택,FHS055,디지털디자인,2(4)
3학년/1학기,전공선택,FHS251,실내환경재료,2(3)
3학년/2학기,전공핵심,FHS255,주거디자인과커뮤니티,3(3)
3학년/2학기,전공선택,T00002,가정교재연구및지도법,3(3)
3학년/2학기,전공선택,FHS244,공간환경디자인스튜디오(2),3(6)
3학년/2학기,전공선택,FHS224,상업공간디스플레이,2(4)
3학년/2학기,전공선택,FHS263,실내건축시공관리,3(3)
3학년/2학기,전공선택,FHS239,주거관리행정,2(2)
3학년/2학기,전공선택,FHS256,주거및시설안전관리,2(2)
3학년/2학기,전공선택,FHS259,주택유지관리,3(3)
4학년/1학기,전공핵심,FHS245,공간환경디자인스튜디오(3),4(8)
4학년/1학기,전공선택,FHS238,가구디자인,2(4)
4학년/1학기,전공선택,T00001,가정교육론,3(3)
4학년/1학기,전공선택,FHS253,인간공학실무,2(2)
4학년/1학기,전공선택,FHS257,주거복지컨설팅,3(3)
4학년/1학기,전공선택,FHS258,주거환경조사기획,3(3)
4학년/2학기,전공핵심,FHS252,융합공간디자인기획,3(3)
4학년/2학기,전공선택,FHS242,공간마케팅과경영,2(2)
4학년/2학기,전공선택,FHS232,도시환경디자인기획,3(3)
4학년/2학기,전공선택,FHS249,디자인과포트폴리오,2(4)
