학년/학기,구분,학수번호,교과목명,학점(시간)
2학년/1학기,전공선택,CHE017,무기화학(1),3(3)
2학년/1학기,전공선택,CHE025,물리화학(1),3(3)
2학년/1학기,전공선택,CHE037,분석화학(1),3(3)
2학년/1학기,전공선택,LSC057,생태학,3(3)
2학년/1학기,전공선택,LSC061,세포생물학,3(3)
2학년/1학기,전공선택,LSC070,식물분류학,3(3)
2학년/1학기,전공선택,PHY078,역학(1),3(3)
2학년/1학기,전공선택,CHE067,유기화학(1),3(3)
2학년/1학기,전공선택,PHY143,현대물리학,3(3)
2학년/2학기,전공선택,LSC077,식물형태학,3(3)
2학년/2학기,전공선택,CHE068,유기화학(2),3(3)
2학년/2학기,전공선택,LSC090,유전학,3(3)
2학년/2학기,전공선택,PHY123,전자기학(1),3(3)
2학년/2학기,전공선택,LSC127,행동생물학,3(3)
3학년/1학기,전공선택,T00176,과학교육론,3(3)
3학년/1학기,전공선택,PHY074,양자역학(1),3(3)
3학년/1학기,전공선택,SCE004,지질학,3(3)
3학년/2학기,전공선택,T00178,과학교재연구및지도법,3(3)
3학년/2학기,전공선택,SCE007,대기학,3(3)
3학년/2학기,전공선택,LSC025,미생물학,3(3)
3학년/2학기,전공선택,PHY158,방사선의학물리학,2(2)
4학년/1학기,전공선택,T00148,과학논리및논술,2(2)
4학년/1학기,전공선택,SCE008,일반지구과학및실험,3(4)
4학년/2학기,전공선택,PHY162,영어물리프리젠테이션,2(2)
4학년/2학기,전공선택,PHY136,파동과레이저,3(3)
