학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00800,계열실무영어,3(3)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/1학기,전공핵심,LI0021,기초디자인(1),2(3)
1학년/1학기,전공선택,LI0156,기초디지털드로잉,2(3)
1학년/1학기,전공선택,LI0040,디자인발상,2(3)
1학년/1학기,전공선택,LI0048,디지털2D일러스트연구,2(3)
1학년/2학기,교양필수,U00687,리빙디자인문화,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,전공핵심,LI0022,기초디자인(2),2(3)
1학년/2학기,전공핵심,LI0190,목재조형도구기법,2(3)
1학년/2학기,전공핵심,LI0189,세라믹자인제품실습,2(3)
1학년/2학기,전공핵심,LI0188,텍스타일소재와트렌드,2(3)
1학년/2학기,전공선택,LI0044,디자인역사,2(2)
1학년/2학기,전공선택,LI0047,디자인프로세스,2(3)
2학년/1학기,전공핵심,LI0049,디지털3D일러스트연구,2(3)
2학년/1학기,전공선택,LI0010,가구조형과구조,2(3)
2학년/1학기,전공선택,LI0046,디자인특강,2(2)
2학년/1학기,전공선택,LI0069,섬유디자인,2(3)
2학년/1학기,전공선택,LI0078,세라믹디자인,2(3)
2학년/1학기,전공선택,LI0110,조형실습,2(3)
2학년/1학기,전공선택,LI0124,패션디자인,2(3)
2학년/2학기,전공핵심,LI0157,디지털드로잉,2(3)
2학년/2학기,전공선택,LI0162,가구디자인기법,2(3)
2학년/2학기,전공선택,LI0187,디자인과색채,2(3)
2학년/2학기,전공선택,LI0032,디자인과테크놀로지,2(2)
2학년/2학기,전공선택,LI0052,리빙디자인,2(3)
2학년/2학기,전공선택,LI0074,섬유소재기획,2(3)
2학년/2학기,전공선택,LI0081,세라믹디자인기법,2(3)
2학년/2학기,전공선택,LI0168,현대리빙디자인의이해,3(3)
3학년/1학기,전공핵심,LI0193,가구디자인워크숍(종합설계),2(3)
3학년/1학기,전공핵심,LI0192,산업세라믹디자인(종합설계),2(3)
3학년/1학기,전공핵심,LI0191,홈인테리어작품디자인(종합설계),2(3)
3학년/1학기,전공선택,LI0171,디자인논리및논술,2(2)
3학년/1학기,전공선택,LI0056,문화상품디자인워크숍,2(3)
3학년/1학기,전공선택,LI0068,서비스디자인,2(3)
3학년/1학기,전공선택,LI0104,장식디자인,2(3)
3학년/1학기,전공선택,LI0200,현장실습(생활제품디자인1),3(3)
3학년/2학기,전공핵심,LI0194,공방세라디자인(종합설계),2(3)
3학년/2학기,전공핵심,LI0195,아트퍼니처(종합설계),2(3)
3학년/2학기,전공핵심,LI0196,텍스타일프로덕트디자인(종합설계),2(3)
3학년/2학기,전공선택,LI0169,디자인교육론,3(3)
3학년/2학기,전공선택,LI0189,리빙프로덕트캡스톤디자인(1),2(4)
3학년/2학기,전공선택,LI0201,현장실습(생활제품디자인2),3(3)
4학년/1학기,전공선택,LI0170,디자인교재연구및지도법,3(3)
4학년/1학기,전공선택,LI0202,디지털모델링(캡스톤디자인),2(4)
4학년/1학기,전공선택,LI0053,리빙세라믹디자인,2(3)
4학년/1학기,전공선택,LI0173,섬유디자인프로젝트(1),2(3)
4학년/1학기,전공선택,LI0176,세라믹디자인프로젝트(1),2(3)
4학년/1학기,전공선택,LI0183,아트텍스타일연구(1),2(3)
4학년/1학기,전공선택,LI0178,아트퍼니처프로젝트(1),2(3)
4학년/1학기,전공선택,LI0185,퍼니처프로덕트디자인(1),2(3)
4학년/2학기,전공핵심,LI0127,포트폴리오기획,2(3)
4학년/2학기,전공선택,LI0182,리빙세라믹디자인특수연구,2(3)
4학년/2학기,전공선택,LI0174,섬유디자인프로젝트(2),2(3)
4학년/2학기,전공선택,LI0177,세라믹디자인프로젝트(2),2(3)
4학년/2학기,전공선택,LI0184,아트텍스타일연구(2),2(3)
4학년/2학기,전공선택,LI0179,아트퍼니처프로젝트(2),2(3)
4학년/2학기,전공선택,LI0105,전시디자인,2(3)
4학년/2학기,전공선택,LI0186,퍼니처프로덕트디자인(2),2(3)
