학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00286,언어와인간,3(3)
1학년/1학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/1학기,전공핵심,KOR116,고전문학의이해,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00217,생활한자,3(3)
1학년/2학기,교양필수,U00258,실용영어,3(3)
1학년/2학기,전공핵심,KOR031,국어학입문,3(3)
1학년/2학기,전공핵심,KOR119,현대문학의이해,3(3)
2학년/1학기,전공핵심,KOR055,우리말소리의이해,3(3)
2학년/1학기,전공핵심,KOR091,현대소설의이해,3(3)
2학년/1학기,전공핵심,KOR093,현대시론,3(3)
2학년/1학기,전공선택,KOR133,지역재생을위한웹수사학,3(3)
2학년/2학기,전공핵심,KOR130,국어문법의이해,3(3)
2학년/2학기,전공핵심,KOR075,한국한문학의이해,3(3)
2학년/2학기,전공핵심,KOR096,현대시인론,3(3)
2학년/2학기,전공선택,KOR006,고전소설론,3(3)
2학년/2학기,전공선택,KOR127,스토리텔링의이론과실습,3(3)
3학년/1학기,전공핵심,KOR131,국어의미화용론,3(3)
3학년/1학기,전공핵심,KOR132,우리말의역사,3(3)
3학년/1학기,전공핵심,KOR098,희곡과공연예술,3(3)
3학년/1학기,전공선택,KOR005,고전문학사,3(3)
3학년/1학기,전공선택,T00027,국어교육론,3(3)
3학년/1학기,전공선택,KOR129,창작의이론과실습,3(3)
3학년/1학기,전공선택,KOR126,한국고전문헌과소통의철학,3(3)
3학년/1학기,전공선택,KOR092,현대소설작가의이해,3(3)
3학년/2학기,전공핵심,KOR009,구비문학의이해,3(3)
3학년/2학기,전공핵심,KOR022,국어방언의이해,3(3)
3학년/2학기,전공핵심,KOR068,한국근세시가론,3(3)
3학년/2학기,전공선택,T00029,국어교재연구및지도법,3(3)
3학년/2학기,전공선택,KOR134,디지털시대소설읽기,3(3)
3학년/2학기,전공선택,KOR104,한국문학과세계문학,3(3)
3학년/2학기,전공선택,KOR120,현대시와공존의윤리,3(3)
4학년/1학기,전공핵심,KOR039,문학과영상예술,3(3)
4학년/1학기,전공선택,T00150,국어논리및논술,2(2)
4학년/1학기,전공선택,KOR115,의사소통교육론,3(3)
4학년/1학기,전공선택,KOR064,한국고시가론,3(3)
4학년/2학기,전공선택,KOR128,고시가의현대적재생산,3(3)
4학년/2학기,전공선택,KOR125,드라마창작연습,3(3)
4학년/2학기,전공선택,KOR114,문학교육론,3(3)
