학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00145,미분적분학(1),3(3)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00469,통계학(1),3(3)
1학년/2학기,교양필수,U00146,미분적분학(2),3(3)
1학년/2학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/2학기,교양필수,U00798,파이썬프로그래밍,3(3)
2학년/1학기,전공핵심,MAT032,선형대수학,3(3)
2학년/1학기,전공핵심,MAT116,수학적프로그래밍및실습,3(3)
2학년/1학기,전공선택,MAT095,미분방정식,3(3)
2학년/1학기,전공선택,T00158,수학논리및논술,2(2)
2학년/1학기,전공선택,MAT092,확률및통계,3(3)
2학년/2학기,전공핵심,MAT096,수치해석학,3(3)
2학년/2학기,전공핵심,MAT098,해석학개론,3(3)
2학년/2학기,전공선택,MAT102,응용미분방정식,3(3)
2학년/2학기,전공선택,MAT103,응용선형대수학,3(3)
2학년/2학기,전공선택,MAT067,정수론,3(3)
3학년/1학기,전공핵심,MAT094,기하학개론,3(3)
3학년/1학기,전공핵심,MAT101,위상수학개론,3(3)
3학년/1학기,전공핵심,MAT074,해석학,3(3)
3학년/1학기,전공선택,MAT019,보험수학(1),3(3)
3학년/1학기,전공선택,MAT104,응용수치해석학,3(3)
3학년/1학기,전공선택,MAT108,정보와수리과학,3(3)
3학년/1학기,전공선택,MAT068,조합론,3(3)
3학년/1학기,전공선택,MAT109,현대대수학개론,3(3)
3학년/2학기,전공핵심,MAT107,이산수학과알고리즘,3(3)
3학년/2학기,전공핵심,MAT099,현대대수학,3(3)
3학년/2학기,전공선택,MAT100,미분기하학과응용,3(3)
3학년/2학기,전공선택,T00065,수학교재연구및지도법,3(3)
3학년/2학기,전공선택,MAT112,수학캡스톤디자인(1),2(4)
3학년/2학기,전공선택,MAT113,수학현장실습(1),3(3)
3학년/2학기,전공선택,MAT050,위상수학,3(3)
3학년/2학기,전공선택,MAT058,응용해석학,3(3)
4학년/1학기,전공선택,MAT002,그래프론,3(3)
4학년/1학기,전공선택,T00063,수학교육론,3(3)
4학년/1학기,전공선택,MAT045,수학세미나(1),3(3)
4학년/1학기,전공선택,MAT115,수학현장실습(2),3(3)
4학년/1학기,전공선택,MAT105,응용수학특강(1),3(3)
4학년/1학기,전공선택,MAT110,현대대수학과응용,3(3)
4학년/2학기,전공선택,MAT020,보험수학(2),3(3)
4학년/2학기,전공선택,MAT022,복소해석학,3(3)
4학년/2학기,전공선택,MAT035,수리계획법,3(3)
4학년/2학기,전공선택,MAT046,수학세미나(2),3(3)
4학년/2학기,전공선택,MAT106,응용수학특강(2),3(3)
4학년/2학기,전공선택,MAT073,편미분방정식,3(3)
