학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00015,경영학의이해,3(3)
1학년/1학기,교양필수,U00017,경제학의이해,3(3)
1학년/1학기,교양필수,U00066,기업회계의이해,3(3)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00802,빅데이터와지능정보사회의이해,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,전공핵심,EC0149,경제금융수학,3(3)
1학년/2학기,전공핵심,EC0146,경제학의이해(2),3(3)
2학년/1학기,전공핵심,EC0006,거시경제학,3(3)
2학년/1학기,전공핵심,EC0132,경제통계분석(1),3(3)
2학년/1학기,전공핵심,EC0076,미시경제학,3(3)
2학년/1학기,전공핵심,EC0097,수리경제학,3(3)
2학년/1학기,전공선택,EC0001,21세기지식특강,1(1)
2학년/1학기,전공선택,EC0019,경제영어,3(3)
2학년/1학기,전공선택,EC0131,기업금융의이해(1),3(3)
2학년/2학기,전공핵심,EC0008,거시경제학(2),3(3)
2학년/2학기,전공핵심,EC0133,경제통계분석(2),3(3)
2학년/2학기,전공핵심,EC0078,미시경제학(2),3(3)
2학년/2학기,전공선택,EC0001,21세기지식특강,1(1)
2학년/2학기,전공선택,EC0130,기업금융의이해(2),3(3)
2학년/2학기,전공선택,EC0064,노동경제학,3(3)
2학년/2학기,전공선택,EC0122,화폐금융론,3(3)
3학년/1학기,전공핵심,EC0034,계량경제학,3(3)
3학년/1학기,전공선택,EC0045,국제통화금융,3(3)
3학년/1학기,전공선택,EC0135,금융회계실무,3(3)
3학년/1학기,전공선택,EC0142,보험시장분석,3(3)
3학년/1학기,전공선택,T00170,사회교육론,3(3)
3학년/1학기,전공선택,EC0143,은행이론과실제,3(3)
3학년/1학기,전공선택,EC0104,재정학,3(3)
3학년/1학기,전공선택,EC0116,파생금융상품의이해,3(3)
3학년/2학기,전공핵심,EC0093,산업조직론,3(3)
3학년/2학기,전공선택,EC0009,게임및정보경제학,3(3)
3학년/2학기,전공선택,EC0042,국제무역론,3(3)
3학년/2학기,전공선택,T00179,사회교재연구및지도법,3(3)
3학년/2학기,전공선택,EC0108,중국경제의이해,3(3)
3학년/2학기,전공선택,EC0144,증권시장과투자분석,3(3)
3학년/2학기,전공선택,EC0145,지역과부동산경제론,3(3)
3학년/2학기,전공선택,EC0138,현장실습(경제금융),3(3)
4학년/1학기,전공선택,EC0012,경제금융세미나,3(3)
4학년/1학기,전공선택,EC0029,경제정책론,3(3)
4학년/1학기,전공선택,EC0150,금융투자사례연구,3(3)
4학년/1학기,전공선택,EC0147,동아시아지역경제,3(3)
4학년/1학기,전공선택,EC0079,법경제학,3(3)
4학년/1학기,전공선택,T00156,사회논리및논술,2(2)
4학년/1학기,전공선택,EC0095,세계화와한국경제,3(3)
4학년/1학기,전공선택,EC0138,현장실습(경제금융),3(3)
4학년/2학기,전공선택,EC0014,경제사,3(3)
4학년/2학기,전공선택,EC0080,보건경제학,3(3)
4학년/2학기,전공선택,EC0148,스포츠경제학,3(3)
