학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00072,기초수학,3(3)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00258,실용영어,3(3)
1학년/1학기,교양필수,U00361,일반물리(1),3(3)
1학년/1학기,전공필수,ARC004,건축개론,2(2)
1학년/1학기,전공필수,ARC045,건축설계의기초,3(6)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/2학기,교양필수,U00348,인간생활과건축,3(3)
1학년/2학기,전공필수,ARC187,건축구성과설계,3(6)
1학년/2학기,전공필수,ARC090,공학입문설계,2(2)
1학년/2학기,전공선택,ARC001,CAD및실습,2(4)
2학년/1학기,전공핵심,ARC017,건축구법,2(2)
2학년/1학기,전공핵심,ARC231,건축구조역학기초,3(3)
2학년/1학기,전공핵심,ARC221,건축열과공기환경,3(3)
2학년/1학기,전공선택,ARC202,건축계획,2(2)
2학년/2학기,전공핵심,ARC062,건축재료,3(3)
2학년/2학기,전공핵심,ARC086,공업수학(1),3(3)
2학년/2학기,전공선택,ARC232,건축구조역학응용,3(3)
2학년/2학기,전공선택,ARC219,건축빛과음환경,3(3)
3학년/1학기,전공핵심,ARC011,건축공학설계(1),2(4)
3학년/1학기,전공핵심,ARC048,건축설비,3(3)
3학년/1학기,전공핵심,ARC054,建築시공(1),3(3)
3학년/1학기,전공핵심,ARC112,수치해석,3(3)
3학년/1학기,전공핵심,ARC152,철근콘크리트구조(1),3(3)
3학년/1학기,전공선택,ARC234,콘크리트품질관리,3(3)
3학년/2학기,전공핵심,ARC012,건축공학설계(2),2(4)
3학년/2학기,전공핵심,ARC097,구조해석,3(3)
3학년/2학기,전공선택,ARC218,건물에너지,2(4)
3학년/2학기,전공선택,ARC034,건축법규,3(3)
3학년/2학기,전공선택,ARC055,건축시공(2),2(2)
3학년/2학기,전공선택,ARC065,건축적산,2(2)
3학년/2학기,전공선택,ARC153,철근콘크리트구조(2),2(2)
4학년/1학기,전공핵심,ARC015,건축공학종합설계,2(4)
4학년/1학기,전공핵심,ARC223,공정관리및실습,3(4)
4학년/1학기,전공선택,ARC233,건축설비실무,3(6)
4학년/1학기,전공선택,ARC213,녹색건축실무기술,2(2)
4학년/1학기,전공선택,ARC143,철골구조,3(3)
4학년/1학기,전공선택,ARC167,현장실습(건축공학),3(3)
4학년/2학기,전공선택,ARC174,건축공학BIM,2(4)
4학년/2학기,전공선택,ARC193,건축공학실무,3(3)
4학년/2학기,전공선택,ARC064,건축재료실험,2(4)
4학년/2학기,전공선택,ARC075,건축환경실험,2(4)
4학년/2학기,전공선택,ARC209,스마트건축,2(4)
4학년/2학기,전공선택,ARC167,현장실습(건축공학),3(3)
