학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00072,기초수학,3(3)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00258,실용영어,3(3)
1학년/1학기,교양필수,U00361,일반물리(1),3(3)
1학년/1학기,전공필수,ARC004,건축개론,2(2)
1학년/1학기,전공필수,ARC045,건축설계의기초,3(6)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/2학기,교양필수,U00348,인간생활과건축,3(3)
1학년/2학기,전공필수,ARC187,건축구성과설계,3(6)
1학년/2학기,전공필수,ARC090,공학입문설계,2(2)
1학년/2학기,전공선택,ARC001,CAD및실습,2(4)
2학년/1학기,전공핵심,ARC079,공간디자인변천사,3(3)
2학년/1학기,전공선택,ARC228,가구계획,2(2)
2학년/1학기,전공선택,ARC003,건축CAD,2(4)
2학년/1학기,전공선택,ARC017,건축구법,3(3)
2학년/1학기,전공선택,ARC028,건축디자인스튜디오(1),6(12)
2학년/1학기,전공선택,ARC106,디자인표현기법,2(4)
2학년/2학기,전공핵심,ARC119,실내건축론,3(3)
2학년/2학기,전공선택,ARC029,건축디자인스튜디오(2),6(12)
2학년/2학기,전공선택,ARC077,경관건축론,3(3)
2학년/2학기,전공선택,ARC107,디지털건축디자인,2(4)
2학년/2학기,전공선택,ARC230,조명계획,3(3)
3학년/1학기,전공핵심,ARC239,건축디자인스튜디오(3)(종합설계),6(12)
3학년/1학기,전공핵심,ARC229,건축리모델링,3(3)
3학년/1학기,전공핵심,ARC180,색채와마감재료,3(3)
3학년/1학기,전공선택,ARC020,건축구조역학,3(3)
3학년/1학기,전공선택,ARC027,건축디자인론,3(3)
3학년/2학기,전공핵심,ARC240,건축디자인스튜디오(4)(종합설계),6(12)
3학년/2학기,전공선택,ARC100,도시공간디자인,3(3)
3학년/2학기,전공선택,ARC199,실내공간디자인,3(3)
3학년/2학기,전공선택,ARC200,환경과설비,3(3)
3학년/2학기,전공선택,ARC171,환경심리행태론,3(3)
4학년/1학기,전공핵심,ARC196,건축디자인스튜디오(5)(종합설계),6(12)
4학년/1학기,전공선택,ARC078,경관미학,2(2)
4학년/1학기,전공선택,ARC213,녹색건축실무기술,2(2)
4학년/1학기,전공선택,ARC177,전통건축디자인,3(3)
4학년/1학기,전공선택,ARC214,현장실습1(건축디자인),3(3)
4학년/2학기,전공핵심,ARC197,건축디자인스튜디오(6)(종합설계),2(4)
4학년/2학기,전공선택,ARC034,건축법규,3(3)
4학년/2학기,전공선택,ARC105,디자인매니지먼트,2(2)
4학년/2학기,전공선택,ARC215,현장실습2(건축디자인),3(3)
