학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00072,기초수학,3(3)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00361,일반물리(1),3(3)
1학년/2학기,교양필수,U00801,C프로그래밍,3(3)
1학년/2학기,교양필수,U00145,미분적분학(1),3(3)
1학년/2학기,교양필수,U00258,실용영어,3(3)
1학년/2학기,전공선택,ELE012,공학입문설계,2(2)
2학년/1학기,전공핵심,ELE010,공업수학(1),3(3)
2학년/1학기,전공핵심,ELE071,전기공학기초실험(1),1(2)
2학년/1학기,전공핵심,ELE122,전자기학(1),3(3)
2학년/1학기,전공핵심,ELE144,회로이론(1),3(3)
2학년/1학기,전공선택,ELE018,논리회로,3(3)
2학년/2학기,전공핵심,ELE072,전기공학기초실험(2),1(2)
2학년/2학기,전공핵심,ELE123,전자기학(2),3(3)
2학년/2학기,전공핵심,ELE145,회로이론(2),3(3)
2학년/2학기,전공선택,ELE049,신호및시스템,3(3)
2학년/2학기,전공선택,ELE160,전기전자재료,3(3)
3학년/1학기,전공핵심,ELE156,자동제어(1),3(3)
3학년/1학기,전공핵심,ELE080,전기기기(1),3(3)
3학년/1학기,전공핵심,ELE111,전력전송공학,3(3)
3학년/1학기,전공선택,ELE041,수치해석,3(3)
3학년/1학기,전공선택,ELE048,신에너지공학,3(3)
3학년/1학기,전공선택,ELE093,전기설비설계,3(3)
3학년/1학기,전공선택,ELE125,전자회로,3(3)
3학년/2학기,전공핵심,ELE033,배전계통운용,3(3)
3학년/2학기,전공핵심,ELE157,자동제어(2),3(3)
3학년/2학기,전공핵심,ELE081,전기기기(2),3(3)
3학년/2학기,전공핵심,ELE113,전력전자공학,3(3)
3학년/2학기,전공선택,T00177,공업교재연구및지도법,3(3)
3학년/2학기,전공선택,ELE050,에너지및환경전자실험,1(2)
3학년/2학기,전공선택,ELE140,현장실습(전기1),3(3)
4학년/1학기,전공선택,ELE162,고전압응용공학,3(3)
4학년/1학기,전공선택,T00161,공업교육론,3(3)
4학년/1학기,전공선택,ELE016,기기및전력전자실험,1(2)
4학년/1학기,전공선택,ELE159,인공지능및응용,3(3)
4학년/1학기,전공선택,ELE114,전력전자시스템,3(3)
4학년/1학기,전공선택,ELE147,종합설계과제및운용,2(4)
4학년/1학기,전공선택,ELE141,현장실습(전기2),3(3)
4학년/2학기,전공선택,ELE155,4차산업혁명과취업/현장기술세미나,1(1)
4학년/2학기,전공선택,T00147,공업논리및논술,2(2)
4학년/2학기,전공선택,ELE158,마이크로프로세서및응용,3(3)
4학년/2학기,전공선택,ELE154,전기에너지변환,3(3)
