학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00800,계열실무영어,3(3)
1학년/1학기,교양필수,U00821,기초중국어번역연습,3(3)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00302,영문독해,3(3)
1학년/1학기,교양필수,U00456,초급중국어(1),3(3)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00250,시사영어강독,3(3)
1학년/2학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/2학기,교양필수,U00336,의사소통기술,3(3)
1학년/2학기,교양필수,U00457,초급중국어(2),3(3)
1학년/2학기,전공선택,IAT001,영미문화와사회,3(3)
1학년/2학기,전공선택,IAT002,한중기초어휘및수문형,3(3)
2학년/1학기,전공핵심,CIT010,번역과커뮤니케이션및실습입문학,3(3)
2학년/1학기,전공핵심,CIT026,통역중국어기초,3(3)
2학년/1학기,전공선택,CIT037,과제중심중국어통역연습1,3(3)
2학년/1학기,전공선택,CIT007,기초중한통용중국어,3(3)
2학년/1학기,전공선택,CIT017,중국어중한문법,3(3)
2학년/1학기,전공선택,CIT028,한중경제와사회,3(3)
2학년/1학기,전공선택,CIT029,한중학생어휘(1),3(3)
2학년/2학기,전공핵심,CIT033,중국어문학과역사의이해(1),3(3)
2학년/2학기,전공핵심,CIT027,통역중국어중급,3(3)
2학년/2학기,전공선택,CIT009,문화간커뮤니케이션,3(3)
2학년/2학기,전공선택,CIT012,실전HSK,3(3)
2학년/2학기,전공선택,CIT020,중급중한응용중국어,3(3)
2학년/2학기,전공선택,CIT030,한중학생어휘(2),3(3)
3학년/1학기,전공핵심,CIT034,중국어문학과역사의이해(2),3(3)
3학년/1학기,전공핵심,CIT002,중한번역의이론과실제(1),3(3)
3학년/1학기,전공선택,CIT036,중한관광문화통번역,3(3)
3학년/1학기,전공선택,CIT022,중한통상통번역,3(3)
3학년/2학기,전공핵심,CIT014,중국빅데이터의이해와활용,3(3)
3학년/2학기,전공핵심,CIT003,중한번역의이론과실제(2),3(3)
3학년/2학기,전공선택,CIT021,중한영상·드라마번역,3(3)
3학년/2학기,전공선택,CIT031,한중협상론,3(3)
3학년/2학기,전공선택,CIT032,항공승무원통번역,3(3)
4학년/1학기,전공핵심,CIT015,중국어순차통역,3(3)
4학년/1학기,전공선택,CIT005,CAT,3(3)
4학년/1학기,전공선택,CIT006,게임번역,3(3)
4학년/1학기,전공선택,CIT035,국제교류및경찰통번역,3(3)
4학년/1학기,전공선택,CIT024,취업실무(1),3(3)
4학년/2학기,전공핵심,CIT008,동시통역첫걸음,3(3)
4학년/2학기,전공선택,CIT004,AI&MTP,3(3)
4학년/2학기,전공선택,CIT001,중국문학의이해,3(3)
4학년/2학기,전공선택,CIT016,중국어인터뷰&PT,3(3)
4학년/2학기,전공선택,CIT025,취업실무(2),3(3)
