학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
2학년/1학기,전공핵심,INC001,공업수학(1),3(3)
2학년/1학기,전공핵심,DAS002,논리회로,3(3)
2학년/1학기,전공핵심,DAS006,프로그래밍언어,3(4)
2학년/1학기,전공선택,DAS011,오픈소스SW의이해,2(2)
2학년/2학기,전공핵심,DAS015,객체지향프로그래밍과자료구조,3(4)
2학년/2학기,전공핵심,DAS004,신호및시스템,3(3)
2학년/2학기,전공핵심,DAS009,자동차메카트로닉스,3(3)
2학년/2학기,전공핵심,DAS005,컴퓨터구조,3(3)
2학년/2학기,전공선택,DAS014,MCU프로그래밍,3(4)
3학년/1학기,전공핵심,DAS017,기능안전SW,3(3)
3학년/1학기,전공핵심,DAS008,자료구조및알고리즘,3(3)
3학년/1학기,전공선택,DAS016,기계학습,3(3)
3학년/1학기,전공선택,DAS003,데이터통신,3(3)
3학년/1학기,전공선택,DAS020,자동차OS,3(3)
3학년/2학기,전공핵심,DAS012,AUTOSAR,3(3)
3학년/2학기,전공핵심,DAS007,임베디드시스템,3(4)
3학년/2학기,전공핵심,DAS022,자동차네트워크,3(3)
3학년/2학기,전공선택,DAS010,딥러닝,3(3)
3학년/2학기,전공선택,DAS025,자동차센서,3(3)
3학년/2학기,전공선택,DAS026,자동차소프트웨어공학,3(3)
4학년/1학기,전공선택,DAS013,MBD기반SW개발,3(3)
4학년/1학기,전공선택,DAS018,미래자동차공학및제어,3(3)
4학년/1학기,전공선택,DAS024,자동차비전,3(3)
4학년/1학기,전공선택,DAS028,차량통신,3(3)
4학년/2학기,전공선택,DAS019,미래자동차성능해석,3(4)
4학년/2학기,전공선택,DAS021,자동차SW산학과제,2(2)
4학년/2학기,전공선택,DAS023,자동차보안,3(3)
4학년/2학기,전공선택,DAS027,자율주행,3(3)
