학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00072,기초수학,3(3)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00258,실용영어,3(3)
1학년/2학기,교양필수,U00801,C프로그래밍,3(3)
1학년/2학기,교양필수,U00145,미분적분학(1),3(3)
1학년/2학기,교양필수,U00514,행렬및행렬식,3(3)
2학년/1학기,전공핵심,ELT015,공업수학(1),3(3)
2학년/1학기,전공핵심,ELT024,논리회로,3(3)
2학년/1학기,전공핵심,ELT101,전자공학기초실험(1),1(2)
2학년/1학기,전공핵심,ELT106,전자기학(1),3(3)
2학년/1학기,전공핵심,ELT141,프로그래밍언어,3(4)
2학년/1학기,전공핵심,ELT155,회로이론(1),3(3)
2학년/1학기,전공선택,ELT160,진로적성특강,2(2)
2학년/2학기,전공핵심,ELT049,물리전자,3(3)
2학년/2학기,전공핵심,ELT069,신호및시스템,3(3)
2학년/2학기,전공핵심,ELT102,전자공학기초실험(2),1(2)
2학년/2학기,전공선택,ELT030,디지털시스템설계,3(3)
2학년/2학기,전공선택,ELT153,모바일프로그래밍,3(3)
2학년/2학기,전공선택,ELT176,인공지능개론,3(3)
2학년/2학기,전공선택,ELT107,전자기학(2),3(3)
2학년/2학기,전공선택,ELT154,회로이론(2),3(3)
3학년/1학기,전공핵심,ELT031,디지털신호처리,3(3)
3학년/1학기,전공핵심,ELT052,반도체공학,3(3)
3학년/1학기,전공핵심,ELT152,전자회로,3(3)
3학년/1학기,전공핵심,ELT138,통신시스템,3(3)
3학년/1학기,전공선택,ELT088,자동제어,3(3)
3학년/1학기,전공선택,ELT156,자료구조및알고리즘,3(3)
3학년/2학기,전공핵심,ELT063,수치해석,3(3)
3학년/2학기,전공선택,ELT003,MOS집적회로,3(3)
3학년/2학기,전공선택,T00177,공업교재연구및지도법,3(3)
3학년/2학기,전공선택,ELT034,디지털영상처리,3(3)
3학년/2학기,전공선택,ELT036,디지털통신공학,3(3)
3학년/2학기,전공선택,ELT037,마이크로컴퓨터,3(3)
3학년/2학기,전공선택,ELT055,반도체공학실험,1(2)
3학년/2학기,전공선택,ELT188,융합통신시스템설계,3(4)
3학년/2학기,전공선택,ELT145,현장실습(전자),3(3)
4학년/1학기,전공선택,ELT008,VLSI시스템설계,2(2)
4학년/1학기,전공선택,T00161,공업교육론,3(3)
4학년/1학기,전공선택,ELT177,로봇공학개론,2(2)
4학년/1학기,전공선택,ELT075,이동통신공학,2(2)
4학년/1학기,전공선택,ELT151,전파공학,2(2)
4학년/1학기,전공선택,ELT162,종합설계과제(1),2(4)
4학년/1학기,전공선택,ELT175,컴퓨터구조및설계,2(2)
4학년/1학기,전공선택,ELT150,컴퓨터비전프로그래밍및응용,2(2)
4학년/1학기,전공선택,ELT145,현장실습(전자),3(3)
4학년/2학기,전공선택,ELT171,4차산업혁명과취업/현장기술세미나,1(1)
4학년/2학기,전공선택,ELT180,ICT융합통신공학,2(2)
4학년/2학기,전공선택,ELT164,RF회로및시스템,2(2)
4학년/2학기,전공선택,T00147,공업논리및논술,2(2)
4학년/2학기,전공선택,ELT182,딥러닝응용,2(2)
4학년/2학기,전공선택,ELT187,마이크로/나노엔지니어링,2(2)
4학년/2학기,전공선택,ELT172,임베디드인공지능,3(4)
4학년/2학기,전공선택,ELT161,종합설계과제(2),2(4)
