학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00138,문학의이해,3(3)
1학년/1학기,교양필수,U00565,한국사,3(3)
1학년/1학기,전공필수,KOE013,국문학개론,3(3)
1학년/1학기,전공필수,KOE080,언어와국어의이해,3(3)
1학년/1학기,교직,T00023,교육학개론,2(2)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/2학기,전공필수,KOE031,국어학개론,3(3)
1학년/2학기,전공선택,KOE063,한국현대소설강독,3(3)
1학년/2학기,전공선택,KOE065,한국현대시강독,3(3)
2학년/1학기,전공필수,KOE020,국어교육론,3(3)
2학년/1학기,전공필수,KOE076,국어사자료강독,3(3)
2학년/1학기,전공필수,KOE061,한국현대문학사,3(3)
2학년/1학기,전공선택,KOE027,국어음운론,3(3)
2학년/1학기,전공선택,KOE051,한국고전문학강독,3(3)
2학년/1학기,교직,T00025,교육행정및교육경영,2(2)
2학년/1학기,교직,T00186,디지털교육,2(2)
2학년/1학기,교직,T00184,학교폭력예방및학생의이해,2(2)
2학년/2학기,전공필수,KOE014,국문학사,3(3)
2학년/2학기,전공필수,KOE026,국어사,3(3)
2학년/2학기,전공선택,KOE029,국어통사론,3(3)
2학년/2학기,전공선택,KOE077,매체언어교육론,2(2)
2학년/2학기,전공선택,KOE086,미래국어교육환경변화와교사,1(1)
2학년/2학기,전공선택,KOE072,시교습론,3(3)
2학년/2학기,교직,T00017,교육사회,2(2)
2학년/2학기,교직,T00019,교육심리,2(2)
2학년/2학기,교직,T00006,생활지도,2(2)
3학년/1학기,전공필수,KOE046,의사소통교육론,3(3)
3학년/1학기,전공필수,KOE087,현대소설교육론,3(3)
3학년/1학기,전공선택,KOE073,고전소설교육론,3(3)
3학년/1학기,전공선택,KOE081,학교문법의이해,3(3)
3학년/1학기,교직,T00015,교육방법및교육공학,2(2)
3학년/1학기,교직,T00021,교육철학및교육사,2(2)
3학년/1학기,교직,T00026,교직실무,2(2)
3학년/2학기,전공필수,KOE075,국어교과논리및논술,3(3)
3학년/2학기,전공필수,KOE040,문학교육론,3(3)
3학년/2학기,전공선택,KOE074,고전시가교육론,3(3)
3학년/2학기,전공선택,KOE084,독서교육론,3(3)
3학년/2학기,전공선택,KOE070,문법교육론,3(3)
3학년/2학기,교직,T00011,교육과정,2(2)
3학년/2학기,교직,T00022,교육평가,2(2)
3학년/2학기,교직,T00126,특수교육학개론,2(2)
4학년/1학기,전공필수,KOE023,국어교재연구및지도법,3(3)
4학년/1학기,전공선택,KOE016,국문학특강,3(3)
4학년/1학기,전공선택,KOE033,언어학특강,3(3)
4학년/1학기,교직,T00016,교육봉사활동,2(2)
4학년/1학기,교직,T00185,학교현장실습,2(2)
4학년/2학기,전공선택,KOE083,국어교육연습,1(1)
4학년/2학기,전공선택,KOE078,문법교육연습,3(3)
4학년/2학기,전공선택,KOE079,문학교육연습,3(3)
4학년/2학기,교직,T00016,교육봉사활동,2(2)
