학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00210,생활법률,3(3)
1학년/1학기,교양필수,U00519,행정학의이해,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00433,지방자치이해,3(3)
1학년/2학기,교양필수,U00565,한국사,3(3)
1학년/2학기,전공선택,PUB069,행정학원론,3(3)
2학년/1학기,전공핵심,PUB028,연구조사방법론,3(3)
2학년/1학기,전공핵심,PUB029,인사행정론,3(3)
2학년/1학기,전공핵심,PUB038,정책학,3(3)
2학년/1학기,전공선택,PUB073,헌법,3(3)
2학년/2학기,전공핵심,PUB030,재무행정론,3(3)
2학년/2학기,전공선택,PUB009,공직적성론,3(3)
2학년/2학기,전공선택,PUB015,도시행정론,3(3)
2학년/2학기,전공선택,PUB055,행정법(1),3(3)
2학년/2학기,전공선택,PUB062,행정통계,3(3)
2학년/2학기,전공선택,PUB082,행정학영어특강,3(3)
3학년/1학기,전공핵심,PUB087,공공인재론,3(3)
3학년/1학기,전공핵심,PUB041,조직론,3(3)
3학년/1학기,전공핵심,PUB048,지방행정론,3(3)
3학년/1학기,전공선택,PUB008,공기업론,3(3)
3학년/1학기,전공선택,T00170,사회교육론,3(3)
3학년/1학기,전공선택,PUB026,사회복지행정론,3(3)
3학년/1학기,전공선택,PUB035,정부규제론,3(3)
3학년/1학기,전공선택,PUB056,행정법(2),3(3)
3학년/2학기,전공선택,PUB088,공공전략방법론,3(3)
3학년/2학기,전공선택,T00179,사회교재연구및지도법,3(3)
3학년/2학기,전공선택,PUB045,조직행태론,3(3)
3학년/2학기,전공선택,PUB050,한국정부론,3(3)
3학년/2학기,전공선택,PUB061,행정정보체계론,3(3)
3학년/2학기,전공선택,PUB076,환경행정론,3(3)
4학년/1학기,전공선택,PUB080,공공갈등관리론,3(3)
4학년/1학기,전공선택,PUB007,공공관리론,3(3)
4학년/1학기,전공선택,T00156,사회논리및논술,2(2)
4학년/1학기,전공선택,PUB089,융합행정과거버넌스론,3(3)
4학년/1학기,전공선택,PUB037,정책분석론,3(3)
4학년/1학기,전공선택,PUB047,지방재정론,3(3)
4학년/2학기,전공선택,PUB005,공공경제학,3(3)
4학년/2학기,전공선택,PUB090,정책학연습,3(3)
4학년/2학기,전공선택,PUB059,행정윤리,3(3)
4학년/2학기,전공선택,PUB064,행정학연습,3(3)
