학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00258,실용영어,3(3)
1학년/1학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/1학기,전공선택,CL0207,생활과학의이해,1(1)
1학년/1학기,전공선택,CL0201,의류패션학개론,2(2)
1학년/2학기,교양필수,U00800,계열소양영어,3(3)
1학년/2학기,교양필수,U00107,독서와토론,3(3)
1학년/2학기,교양필수,U00802,빅데이터와지능정보사회이해,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,전공핵심,CL0205,디지털서패션디자인,3(4)
2학년/1학기,전공핵심,CL0220,의류소재,3(4)
2학년/1학기,전공핵심,CL0152,패션일러스트및실습,3(4)
2학년/1학기,전공선택,CL0216,프린트패션디자인,3(3)
2학년/1학기,전공선택,CL0078,의류제작이론및실습,3(4)
2학년/1학기,전공선택,CL0082,의류패션리포맵학,2(2)
2학년/1학기,전공선택,CL0208,텍스타일패턴디자인,3(4)
2학년/2학기,전공핵심,CL0192,패션머천다이징및실습,3(4)
2학년/2학기,전공핵심,CL0144,패션소재기획및실습,3(4)
2학년/2학기,전공선택,CL0221,디지털의류생산실무,3(4)
2학년/2학기,전공선택,CL0046,서양복식사,3(3)
2학년/2학기,전공선택,CL0218,패션디자인론,3(4)
3학년/1학기,전공핵심,CL0215,테크니컬디자인&매니지먼트,3(4)
3학년/1학기,전공핵심,CL0125,텍스타일디자인CAD,3(4)
3학년/1학기,전공핵심,CL0219,패션리테일실무,3(4)
3학년/1학기,전공핵심,CL0145,패션소재분석및실습,3(4)
3학년/1학기,전공선택,CL0013,디자인CAD,3(4)
3학년/1학기,전공선택,T00164,의상논리및논술,2(2)
3학년/1학기,전공선택,CL0188,현장실습(의류패션),3(3)
3학년/2학기,전공핵심,CL0105,의체형설계이론및실습,3(4)
3학년/2학기,전공핵심,CL0217,텍스타일액세서리디자인,3(4)
3학년/2학기,전공핵심,CL0135,패션디자인프로세스및실습,3(4)
3학년/2학기,전공핵심,CL0141,패션소비자심리,3(3)
3학년/2학기,전공선택,CL0222,디지털텍스타일프린트,3(4)
3학년/2학기,전공선택,CL0084,의류패션특강,1(1)
3학년/2학기,전공선택,T00086,의상교재연구및지도법,3(3)
3학년/2학기,전공선택,CL0197,직소디자인,3(4)
3학년/2학기,전공선택,CL0202,패션세미나,2(2)
3학년/2학기,전공선택,CL0188,현장실습(의류패션),3(3)
4학년/1학기,전공핵심,CL0223,스마트의류테크놀로지,3(4)
4학년/1학기,전공핵심,CL0109,의류패션취업연구및실습,3(4)
4학년/1학기,전공핵심,CL0131,패션디자인기획및실습,3(4)
4학년/1학기,전공선택,CL0008,글로벌패션마켓트렌드,3(3)
4학년/1학기,전공선택,CL0042,비주얼머천다이징,2(4)
4학년/1학기,전공선택,T00085,의상교육론,3(3)
4학년/2학기,전공선택,CL0083,의류패션포켓,3(3)
4학년/2학기,전공선택,CL0209,텍스타일프로덕트디자인스튜디오,3(4)
4학년/2학기,전공선택,CL0139,패션브랜드관리,3(3)
4학년/2학기,전공선택,CL0203,패션창업및실습,3(4)
4학년/2학기,전공선택,CL0177,한국복식사,3(3)
