학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,전공핵심,VCD054,소셜미디어사진영상,2(3)
1학년/1학기,전공선택,VCD087,2D그래픽스A,2(3)
1학년/1학기,전공선택,VCD088,2D그래픽스B,2(3)
1학년/1학기,전공선택,VCD124,디지털드로잉,2(3)
1학년/1학기,전공선택,VCD128,마이크로타이포그래피,2(3)
1학년/1학기,전공선택,VCD096,스마트코딩,2(3)
1학년/2학기,교양필수,U00800,계열실무영어,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/2학기,전공핵심,VCD016,디자인영어,2(2)
1학년/2학기,전공핵심,VCD129,매크로타이포그래피,2(3)
1학년/2학기,전공선택,VCD125,3D그래픽스A,2(3)
1학년/2학기,전공선택,VCD126,3D그래픽스B,2(3)
1학년/2학기,전공선택,VCD132,AI디자인프로세스,2(3)
1학년/2학기,전공선택,VCD121,디자인프레젠테이션,2(3)
1학년/2학기,전공선택,VCD100,이미지모션디자인,2(3)
2학년/1학기,전공핵심,VCD006,3D애니메이션,2(3)
2학년/1학기,전공핵심,VCD017,크리에이티브일러스트레이션,2(3)
2학년/1학기,전공선택,VCD025,UX디자인프로세스,2(3)
2학년/1학기,전공선택,VCD055,영상디자인기초,2(3)
2학년/1학기,전공선택,VCD030,인포그래픽스,2(3)
2학년/1학기,전공선택,VCD014,커뮤니케이션디자인(1),2(3)
2학년/1학기,전공선택,VCD118,타입디자인,2(3)
2학년/2학기,전공핵심,VCD015,커뮤니케이션디자인(2),2(3)
2학년/2학기,전공핵심,VCD005,편집출판디자인,2(3)
2학년/2학기,전공선택,VCD020,데이터이미지디자인,2(3)
2학년/2학기,전공선택,VCD018,디자인리서치,2(3)
2학년/2학기,전공선택,VCD071,디자인콘텐츠워크숍,2(3)
2학년/2학기,전공선택,VCD072,브랜드디자인,2(3)
2학년/2학기,전공선택,VCD056,영상디자인프로젝트,2(3)
2학년/2학기,전공선택,VCD012,인터페이스디자인,2(3)
2학년/2학기,전공선택,VCD133,지역시각문화디지털디자인,3(4)
2학년/2학기,전공선택,VCD004,캐릭터디자인,2(3)
3학년/1학기,전공핵심,VCD111,그래픽디자인,2(3)
3학년/1학기,전공핵심,VCD078,서비스디자인,2(3)
3학년/1학기,전공핵심,VCD080,패키지디자인(1),2(3)
3학년/1학기,전공선택,VCD109,UX/UI디자인,2(3)
3학년/1학기,전공선택,VCD093,디자인논리및논술,2(2)
3학년/1학기,전공선택,VCD038,디자인문화비평,2(3)
3학년/1학기,전공선택,VCD027,모션그래픽스(1),2(3)
3학년/1학기,전공선택,VCD116,영상스튜디오,2(3)
3학년/2학기,전공핵심,VCD110,UX/UI디자인워크숍,2(3)
3학년/2학기,전공핵심,VCD117,영상스튜디오워크숍,2(3)
3학년/2학기,전공선택,VCD112,그래픽디자인워크숍,2(3)
3학년/2학기,전공선택,VCD085,디자인교육론,3(3)
3학년/2학기,전공선택,VCD082,모션그래픽스(2),2(3)
3학년/2학기,전공선택,VCD103,문화재생프로젝트디자인,2(4)
3학년/2학기,전공선택,VCD051,북디자인,2(3)
3학년/2학기,전공선택,VCD115,브랜드디자인워크숍,2(3)
3학년/2학기,전공선택,VCD029,애니메이션프로젝트,2(3)
3학년/2학기,전공선택,VCD067,트랜스미디어,2(3)
4학년/1학기,전공핵심,VCD104,패스디자인(1)(종합설계),2(3)
4학년/1학기,전공선택,VCD122,디자인융합프로젝트(종합설계),2(4)
4학년/1학기,전공선택,VCD086,디자인교육연구및지도법,3(3)
4학년/1학기,전공선택,VCD070,디자인나눔프로젝트,2(3)
4학년/1학기,전공선택,VCD079,디자인창업전략,2(3)
4학년/1학기,전공선택,VCD047,문화융합현장실습(1),3(3)
4학년/1학기,전공선택,VCD081,패키지디자인(2),2(3)
4학년/2학기,전공핵심,VCD123,디자인이슈,2(3)
4학년/2학기,전공핵심,VCD105,패스디자인(2)(종합설계),2(3)
4학년/2학기,전공선택,VCD007,문화상품디자인,2(3)
4학년/2학기,전공선택,VCD048,문화융합현장실습(2),3(3)
4학년/2학기,전공선택,VCD119,포트폴리오,2(3)
