학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00258,실용영어,3(3)
1학년/1학기,교양필수,U00595,음악감상및비평,3(3)
1학년/1학기,전공핵심,MUS002,시창·청음,2(2)
1학년/1학기,전공핵심,MUS015,전공실기(1),2(2)
1학년/1학기,전공핵심,MUS005,화성법(1),2(2)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00409,전통음악의이해,3(3)
1학년/2학기,전공핵심,MUS002,시창·청음,2(2)
1학년/2학기,전공핵심,MUS010,전공실기(1),2(2)
1학년/2학기,전공핵심,MUS025,화성법(2),2(2)
2학년/1학기,전공핵심,V01006,독일어딕션,2(2)
2학년/1학기,전공핵심,V01022,성악연주(1),1(1.5)
2학년/1학기,전공핵심,V01079,성악전공실기(2),2(2)
2학년/1학기,전공핵심,V01048,이태리어,2(2)
2학년/1학기,전공선택,V01027,솔페지오(1),2(2)
2학년/1학기,전공선택,V01082,음악통론,1(1)
2학년/1학기,전공선택,V01071,제2실기,1(1)
2학년/1학기,전공선택,V01058,합창(1),2(3)
2학년/1학기,전공선택,V01059,합창(2),2(3)
2학년/2학기,전공핵심,V01006,독일어딕션,2(2)
2학년/2학기,전공핵심,V01022,성악연주(1),1(1.5)
2학년/2학기,전공핵심,V01079,성악전공실기(2),2(2)
2학년/2학기,전공핵심,V01048,이태리어,2(2)
2학년/2학기,전공선택,V01027,솔페지오(1),2(2)
2학년/2학기,전공선택,V01082,음악통론,1(1)
2학년/2학기,전공선택,V01071,제2실기,1(1)
2학년/2학기,전공선택,V01058,합창(1),2(3)
2학년/2학기,전공선택,V01059,합창(2),2(3)
3학년/1학기,전공핵심,V01023,성악연주(2),1(1.5)
3학년/1학기,전공핵심,V01080,성악전공실기(3),2(2)
3학년/1학기,전공선택,V01011,불어딕션,2(2)
3학년/1학기,전공선택,V01013,서양음악사(1),2(2)
3학년/1학기,전공선택,V01015,성악문헌,2(2)
3학년/1학기,전공선택,V01021,성악앙상블,1(1.5)
3학년/1학기,전공선택,V01041,오페라워크샵(1),2(2)
3학년/1학기,전공선택,T00163,음악논리및논술,2(2)
3학년/1학기,전공선택,V01060,합창(3),2(3)
3학년/2학기,전공핵심,V01023,성악연주(2),1(1.5)
3학년/2학기,전공핵심,V01080,성악전공실기(3),2(2)
3학년/2학기,전공선택,V01013,서양음악사(2),2(2)
3학년/2학기,전공선택,V01015,성악문헌,2(2)
3학년/2학기,전공선택,V01021,성악앙상블,1(1.5)
3학년/2학기,전공선택,V01038,영어가곡딕션,2(2)
3학년/2학기,전공선택,V01041,오페라워크샵(1),2(2)
3학년/2학기,전공선택,T00084,음악교재연구및지도법,3(3)
3학년/2학기,전공선택,V01060,합창(3),2(3)
4학년/1학기,전공핵심,V01081,성악전공실기(4),2(2)
4학년/1학기,전공핵심,V01061,합창(4),2(3)
4학년/1학기,전공선택,V01042,오페라워크샵(2),2(2)
4학년/1학기,전공선택,T00083,음악교육론,3(3)
4학년/1학기,전공선택,V01063,합창지휘법,2(2)
4학년/2학기,전공핵심,V01081,성악전공실기(4),2(2)
4학년/2학기,전공핵심,V01061,합창(4),2(3)
4학년/2학기,전공선택,V01042,오페라워크샵(2),2(2)
4학년/2학기,전공선택,V01083,음악교육프로그램개발,2(2)
4학년/2학기,전공선택,V01063,합창지휘법,2(2)
