학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00794,영남대학교의미술문화,3(3)
1학년/1학기,전공핵심,PA1267,기초실기(1),2(3)
1학년/1학기,전공핵심,PA1133,평면조형(1),2(3)
1학년/1학기,전공선택,PA1271,기초2D그래픽(1),2(3)
1학년/1학기,전공선택,PA1269,입체조형(1),2(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/2학기,교양필수,U00492,한국미술의이해,3(3)
1학년/2학기,전공핵심,PA1268,기초실기(2),2(3)
1학년/2학기,전공핵심,PA1134,평면조형(2),2(3)
1학년/2학기,전공선택,PA1272,기초2D그래픽(2),2(3)
1학년/2학기,전공선택,PA1270,입체조형(2),2(3)
2학년/1학기,전공핵심,PA1024,동양미술사,3(3)
2학년/1학기,전공선택,PA1233,드로잉기법(1),2(3)
2학년/1학기,전공선택,PA1221,미술교수학습방법,2(2)
2학년/1학기,전공선택,PA1188,수묵기법(1),2(3)
2학년/1학기,전공선택,PA1242,애니메이션아트(1),2(3)
2학년/1학기,전공선택,PA1098,유화기법(1),2(3)
2학년/1학기,전공선택,PA1244,전통회화재료기법(1),2(3)
2학년/1학기,전공선택,PA1128,판화기법(1),2(3)
2학년/1학기,전공선택,PA1250,현대회화재료기법(1),2(3)
2학년/2학기,전공핵심,PA1187,서양미술사,3(3)
2학년/2학기,전공선택,PA1234,드로잉기법(2),2(3)
2학년/2학기,전공선택,PA1189,수묵기법(2),2(3)
2학년/2학기,전공선택,PA1243,애니메이션아트(2),2(3)
2학년/2학기,전공선택,PA1099,유화기법(2),2(3)
2학년/2학기,전공선택,PA1245,전통회화재료기법(2),2(3)
2학년/2학기,전공선택,PA1129,판화기법(2),2(3)
2학년/2학기,전공선택,PA1251,현대회화재료기법(2),2(3)
3학년/1학기,전공핵심,PA1256,회화스튜디오(1),4(6)
3학년/1학기,전공선택,PA1235,드로잉연구(1),2(3)
3학년/1학기,전공선택,PA1260,문인화(1),2(3)
3학년/1학기,전공선택,PA1045,미디어와설치미술(1),2(3)
3학년/1학기,전공선택,T00155,미술드리및논술,2(2)
3학년/1학기,전공선택,PA1273,사진연구(1),2(3)
3학년/1학기,전공선택,PA1265,창작워크숍(1),2(3)
3학년/1학기,전공선택,PA1200,한국근현대미술론,3(3)
3학년/1학기,전공선택,PA1157,현대미술론,3(3)
3학년/1학기,전공선택,PA1252,회화묘사(1),2(3)
3학년/2학기,전공핵심,PA1257,회화스튜디오(2),4(6)
3학년/2학기,전공선택,PA1236,드로잉연구(2),2(3)
3학년/2학기,전공선택,PA1261,문인화(2),2(3)
3학년/2학기,전공선택,PA1046,미디어와설치미술(2),2(3)
3학년/2학기,전공선택,T00052,미술교육론,3(3)
3학년/2학기,전공선택,PA1274,사진연구(2),2(3)
3학년/2학기,전공선택,PA1266,창작워크숍(2),2(3)
3학년/2학기,전공선택,PA1190,한국미술사특론,3(3)
3학년/2학기,전공선택,PA1224,현대미술의쟁점,3(3)
3학년/2학기,전공선택,PA1253,회화묘사(2),2(3)
4학년/1학기,전공핵심,PA1258,회화스튜디오(3),4(6)
4학년/1학기,전공선택,PA1239,미디어와설치미술(3),2(3)
4학년/1학기,전공선택,T00053,미술교과교육및지도법,3(3)
4학년/1학기,전공선택,PA1194,작가론연구,3(3)
4학년/1학기,전공선택,PA1219,현장실습(1),3(3)
4학년/1학기,전공선택,PA1254,회화보존복원(1),2(3)
4학년/2학기,전공핵심,PA1259,회화스튜디오(4),4(6)
4학년/2학기,전공선택,PA1262,미디어와설치미술(4),2(3)
4학년/2학기,전공선택,PA1220,현장실습(2),3(3)
4학년/2학기,전공선택,PA1255,회화보존복원(2),2(3)
