학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00217,생활한자,3(3)
1학년/1학기,교양필수,U00258,실용영어,3(3)
1학년/1학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/1학기,전공핵심,HST018,한국사의이해,3(3)
1학년/1학기,전공선택,HST039,동아시아사의이해,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00453,초급일본어(1),3(3)
1학년/2학기,전공핵심,HST026,서양사의이해,3(3)
1학년/2학기,전공선택,HST066,역사연구와디지털인문학의기초,3(3)
2학년/1학기,전공핵심,HST047,고려시대사,3(3)
2학년/1학기,전공핵심,HST006,서양사강독,3(3)
2학년/1학기,전공핵심,HST071,조선전기사,3(3)
2학년/1학기,전공핵심,HST012,한국고대사,3(3)
2학년/1학기,전공선택,HST057,답사를위한동아시아지역사,1(1)
2학년/1학기,전공선택,HST036,동아시아고대사,3(3)
2학년/1학기,전공선택,HST003,사학개론,3(3)
2학년/1학기,전공선택,HST070,지역사탐구와디지털재생,3(3)
2학년/2학기,전공핵심,HST042,동아시아중세사,3(3)
2학년/2학기,전공핵심,HST069,서양고중세사,3(3)
2학년/2학기,전공핵심,HST016,한국근대사,3(3)
2학년/2학기,전공선택,HST073,디지털인문학의입문과탐색,3(3)
2학년/2학기,전공선택,HST050,일본의역사와문화,3(3)
2학년/2학기,전공선택,HST072,조선후기사,3(3)
3학년/1학기,전공핵심,HST035,동남아시아사,3(3)
3학년/1학기,전공핵심,HST005,서양근대사,3(3)
3학년/1학기,전공핵심,HST020,한국현대사,3(3)
3학년/1학기,전공선택,HST037,동아시아근대사,3(3)
3학년/1학기,전공선택,HST031,서양의인물과사상,3(3)
3학년/1학기,전공선택,T00072,역사교육론,3(3)
3학년/1학기,전공선택,HST028,조선의사회와문화,3(3)
3학년/1학기,전공선택,HST075,한국근현대사특강,3(3)
3학년/2학기,전공핵심,HST040,동아시아사적강독,3(3)
3학년/2학기,전공핵심,HST009,서양현대사,3(3)
3학년/2학기,전공핵심,HST044,동아시아현대사,3(3)
3학년/2학기,전공선택,HST049,러시아의역사와문화,3(3)
3학년/2학기,전공선택,T00073,역사교재연구및지도법,3(3)
3학년/2학기,전공선택,HST033,역사문화와진로개발,2(2)
3학년/2학기,전공선택,HST065,영국의역사와문화,3(3)
3학년/2학기,전공선택,HST062,캡스톤디자인(역사),2(4)
3학년/2학기,전공선택,HST013,한국고대사특강,3(3)
3학년/2학기,전공선택,HST053,한국사상사,3(3)
3학년/2학기,전공선택,HST056,한국사회경제사,3(3)
3학년/2학기,전공선택,HST076,한국전통시대생활사,3(3)
3학년/2학기,전공선택,HST063,현장실습1(역사),3(3)
4학년/1학기,전공선택,T00159,역사논리및논술,2(2)
4학년/1학기,전공선택,HST064,현장실습2(역사),3(3)
4학년/2학기,전공핵심,HST030,실크로드와유목민의역사,3(3)
4학년/2학기,전공핵심,HST074,영남의역사와문화콘텐츠,3(3)
4학년/2학기,전공선택,HST052,서양사연습,3(3)
4학년/2학기,전공선택,HST029,조선시대사특강,3(3)
4학년/2학기,전공선택,HST032,중국의인물과사상,3(3)
4학년/2학기,전공선택,HST015,한국근대민족운동사,3(3)
