학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00145,미분적분학(1),3(3)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00364,일반물리실험(1),1(2)
1학년/1학기,교양필수,U00374,일반화학(1),3(3)
1학년/1학기,교양필수,U00377,일반화학실험(1),1(2)
1학년/2학기,교양필수,U00800,계열실무영어,3(3)
1학년/2학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/2학기,교양필수,U00375,일반화학(2),3(3)
1학년/2학기,교양필수,U00378,일반화학실험(2),1(2)
2학년/1학기,전공핵심,CHE017,무기화학(1),3(3)
2학년/1학기,전공핵심,CHE025,물리화학(1),3(3)
2학년/1학기,전공핵심,CHE037,분석화학(1),3(3)
2학년/1학기,전공핵심,CHE136,분석화학실험(종합설계),2(4)
2학년/1학기,전공핵심,CHE067,유기화학(1),3(3)
2학년/1학기,전공선택,CHE133,고분자생화학,3(3)
2학년/1학기,전공선택,CHE137,분자핵산생화학,3(3)
2학년/2학기,전공핵심,CHE018,무기화학(2),3(3)
2학년/2학기,전공핵심,CHE026,물리화학(2),3(3)
2학년/2학기,전공핵심,CHE038,분석화학(2),3(3)
2학년/2학기,전공핵심,CHE068,유기화학(2),3(3)
2학년/2학기,전공핵심,CHE132,유기화학실험(종합설계),2(4)
2학년/2학기,전공선택,CHE135,물질대사생화학,3(3)
2학년/2학기,전공선택,CHE138,세포화학,3(3)
2학년/2학기,전공선택,CHE140,효소생화학,3(3)
3학년/1학기,전공핵심,CHE011,기기분석(1),3(3)
3학년/1학기,전공핵심,CHE118,무기화학실험(종합설계),2(4)
3학년/1학기,전공핵심,CHE049,생화학(1),3(3)
3학년/1학기,전공핵심,CHE069,유기화학(3),3(3)
3학년/1학기,전공선택,CHE024,물리생화학,3(3)
3학년/1학기,전공선택,CHE042,산업화학,2(2)
3학년/1학기,전공선택,CHE057,양자화학,3(3)
3학년/2학기,전공핵심,CHE119,물리화학실험(종합설계),2(4)
3학년/2학기,전공핵심,CHE050,생화학(2),3(3)
3학년/2학기,전공핵심,CHE141,생화학실험(종합설계),2(4)
3학년/2학기,전공선택,CHE006,고체무기화학,3(3)
3학년/2학기,전공선택,CHE012,기기분석(2),3(3)
3학년/2학기,전공선택,CHE134,면역생화학,3(3)
3학년/2학기,전공선택,CHE126,분석생화학,3(3)
3학년/2학기,전공선택,CHE040,분자분광학,3(3)
3학년/2학기,전공선택,CHE058,유기구조분석,3(3)
3학년/2학기,전공선택,CHE066,유기합성의이해,3(3)
3학년/2학기,전공선택,CHE130,화학생화학현장실습(1),3(3)
4학년/1학기,전공선택,CHE145,광전자반응동역학,3(3)
4학년/1학기,전공선택,CHE033,배위화학,3(3)
4학년/1학기,전공선택,CHE128,생분자화학,3(3)
4학년/1학기,전공선택,CHE129,생화학특론,3(3)
4학년/1학기,전공선택,CHE139,유전생화학,3(3)
4학년/1학기,전공선택,CHE123,전기화학개론,3(3)
4학년/1학기,전공선택,CHE142,창의실험1(부트캠프),2(4)
4학년/1학기,전공선택,CHE125,표면물리화학,3(3)
4학년/1학기,전공선택,CHE131,화학생화학현장실습(2),3(3)
4학년/2학기,전공선택,CHE005,고분자화학,2(2)
4학년/2학기,전공선택,CHE144,반도체재료의합성과분석,3(3)
4학년/2학기,전공선택,CHE097,유기재료화학,2(2)
4학년/2학기,전공선택,CHE121,재료물리화학,2(2)
4학년/2학기,전공선택,CHE143,창의실험2(부트캠프),2(4)
