학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00066,기업회계의이해,3(3)
1학년/1학기,교양필수,U00911,대학생활과전공설계,1(1)
1학년/1학기,교양필수,U00241,소비자의이해,3(3)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,전공핵심,IND025,경영과기업윤리,3(3)
1학년/1학기,전공핵심,IND009,조직행위론,3(3)
1학년/2학기,교양필수,U00015,경영학의이해,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00668,생활과세금,3(3)
1학년/2학기,교양필수,U00335,응용통계학,3(3)
1학년/2학기,교양필수,U00431,증권투자의이해,3(3)
1학년/2학기,전공핵심,IND004,국제경영학,3(3)
2학년/1학기,교양필수,U00010,경영과컴퓨팅,3(3)
2학년/1학기,교양필수,U00564,사회적기업의이해,3(3)
2학년/1학기,전공핵심,IND014,재무관리원론,3(3)
2학년/1학기,전공핵심,IND015,재무회계,3(3)
2학년/2학기,전공핵심,IND016,경영정보시스템,3(3)
2학년/2학기,전공핵심,IND005,마케팅원론,3(3)
2학년/2학기,전공핵심,IND017,생산운영관리,3(3)
2학년/2학기,전공핵심,IND024,소득세회계,3(3)
2학년/2학기,전공선택,IND003,광고론,3(3)
3학년/1학기,교양필수,U00712,4차산업혁명과노동의미래,3(3)
3학년/1학기,전공핵심,IND006,소비자행동론,3(3)
3학년/1학기,전공핵심,IND007,원가회계,3(3)
3학년/1학기,전공선택,IND021,비즈니스코딩기초와활용,3(3)
3학년/1학기,전공선택,IND012,인터넷비즈니스,3(3)
3학년/2학기,교양필수,U00816,자산관리와인생재무제표,3(3)
3학년/2학기,전공핵심,IND028,조직구조와조직이론,3(3)
3학년/2학기,전공핵심,IND011,품질경영,3(3)
3학년/2학기,전공선택,IND010,투자론,3(3)
4학년/1학기,전공선택,IND018,국제비즈니스협상,3(3)
4학년/1학기,전공선택,IND013,기업재무론,3(3)
4학년/1학기,전공선택,IND022,법인세회계,3(3)
4학년/1학기,전공선택,IND023,부가가치세회계,3(3)
4학년/1학기,전공선택,IND027,비즈니스트렌드분석,3(3)
4학년/1학기,전공선택,IND019,재무분석,3(3)
4학년/2학기,전공선택,IND001,경영분석,3(3)
4학년/2학기,전공선택,IND002,관리회계,3(3)
4학년/2학기,전공선택,IND026,마케팅조사분석,3(3)
4학년/2학기,전공선택,IND020,빅데이터분석과응용,3(3)
4학년/2학기,전공선택,IND008,인적자원관리론,3(3)
