학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00911,대학생활과전공설계,1(1)
1학년/1학기,교양필수,U00145,미분적분학(1),3(3)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00361,일반물리(1),3(3)
1학년/1학기,교양필수,U00364,일반물리실험(1),1(2)
1학년/1학기,교양필수,U00374,일반화학(1),3(3)
1학년/1학기,교양필수,U00377,일반화학실험(1),1(2)
1학년/2학기,교양필수,U00800,계열실무영어,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00365,일반물리실험(2),1(2)
1학년/2학기,교양필수,U00378,일반화학실험(2),1(2)
1학년/2학기,교양필수,U00798,파이썬프로그래밍,3(3)
1학년/2학기,전공선택,CEN175,화공기초설계,2(2)
2학년/1학기,전공핵심,CEE003,공업수학(1),3(3)
2학년/1학기,전공핵심,CEE028,기초실험(1),2(4)
2학년/1학기,전공핵심,CEE007,물리화학,3(3)
2학년/1학기,전공핵심,CEE026,물질수지,3(3)
2학년/1학기,전공핵심,CEE013,유기화학(1),3(3)
2학년/1학기,전공선택,CEE034,그린에너지공학,3(3)
2학년/1학기,전공선택,CEE064,신재생에너지를위한국제정책및개발,3(3)
2학년/2학기,전공핵심,CEE025,공학수학및컴퓨터패키지실습,3(4)
2학년/2학기,전공핵심,CEE029,기초실험(2),2(4)
2학년/2학기,전공핵심,CEE027,에너지수지,3(3)
2학년/2학기,전공핵심,CEE018,화공유체역학,3(3)
2학년/2학기,전공선택,CEE022,고체화학,3(3)
2학년/2학기,전공선택,CEE062,글로벌상생을위한AI활용,3(3)
2학년/2학기,전공선택,CEE010,양자화학,3(3)
2학년/2학기,전공선택,CEE014,유기화학(2),3(3)
3학년/1학기,전공핵심,CEE011,열전달,3(3)
3학년/1학기,전공핵심,CEE016,화공열역학(1),3(3)
3학년/1학기,전공핵심,CEE021,화학공학실험(1),2(4)
3학년/1학기,전공선택,CEE001,고분자화학(1),3(3)
3학년/1학기,전공선택,CEE004,기기분석(1),3(3)
3학년/1학기,전공선택,CEE057,반도체소자공학,3(3)
3학년/1학기,전공선택,CEE059,전기화학공학,3(3)
3학년/2학기,전공핵심,CEE008,반응공학(1),3(3)
3학년/2학기,전공핵심,CEE020,화학공학실험(2),2(4)
3학년/2학기,전공핵심,CEE035,화학공학캡스톤디자인(1),2(4)
3학년/2학기,전공선택,CEE063,글로벌상생태양광발전현장적용법,3(3)
3학년/2학기,전공선택,CEE005,기기분석(2),3(3)
3학년/2학기,전공선택,CEE056,이차전지및연료전지,3(3)
3학년/2학기,전공선택,CEE033,태양전지소재,3(3)
3학년/2학기,전공선택,CEE023,현장실습(화공1),3(3)
3학년/2학기,전공선택,CEE017,화공열역학(2),3(3)
4학년/1학기,전공핵심,CEE036,화학공학캡스톤디자인(2),2(4)
4학년/1학기,전공선택,CEE047,에너지데이터프로세싱,3(3)
4학년/1학기,전공선택,CEE031,전자재료공정,3(3)
4학년/1학기,전공선택,CEE042,취업및진로개발,2(2)
4학년/1학기,전공선택,CEE024,현장실습(화공2),3(3)
4학년/1학기,전공선택,CEE015,화공세미나,1(1)
4학년/1학기,전공선택,CEE055,화공실무,3(3)
4학년/2학기,전공선택,CEE039,광전자소자제작실습,2(4)
4학년/2학기,전공선택,CEE040,광전자소자특성평가,3(3)
4학년/2학기,전공선택,CEE060,수소생산공정,3(3)
4학년/2학기,전공선택,CEE061,수소에너지개론,3(3)
4학년/2학기,전공선택,CEE032,에너지와녹색기술,3(3)
4학년/2학기,전공선택,CEE015,화공세미나,1(1)
