학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00911,대학생활과전공설계,1(1)
1학년/1학기,교양필수,U01072,스마트사회의이해,3(3)
1학년/1학기,교양필수,U00258,실용영어,3(3)
1학년/1학기,전공핵심,SID057,사회복지학개론,3(3)
1학년/1학기,전공핵심,SID069,새마을국제개발의이해,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/2학기,전공핵심,SID078,국제개발협력의이해,3(3)
2학년/1학기,교양필수,U00393,자원봉사론,3(3)
2학년/1학기,전공핵심,SID047,개발경제의이해,3(3)
2학년/1학기,전공핵심,SID022,국제개발정책론,3(3)
2학년/1학기,전공핵심,SID051,사회복지실천론,3(3)
2학년/1학기,전공핵심,SID001,지역개발개론,3(3)
2학년/1학기,전공선택,SID064,국제개발영어,3(3)
2학년/2학기,전공핵심,SID060,빈곤과국제개발협력,3(3)
2학년/2학기,전공선택,SID059,국제기구와국제회의,3(3)
2학년/2학기,전공선택,SID004,노인복지론,3(3)
2학년/2학기,전공선택,SID029,리더십이론과실제,3(3)
2학년/2학기,전공선택,SID038,지역사회동계론,3(3)
3학년/1학기,전공핵심,SID066,글로벌정치의이해,3(3)
3학년/1학기,전공핵심,SID007,도시및지역계획,3(3)
3학년/1학기,전공핵심,SID056,사회복지조사론,3(3)
3학년/1학기,전공핵심,SID081,스마트농촌개발론,3(3)
3학년/1학기,전공선택,SID065,국제문화커뮤니케이션,3(3)
3학년/1학기,전공선택,SID006,프로그램평가,3(3)
3학년/2학기,전공핵심,SID072,글로벌이슈와새마을개발,3(3)
3학년/2학기,전공핵심,SID068,새마을개발론,3(3)
3학년/2학기,전공선택,SID020,국제개발경제분석론,3(3)
3학년/2학기,전공선택,SID014,주민참여와NGO,3(3)
3학년/2학기,전공선택,SID008,지리정보체계론,3(3)
3학년/2학기,전공선택,SID002,지역사회복지론,3(3)
4학년/1학기,전공핵심,SID082,새마을개발교육,3(3)
4학년/1학기,전공선택,SID058,ODA사업론,3(3)
4학년/1학기,전공선택,SID083,사회복지지도감독론,3(3)
4학년/1학기,전공선택,SID012,국제사회와문화,3(3)
4학년/1학기,전공선택,SID084,협동조합과지역사회개발,3(3)
4학년/2학기,전공핵심,SID070,게임및행동이론과국제개발,3(3)
4학년/2학기,전공핵심,SID087,ODA프로그램실행과관리,3(3)
4학년/2학기,전공선택,SID085,국제개발협력과개발금융,3(3)
4학년/2학기,전공선택,SID001,사례관리론,3(3)
4학년/2학기,전공선택,SID076,지구촌사회와문화2,3(3)
4학년/2학기,전공선택,SID009,한국지역사회개발,3(3)
