학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,전공선택,INC046,데이터사이언스수학,3(3)
1학년/1학기,교양필수,U00911,대학생활과전공설계,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00258,실용영어,3(3)
1학년/1학기,교양필수,U00514,행렬및행렬식,3(3)
1학년/2학기,교양필수,U00801,C프로그래밍,3(3)
1학년/2학기,교양필수,U00145,미분적분학(1),3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00469,통계학(1),3(3)
2학년/1학기,전공핵심,INC001,공업수학(1),3(3)
2학년/1학기,전공핵심,INC002,논리회로,3(3)
2학년/1학기,전공핵심,INC015,프로그래밍언어,3(4)
2학년/1학기,전공핵심,INC033,회로실험(1),1(2)
2학년/1학기,전공핵심,INC017,회로이론,3(3)
2학년/1학기,전공선택,INC027,공학입문설계,2(2)
2학년/1학기,전공선택,INC037,진로적성특강,2(2)
2학년/2학기,전공핵심,INC035,객체지향프로그래밍과자료구조,3(4)
2학년/2학기,전공핵심,INC026,신호및선형시스템,3(3)
2학년/2학기,전공핵심,INC053,오픈소스SW의이해,2(2)
2학년/2학기,전공핵심,INC010,전자회로,3(3)
2학년/2학기,전공핵심,INC011,컴퓨터구조,3(3)
2학년/2학기,전공핵심,INC016,확률및랜덤프로세스,3(3)
2학년/2학기,전공핵심,INC034,회로실험(2),1(2)
3학년/1학기,전공핵심,INC025,데이터통신및실습,3(4)
3학년/1학기,전공핵심,INC004,디지털신호처리,3(3)
3학년/1학기,전공핵심,INC052,오픈소스SW설계,2(2)
3학년/1학기,전공핵심,INC014,통신시스템,3(4)
3학년/1학기,전공선택,INC008,알고리즘,3(3)
3학년/1학기,전공선택,INC009,운영체제,3(3)
3학년/1학기,전공선택,INC036,정보통신세미나,1(2)
3학년/2학기,전공선택,T00177,공업교재연구및지도법,3(3)
3학년/2학기,전공선택,INC003,데이터베이스,3(3)
3학년/2학기,전공선택,INC005,디지털통신,3(4)
3학년/2학기,전공선택,INC022,소프트웨어프로젝트,2(4)
3학년/2학기,전공선택,INC041,인공지능과머신러닝,3(3)
3학년/2학기,전공선택,INC023,임베디드시스템및실습,3(4)
3학년/2학기,전공선택,INC013,컴퓨터네트워크,3(4)
3학년/2학기,전공선택,INC018,현장실습(정보통신),3(3)
4학년/1학기,전공핵심,INC049,MIDAS종합설계(1),2(2)
4학년/1학기,전공선택,T00161,공업교육론,3(3)
4학년/1학기,전공선택,INC031,네트워크보안,2(2)
4학년/1학기,전공선택,INC021,데이터마이닝,2(2)
4학년/1학기,전공선택,INC043,마이크로컴퓨터및응용,2(2)
4학년/1학기,전공선택,INC019,멀티미디어신호처리,2(2)
4학년/1학기,전공선택,INC051,모바일통신,2(2)
4학년/1학기,전공선택,INC038,빅데이터응용,2(2)
4학년/1학기,전공선택,INC039,산업체요구문제연구,3(3)
4학년/1학기,전공선택,INC006,소프트웨어공학,2(2)
4학년/1학기,전공선택,INC020,웹프로그래밍,2(2)
4학년/1학기,전공선택,INC045,인공지능응용,2(2)
4학년/1학기,전공선택,INC042,컴퓨터비전,3(3)
4학년/1학기,전공선택,INC018,현장실습(정보통신),3(3)
4학년/2학기,전공선택,INC044,4차산업혁명과취업/현장기술세미나,1(1)
4학년/2학기,전공선택,INC048,IoT통신시스템응용,2(2)
4학년/2학기,전공선택,INC050,MIDAS종합설계(2),2(2)
4학년/2학기,전공선택,T00147,공업논리및논술,2(2)
4학년/2학기,전공선택,INC024,모바일프로그래밍,2(2)
4학년/2학기,전공선택,INC040,산학과제공동연구,2(2)
4학년/2학기,전공선택,INC007,수치해석,2(2)
4학년/2학기,전공선택,INC032,정보보안,2(2)
4학년/2학기,전공선택,INC012,컴퓨터그래픽스,2(2)
4학년/2학기,전공선택,INC054,코틀린프로그래밍과응용,3(3)
