학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00017,경제학의이해,3(3)
1학년/1학기,교양필수,U00911,대학생활과전공설계,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,전공선택,EDU034,교육학원론,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00210,생활법률,3(3)
1학년/2학기,전공선택,EDU016,교육심리,3(3)
2학년/1학기,전공필수,EDU001,교수-학습이론,3(3)
2학년/1학기,전공선택,EDU012,교수학습이론,3(3)
2학년/1학기,전공선택,EDU014,교육사회학,3(3)
2학년/1학기,전공선택,EDU106,교육현상의이해,2(2)
2학년/1학기,전공선택,EDU112,수업의AI활용,3(3)
2학년/1학기,전공선택,EDU076,학생상담및이론과실제,3(3)
2학년/1학기,교직,T00184,학교폭력예방및학생의이해,2(2)
2학년/2학기,전공선택,EDU103,4차산업혁명과글로벌교육현장,2(2)
2학년/2학기,전공선택,EDU108,교육기획과창업,3(4)
2학년/2학기,전공선택,EDU030,교육평가,3(3)
2학년/2학기,전공선택,EDU109,데이터사이언스와교육,3(3)
2학년/2학기,전공선택,EDU040,도덕발달심리학,3(3)
2학년/2학기,전공선택,EDU052,서양윤리사상과교육,3(3)
2학년/2학기,전공선택,EDU098,윤리사상과교육적인이해,3(3)
2학년/2학기,교직,T00186,디지털교육,2(2)
3학년/1학기,전공필수,EDU071,특수교육론,3(3)
3학년/1학기,전공선택,EDU110,교육연구데이터분석,3(3)
3학년/1학기,전공선택,EDU035,교육행정,3(3)
3학년/1학기,전공선택,EDU041,도덕윤리교육론,3(3)
3학년/1학기,전공선택,EDU070,통일교육론,3(3)
3학년/1학기,전공선택,EDU083,평생교육론,3(3)
3학년/1학기,전공선택,EDU075,학교와교육탐구,2(2)
3학년/2학기,전공필수,EDU033,교육학교재연구,3(3)
3학년/2학기,전공선택,EDU003,교육공학,3(3)
3학년/2학기,전공선택,EDU006,교육과정,3(3)
3학년/2학기,전공선택,EDU042,도덕윤리교재연구및지도법,3(3)
3학년/2학기,전공선택,EDU111,미래사회와혁신교육,3(3)
3학년/2학기,전공선택,EDU074,평생교육방법론,3(3)
3학년/2학기,교직,T00026,교직실무,2(2)
4학년/1학기,전공필수,EDU010,교육논리및논술,3(3)
4학년/1학기,전공선택,EDU002,교육철학,3(3)
4학년/1학기,전공선택,EDU025,교육철학,3(3)
4학년/1학기,전공선택,EDU044,동양교육사상,3(3)
4학년/1학기,교직,T00016,교육봉사활동,2(2)
4학년/1학기,교직,T00185,학교현장실습,2(2)
4학년/2학기,전공선택,EDU096,교육현장창의성교육,3(3)
4학년/2학기,전공선택,EDU090,청소년교육론,3(3)
4학년/2학기,전공선택,EDU091,평생교육실습,3(3)
4학년/2학기,전공선택,EDU099,학교현장과교육문제,3(3)
4학년/2학기,교직,T00016,교육봉사활동,2(2)
