학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00911,대학생활과전공설계,1(1)
1학년/1학기,교양필수,U00145,미분적분학(1),3(3)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00469,통계학(1),3(3)
1학년/1학기,교직,T00023,교육학개론,2(2)
1학년/2학기,교양필수,U00146,미분적분학(2),3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00336,의사소통기술,3(3)
1학년/2학기,교양필수,U00565,한국사,3(3)
1학년/2학기,전공선택,MAE119,데이터과학과통계교육,3(3)
1학년/2학기,전공선택,MAE085,집합론,3(3)
2학년/1학기,전공필수,MAE039,선형대수,3(3)
2학년/1학기,전공필수,MAE064,수학논리및논술,2(2)
2학년/1학기,전공선택,MAE121,인공지능수학,3(3)
2학년/1학기,전공선택,MAE080,정수론,3(3)
2학년/1학기,전공선택,MAE095,해석학입문,3(3)
2학년/1학기,교직,T00025,교육행정및교육경영,2(2)
2학년/1학기,교직,T00186,디지털교육,2(2)
2학년/1학기,교직,T00184,학교폭력예방및학생의이해,2(2)
2학년/2학기,전공필수,MAE112,실해석학과중등수학교육,3(3)
2학년/2학기,전공선택,MAE123,생성형CAS공학도구활용한중등수학지도법,3(3)
2학년/2학기,전공선택,MAE110,선형대수학과중등수학교육,3(3)
2학년/2학기,전공선택,MAE060,수학교육이론,3(3)
2학년/2학기,전공선택,MAE111,이산수학지도와학습,3(3)
2학년/2학기,교직,T00017,교육사회,2(2)
2학년/2학기,교직,T00019,교육심리,2(2)
2학년/2학기,교직,T00060,생활지도,2(2)
3학년/1학기,전공필수,MAE031,미분기하학입문,3(3)
3학년/1학기,전공필수,MAE063,수학교재연구및지도법,3(3)
3학년/1학기,전공필수,MAE073,위상수학입문,3(3)
3학년/1학기,전공선택,MAE099,현대대수학,3(3)
3학년/1학기,전공선택,MAE036,복소해석학,3(3)
3학년/1학기,교직,T00015,교육방법및교육공학,2(2)
3학년/1학기,교직,T00021,교육철학및교육사,2(2)
3학년/1학기,교직,T00126,특수교육학개론,2(2)
3학년/2학기,전공선택,MAE028,미분기하학,3(3)
3학년/2학기,전공선택,MAE037,복소해석학특강,3(3)
3학년/2학기,전공선택,MAE058,수학교육과정및평가,3(3)
3학년/2학기,전공선택,MAE070,위상수학,3(3)
3학년/2학기,전공선택,MAE087,추상대수학,3(3)
3학년/2학기,교직,T00011,교육과정,2(2)
3학년/2학기,교직,T00022,교육평가,2(2)
3학년/2학기,교직,T00026,교직실무,2(2)
4학년/1학기,전공필수,MAE059,수학교육론,3(3)
4학년/1학기,전공선택,MAE020,기하학교육,3(3)
4학년/1학기,전공선택,MAE125,수학교육학교현장실습세미나,1(1)
4학년/1학기,전공선택,MAE096,해석학특강,3(3)
4학년/1학기,전공선택,MAE116,현대수학과수학적모델링,3(3)
4학년/1학기,교직,T00016,교육봉사활동,2(2)
4학년/1학기,교직,T00185,학교현장실습,2(2)
4학년/2학기,전공필수,MAE105,확률및통계,3(3)
4학년/2학기,전공선택,MAE025,대수학특강,3(3)
4학년/2학기,교직,T00016,교육봉사활동,2(2)
