학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00800,계열실무영어,3(3)
1학년/1학기,교양필수,U00911,대학생활과전공설계,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00302,영문독해,3(3)
1학년/1학기,전공선택,ENE037,영문법지도,3(3)
1학년/1학기,전공선택,ENE066,영어듣기(1),3(3)
1학년/1학기,교직,T00023,교육학개론,2(2)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00735,심화영문독해,3(3)
1학년/2학기,교양필수,U00565,한국사,3(3)
1학년/2학기,전공필수,ENE088,영어학개론,3(3)
1학년/2학기,전공선택,ENE067,영어듣기(2),3(3)
2학년/1학기,전공필수,ENE038,영문학개론,3(3)
2학년/1학기,전공필수,ENE068,영어말하기(1),3(3)
2학년/1학기,전공필수,ENE081,영어음운음성학,3(3)
2학년/1학기,전공선택,ENE115,미래영어교육환경변화와교사,1(1)
2학년/1학기,전공선택,ENE109,영상문학과영어교육,3(3)
2학년/1학기,전공선택,ENE110,영어의의미,3(3)
2학년/1학기,전공선택,ENE108,중등영어교과서연구,3(3)
2학년/1학기,교직,T00025,교육행정및교육경영,2(2)
2학년/1학기,교직,T00186,디지털교육,2(2)
2학년/1학기,교직,T00184,학교폭력예방및학생의이해,2(2)
2학년/2학기,전공필수,ENE065,영어독해,3(3)
2학년/2학기,전공필수,ENE069,영어말하기(2),3(3)
2학년/2학기,전공선택,ENE021,미국문학과문화적배경,3(3)
2학년/2학기,전공선택,ENE107,영어교사를위한영어쓰기수업의이해,3(3)
2학년/2학기,교직,T00017,교육사회,2(2)
2학년/2학기,교직,T00019,교육심리,2(2)
2학년/2학기,교직,T00006,생활지도,2(2)
3학년/1학기,전공필수,ENE055,영어교육론,3(3)
3학년/1학기,전공필수,ENE074,영어쓰기(1),3(3)
3학년/1학기,전공선택,ENE024,미국소설,3(3)
3학년/1학기,전공선택,ENE080,영어음운연습,3(3)
3학년/1학기,교직,T00015,교육방법및교육공학,2(2)
3학년/1학기,교직,T00021,교육철학및교육사,2(2)
3학년/1학기,교직,T00126,특수교육학개론,2(2)
3학년/2학기,전공필수,ENE075,영어쓰기(2),3(3)
3학년/2학기,전공선택,ENE035,영국소설,3(3)
3학년/2학기,전공선택,ENE117,영미문화와영어교육,3(3)
3학년/2학기,전공선택,ENE111,영미언어의이해와글로벌역량강화,3(3)
3학년/2학기,전공선택,ENE051,영어교육과정및평가,3(3)
3학년/2학기,전공선택,ENE086,영어통사교육,3(3)
3학년/2학기,전공선택,ENE112,중등영어교과서읽기지도역량강화,3(3)
3학년/2학기,교직,T00011,교육과정,2(2)
3학년/2학기,교직,T00022,교육평가,2(2)
3학년/2학기,교직,T00026,교직실무,2(2)
4학년/1학기,전공필수,ENE059,영어교재연구및지도법,3(3)
4학년/1학기,전공선택,ENE116,멀티미디어를활용한영어교육,3(3)
4학년/1학기,전공선택,ENE062,영어구조론,3(3)
4학년/1학기,전공선택,ENE076,영어쓰기연습,3(3)
4학년/1학기,전공선택,ENE077,영어회화연습,3(3)
4학년/1학기,교직,T00016,교육봉사활동,2(2)
4학년/1학기,교직,T00185,학교현장실습,2(2)
4학년/2학기,전공필수,ENE064,영어논리및논술,3(3)
4학년/2학기,전공선택,ENE046,영미시세계,3(3)
4학년/2학기,교직,T00016,교육봉사활동,2(2)
