학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00911,대학생활과전공설계,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00258,실용영어,3(3)
1학년/1학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/1학기,전공필수,MIL017,군사학개론,3(3)
1학년/1학기,전공필수,MIL037,천마인재개발및체력단련(1),2(3)
1학년/1학기,전공선택,MIL055,태권도(1),1(1.5)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00336,의사소통기술,3(3)
1학년/2학기,교양필수,U00565,한국사,3(3)
1학년/2학기,전공필수,MIL001,국가안보론,3(3)
1학년/2학기,전공필수,MIL025,병영체험훈련(1),1(2)
1학년/2학기,전공필수,MIL032,전쟁사(1),2(2)
1학년/2학기,전공필수,MIL038,천마인재개발및체력단련(2),2(3)
1학년/2학기,전공선택,MIL056,태권도(2),1(1.5)
2학년/1학기,전공필수,MIL019,극기훈련,1(2)
2학년/1학기,전공필수,MIL021,무기체계론,3(3)
2학년/1학기,전공필수,MIL027,북한학,2(2)
2학년/1학기,전공필수,MIL039,천마인재개발및체력단련(3),1(1.5)
2학년/1학기,전공선택,MIL004,국방조직론,3(3)
2학년/1학기,전공선택,MIL009,군사사상,3(3)
2학년/1학기,전공선택,MIL050,군사영어,3(3)
2학년/2학기,전공필수,MIL020,리더십,2(2)
2학년/2학기,전공필수,MIL026,병영체험훈련(2),1(2)
2학년/2학기,전공필수,MIL033,전쟁사(2),2(2)
2학년/2학기,전공필수,MIL040,천마인재개발및체력단련(4),1(1.5)
2학년/2학기,전공선택,MIL005,군대윤리,2(2)
2학년/2학기,전공선택,MIL016,군사지리학,3(3)
3학년/1학기,전공필수,MIL041,천마인재개발및체력단련(5),1(1.5)
3학년/1학기,전공선택,MIL045,군사법,2(2)
3학년/1학기,전공선택,MIL014,군사이론,3(3)
3학년/1학기,전공선택,MIL015,군사전략론,3(3)
3학년/1학기,전공선택,MIL023,민군관계론,3(3)
3학년/1학기,전공선택,MIL054,전술학,3(3)
3학년/2학기,전공필수,MIL042,천마인재개발및체력단련(6),1(1.5)
3학년/2학기,전공선택,MIL003,국방정책론,3(3)
3학년/2학기,전공선택,MIL006,군사과학기술,3(3)
3학년/2학기,전공선택,MIL008,군사사,3(3)
3학년/2학기,전공선택,MIL011,군사심리학,3(3)
3학년/2학기,전공선택,MIL022,미래전쟁,3(3)
4학년/1학기,전공필수,MIL043,천마인재개발및체력단련(7),1(1.5)
4학년/1학기,전공선택,MIL051,드론(1),1(1.5)
4학년/1학기,전공선택,MIL024,방위산업론,3(3)
4학년/1학기,전공선택,MIL034,지휘론,3(3)
4학년/2학기,전공필수,MIL044,천마인재개발및체력단련(8),1(1.5)
4학년/2학기,전공선택,MIL046,국제분쟁,3(3)
4학년/2학기,전공선택,MIL010,군사세미나,3(3)
4학년/2학기,전공선택,MIL052,드론(2),1(1.5)
4학년/2학기,전공선택,MIL053,소부대관리및전술,3(3)
4학년/2학기,전공선택,MIL029,위기관리론,3(3)
