학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00911,대학생활과전공설계,1(1)
1학년/1학기,교양필수,U00258,실용영어,3(3)
1학년/1학기,전공핵심,SOC090,사회학으로의초대,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/2학기,전공핵심,SOC092,인간관계의사회학,3(3)
2학년/1학기,전공핵심,SOC101,가족사회학,3(3)
2학년/1학기,전공핵심,SOC003,고전사회학이론,3(3)
2학년/1학기,전공핵심,SOC028,사회조사방법론,3(3)
2학년/1학기,전공핵심,SOC049,인간행동과사회환경,3(3)
2학년/1학기,전공선택,SOC010,문화사회학,3(3)
2학년/1학기,전공선택,SOC046,산업사회학,3(3)
2학년/2학기,전공핵심,SOC031,사회통계학,3(3)
2학년/2학기,전공핵심,SOC060,직업사회학,3(3)
2학년/2학기,전공선택,SOC094,ChatGPT와프롬프트,3(3)
2학년/2학기,전공선택,SOC103,글로벌사회와사회갈등분석,3(3)
2학년/2학기,전공선택,SOC104,다문화사회의이해와과제,3(3)
2학년/2학기,전공선택,SOC020,사회문제론,3(3)
2학년/2학기,전공선택,SOC091,지능정보사회론,3(3)
3학년/1학기,전공핵심,SOC054,정치사회학,3(3)
3학년/1학기,전공핵심,SOC068,현대사회학이론,3(3)
3학년/1학기,전공선택,SOC096,감정사회학,3(3)
3학년/1학기,전공선택,SOC105,대중문화의분석,3(3)
3학년/1학기,전공선택,T00170,사회교육론,3(3)
3학년/1학기,전공선택,SOC051,인구사회학,3(3)
3학년/1학기,전공선택,SOC088,지역사회혁신캡스톤디자인(I),3(6)
3학년/2학기,전공핵심,SOC085,빈곤론,3(3)
3학년/2학기,전공선택,SOC102,K-VILLAGE와지역활력,3(3)
3학년/2학기,전공선택,SOC013,미디어의사회학,3(3)
3학년/2학기,전공선택,T00179,사회교재연구및지도법,3(3)
3학년/2학기,전공선택,SOC084,사회복지학개론,3(3)
3학년/2학기,전공선택,SOC087,인공지능사회학,3(3)
3학년/2학기,전공선택,SOC089,지역사회혁신캡스톤디자인(II),3(6)
3학년/2학기,전공선택,SOC097,질적연구방법론,3(3)
3학년/2학기,전공선택,SOC093,창의적문제해결과빅데이터분석,3(3)
3학년/2학기,전공선택,SOC062,컴퓨터와사회조사분석,3(3)
3학년/2학기,전공선택,SOC064,한국의사회문제,3(3)
3학년/2학기,전공선택,SOC076,현장실습(사회1),3(3)
4학년/1학기,전공핵심,SOC067,현대사회와대중문화,3(3)
4학년/1학기,전공선택,SOC080,대구경북지역의이해,3(3)
4학년/1학기,전공선택,SOC098,범죄사회학,3(3)
4학년/1학기,전공선택,T00156,사회논리및논술,2(2)
4학년/1학기,전공선택,SOC075,이민·다문화현장실습,2(2)
4학년/1학기,전공선택,SOC077,현장실습(사회2),3(3)
4학년/2학기,전공선택,SOC023,사회보장론,3(3)
4학년/2학기,전공선택,SOC099,조직사회학,3(3)
4학년/2학기,전공선택,SOC100,환경사회학,3(3)
