학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00911,대학생활과전공설계,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00210,생활법률,3(3)
1학년/2학기,전공핵심,POL075,정치학원론,3(3)
1학년/2학기,전공핵심,POL083,한국정치사,3(3)
2학년/1학기,전공핵심,POL006,국제관계사,3(3)
2학년/1학기,전공핵심,POL015,권력과리더십,3(3)
2학년/1학기,전공핵심,POL036,비교정치론,3(3)
2학년/1학기,전공선택,POL046,시사정치영어,3(3)
2학년/1학기,전공선택,POL047,여성과정치,3(3)
2학년/1학기,전공선택,POL081,한국외교사,3(3)
2학년/2학기,전공핵심,POL013,국제정치론,3(3)
2학년/2학기,전공핵심,POL041,서양정치사상,3(3)
2학년/2학기,전공선택,POL011,국제시사영어,3(3)
2학년/2학기,전공선택,POL031,미국정치론,3(3)
2학년/2학기,전공선택,POL051,유럽정치론,3(3)
2학년/2학기,전공선택,POL062,정치와경제,3(3)
3학년/1학기,전공핵심,POL096,선거와정당,3(3)
3학년/1학기,전공핵심,POL095,정치토론연습,3(3)
3학년/1학기,전공핵심,POL073,정치학방법론,3(3)
3학년/1학기,전공핵심,POL082,한국정치론,3(3)
3학년/1학기,전공핵심,POL089,현대정치사상,3(3)
3학년/1학기,전공선택,T00170,사회교육론,3(3)
3학년/2학기,전공핵심,POL035,북한정치론,3(3)
3학년/2학기,전공핵심,POL048,외교론,3(3)
3학년/2학기,전공핵심,POL101,전쟁과평화세미나,3(3)
3학년/2학기,전공핵심,POL072,정치학고전강독,3(3)
3학년/2학기,전공선택,T00179,사회교재연구및지도법,3(3)
3학년/2학기,전공선택,POL100,아시아의정치와사상,3(3)
3학년/2학기,전공선택,POL102,정책금융제도의이해,3(3)
4학년/1학기,전공선택,POL099,남북한관계론,3(3)
4학년/1학기,전공선택,POL029,리더십현장실습(1),3(3)
4학년/1학기,전공선택,T00156,사회논리및논술,2(2)
4학년/1학기,전공선택,POL052,인권과정치,3(3)
4학년/1학기,전공선택,POL074,정치학연습,3(3)
4학년/1학기,전공선택,POL091,중국의정치와외교,3(3)
4학년/1학기,전공선택,POL084,한국정치사상,3(3)
4학년/2학기,전공선택,POL007,국제관계특강,3(3)
4학년/2학기,전공선택,POL030,리더십현장실습(2),3(3)
4학년/2학기,전공선택,POL092,문화예술과정치,3(3)
4학년/2학기,전공선택,POL077,정치학특강,3(3)
4학년/2학기,전공선택,POL103,지정학세미나,3(3)
