학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00911,대학생활과전공설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00246,소프트웨어세계,3(3)
1학년/1학기,교양필수,U00258,실용영어,3(3)
1학년/1학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/2학기,교양필수,U00107,독서와토론,3(3)
1학년/2학기,교양필수,U00562,생명과학입문,3(3)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,전공핵심,FOR130,임산학개론,3(3)
1학년/2학기,전공선택,FOR136,산림정보학개론,3(4)
2학년/1학기,전공핵심,FOR008,목재가공학,3(3)
2학년/1학기,전공핵심,FOR063,산림자원측정학,3(3)
2학년/1학기,전공핵심,FOR066,산림측량학,3(3)
2학년/1학기,전공핵심,FOR087,수목학,3(3)
2학년/1학기,전공핵심,FOR089,수목학실습,1(2)
2학년/1학기,전공선택,FOR067,산림측량학실습,1(2)
2학년/2학기,전공핵심,FOR018,목재식별학,3(3)
2학년/2학기,전공핵심,FOR052,산림생태학,3(3)
2학년/2학기,전공핵심,FOR060,산림자원경영학,3(3)
2학년/2학기,전공핵심,FOR061,산림자원경영학실습,1(2)
2학년/2학기,전공핵심,FOR086,수목생리학,3(3)
2학년/2학기,전공선택,T00039,농업교육론,3(3)
2학년/2학기,전공선택,FOR128,목재환경과학,3(3)
2학년/2학기,전공선택,FOR070,산림환경보전공학,3(3)
2학년/2학기,전공선택,FOR071,산림환경공학실습,1(2)
3학년/1학기,전공핵심,FOR068,산림토양학,3(3)
3학년/1학기,전공핵심,FOR137,산림휴양복지학,3(3)
3학년/1학기,전공핵심,FOR138,산림휴양복지학실습,1(2)
3학년/1학기,전공핵심,FOR116,조림학및실습,3(4)
3학년/1학기,전공선택,T00152,농업논문작성,2(2)
3학년/1학기,전공선택,FOR133,산림보호관리모델링,3(3)
3학년/1학기,전공선택,FOR134,산림보호관리모델링실습,1(2)
3학년/2학기,전공핵심,FOR139,산림보호학원론,3(3)
3학년/2학기,전공핵심,FOR093,연습림종합실습,3(3)
3학년/2학기,전공핵심,FOR100,임목육종학,2(2)
3학년/2학기,전공핵심,FOR110,자연공원관리학,3(3)
3학년/2학기,전공선택,T00040,농업과자연유전및지도법,3(3)
3학년/2학기,전공선택,FOR016,목재보존학,3(3)
4학년/1학기,전공선택,FOR057,산림유역관리학,3(3)
4학년/1학기,전공선택,FOR062,산림자원정책학,2(2)
4학년/1학기,전공선택,FOR127,산림자원현장실습,3(3)
4학년/2학기,전공선택,FOR131,국제자원환경관리학,2(2)
4학년/2학기,전공선택,FOR132,산림자원종합실습,2(2)
4학년/2학기,전공선택,FOR140,숲치유입문론,3(3)
