학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00911,대학생활과전공설계,1(1)
1학년/1학기,교양필수,U00258,실용영어,3(3)
1학년/1학기,교양필수,U00374,일반화학(1),3(3)
1학년/1학기,교양필수,U00469,통계학(1),3(3)
1학년/1학기,전공핵심,DBT061,생명공학입문(1),3(3)
1학년/1학기,전공선택,DBT078,기초생명공학이론및실험,3(4)
1학년/1학기,전공선택,DBT079,기초세포공학이론및실험,3(4)
1학년/1학기,전공선택,DBT083,생명일반화학,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00723,식물의세계,3(3)
1학년/2학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/2학기,전공핵심,DBT062,생명공학입문(2),3(3)
1학년/2학기,전공선택,DBT080,미생물이론및실험,3(4)
1학년/2학기,전공선택,DBT039,생명공학과PD활용,3(3)
1학년/2학기,전공선택,DBT082,생명공학및생화학이론과실험,3(4)
1학년/2학기,전공선택,DBT019,유기화학,3(3)
2학년/1학기,전공핵심,DBT056,생화학,3(3)
2학년/1학기,전공핵심,DBT048,인체생명과학,3(3)
2학년/1학기,전공선택,DBT047,미생물분자유전학,3(3)
2학년/1학기,전공선택,DBT075,인간유전체학,3(3)
2학년/2학기,전공핵심,DBT006,미생물학,3(3)
2학년/2학기,전공핵심,DBT007,바이러스학,3(3)
2학년/2학기,전공핵심,DBT099,시스템생물학,3(3)
2학년/2학기,전공핵심,DBT021,유전학,3(3)
2학년/2학기,전공선택,DBT044,동물세포공학,3(3)
2학년/2학기,전공선택,DBT084,생물정보학이론및실험,3(4)
3학년/1학기,전공핵심,DBT017,세포생물학,3(3)
3학년/1학기,전공핵심,DBT063,의학유전학,3(3)
3학년/1학기,전공선택,DBT094,기기분석화학,3(3)
3학년/1학기,전공선택,DBT036,식물대사공학,3(3)
3학년/1학기,전공선택,DBT050,줄기세포공학,3(3)
3학년/2학기,전공핵심,DBT011,분자생물학,3(3)
3학년/2학기,전공핵심,DBT026,생물정보학,3(4)
3학년/2학기,전공선택,DBT100,합성생물학,3(3)
3학년/2학기,전공선택,DBT070,발생공학,3(3)
3학년/2학기,전공선택,DBT055,생물통계학,3(3)
3학년/2학기,전공선택,DBT051,캡스톤디자인연구(생명공학과)(1),2(4)
3학년/2학기,전공선택,DBT053,현장실습(생명공학과),3(3)
4학년/1학기,전공핵심,DBT003,면역학,3(3)
4학년/1학기,전공선택,DBT066,대사생화학,3(3)
4학년/1학기,전공선택,DBT096,바이오의약품품질관리실무,3(4.5)
4학년/1학기,전공선택,DBT097,바이오캡스톤디자인(생명공학과)(1),2(4)
4학년/1학기,전공선택,DBT072,생물정보분석및리포트작성(한컴프로그램),3(4)
4학년/1학기,전공선택,DBT085,의약품생명공학,3(3)
4학년/1학기,전공선택,DBT052,캡스톤디자인연구(생명공학과)(2),2(4)
4학년/1학기,전공선택,DBT053,현장실습(생명공학과),3(3)
4학년/2학기,전공선택,DBT095,디지털바이오의약,2(4)
4학년/2학기,전공선택,DBT088,바이오기술투자,1(1)
4학년/2학기,전공선택,DBT098,바이오캡스톤디자인(생명공학과)(2),2(4)
4학년/2학기,전공선택,DBT092,환경미생물과학,1(1)
