학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00911,대학생활과전공설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00258,실용영어,3(3)
1학년/1학기,교양필수,U00270,심리학의이해,3(3)
1학년/1학기,전공핵심,LAR039,조경계획,3(3)
1학년/1학기,전공핵심,LAR092,조경도면및표현기법,3(6)
1학년/2학기,교양필수,U00800,계열소양영어,3(3)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00336,의사소통기술,3(3)
1학년/2학기,전공핵심,LAR110,조경디지털그래픽(1),3(6)
1학년/2학기,전공핵심,LAR103,조경수목의이해와연습,3(4)
2학년/1학기,전공핵심,LAR009,공원녹지계획,3(3)
2학년/1학기,전공핵심,LAR113,커뮤니티공간계획,3(4)
2학년/1학기,전공선택,LAR111,조경디지털그래픽(2),3(6)
2학년/1학기,전공선택,LAR094,조경식물학및실습,3(4)
2학년/1학기,전공선택,LAR077,환경디자인론,3(3)
2학년/2학기,전공핵심,LAR099,GIS공간분석,3(4)
2학년/2학기,전공핵심,LAR005,경관생태학,3(3)
2학년/2학기,전공핵심,LAR096,조경설계스튜디오(1),3(6)
2학년/2학기,전공선택,LAR026,서양조경사,3(3)
2학년/2학기,전공선택,LAR027,식재계획,3(4)
2학년/2학기,전공선택,LAR093,조경소재론,3(3)
3학년/1학기,전공핵심,LAR036,정원설계,3(6)
3학년/1학기,전공선택,LAR023,동양조경사,3(3)
3학년/1학기,전공선택,LAR091,여가공간계획,3(3)
3학년/1학기,전공선택,LAR042,조경관리학,3(3)
3학년/1학기,전공선택,LAR102,조경디자인상세,3(3)
3학년/1학기,전공선택,LAR104,조경시공구조학,3(3)
3학년/1학기,전공선택,LAR078,환경생태학,3(3)
3학년/2학기,전공핵심,LAR097,조경설계스튜디오(2),3(6)
3학년/2학기,전공핵심,LAR060,조경적산학,3(3)
3학년/2학기,전공선택,LAR004,경관분석,3(3)
3학년/2학기,전공선택,LAR022,도시설계론,3(3)
3학년/2학기,전공선택,LAR112,조경통계기초,3(3)
3학년/2학기,전공선택,LAR081,환경심리,3(3)
4학년/1학기,전공핵심,LAR001,현대조경론,3(3)
4학년/1학기,전공선택,LAR100,농어촌계획,3(3)
4학년/1학기,전공선택,LAR050,조경설계세미나,3(6)
4학년/1학기,전공선택,LAR109,조경실무,3(3)
4학년/2학기,전공선택,LAR012,광역조경계획,3(3)
4학년/2학기,전공선택,LAR101,도시생태계및생태복원,3(3)
