학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00911,대학생활과전공설계,1(1)
1학년/1학기,교양필수,U00580,지속가능한공공디자인,3(3)
1학년/1학기,전공핵심,IID253,ID스튜디오(1),2(3)
1학년/1학기,전공핵심,IID069,디지털2D디자인,2(3)
1학년/1학기,전공선택,IID226,ID테크니컬드로잉,2(3)
1학년/1학기,전공선택,IID028,기초디자인(1),2(3)
1학년/2학기,교양필수,U00107,독서와토론,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,전공핵심,IID254,ID스튜디오(2),2(3)
1학년/2학기,전공핵심,IID070,디지털3D디자인,2(3)
1학년/2학기,전공선택,IID029,기초디자인(2),2(3)
1학년/2학기,전공선택,IID237,산업아이덴티티디자인,2(3)
2학년/1학기,전공핵심,IID037,기초제품디자인(1),2(3)
2학년/1학기,전공핵심,IID043,기초환경조형디자인(1),2(3)
2학년/1학기,전공핵심,IID055,디자인론,2(2)
2학년/1학기,전공핵심,IID259,디지털패브리케이션,2(3)
2학년/1학기,전공핵심,IID238,아이디어프레젠테이션디자인,2(3)
2학년/1학기,전공선택,IID250,기초스타일스튜디오,2(3)
2학년/1학기,전공선택,IID252,뉴미디어콘텐츠기획,2(3)
2학년/1학기,전공선택,IID245,디자인발상과표현기법,2(3)
2학년/2학기,전공핵심,IID235,UX디자인,2(3)
2학년/2학기,전공핵심,IID255,기초모빌리티디자인,2(3)
2학년/2학기,전공핵심,IID038,기초제품디자인(2),2(3)
2학년/2학기,전공핵심,IID044,기초환경조형디자인(2),2(3)
2학년/2학기,전공선택,IID251,3D콘텐츠디자인,2(3)
2학년/2학기,전공선택,IID206,공간마케팅,2(2)
2학년/2학기,전공선택,IID050,디자인과테크놀로지,2(3)
2학년/2학기,전공선택,IID249,디자인역량강화(ADVENTURE DESIGN),2(3)
2학년/2학기,전공선택,IID256,디지털디자인스튜디오(1),2(3)
3학년/1학기,전공핵심,IID013,공공디자인(1),2(3)
3학년/1학기,전공핵심,IID260,모빌리티디자인(1)(종합설계),2(3)
3학년/1학기,전공핵심,IID239,인터페이스디자인(종합설계),2(3)
3학년/1학기,전공핵심,IID231,제품디자인(1)(종합설계),2(3)
3학년/1학기,전공핵심,IID233,환경디자인(1)(종합설계),2(3)
3학년/1학기,전공선택,IID244,디자인논리및논술,2(2)
3학년/1학기,전공선택,IID204,디자인플로키핑,2(2)
3학년/1학기,전공선택,IID205,디지털3D영상기법,2(3)
3학년/1학기,전공선택,IID257,디지털디자인스튜디오(2),2(3)
3학년/1학기,전공선택,IID264,아이웨어디자인(1),2(3)
3학년/2학기,전공핵심,IID261,모빌리티디자인(2)(종합설계),2(3)
3학년/2학기,전공핵심,IID232,제품디자인(2)(종합설계),2(3)
3학년/2학기,전공핵심,IID234,환경디자인(2)(종합설계),2(3)
3학년/2학기,전공선택,IID241,디자인교육론,3(3)
3학년/2학기,전공선택,IID258,디지털디자인스튜디오(3),2(3)
3학년/2학기,전공선택,IID266,사회혁신디자인,2(3)
3학년/2학기,전공선택,IID216,산업디자인(1)(캡스톤디자인연구),2(4)
3학년/2학기,전공선택,IID218,산업디자인현장실습(1),3(3)
3학년/2학기,전공선택,IID265,아이웨어디자인(2),2(3)
3학년/2학기,전공선택,IID222,환경디자인현장실무,2(3)
4학년/1학기,전공핵심,IID262,모빌리티시스템디자인(1),2(3)
4학년/1학기,전공핵심,IID220,제품시스템디자인(1),2(3)
4학년/1학기,전공핵심,IID223,환경시스템디자인(1),2(3)
4학년/1학기,전공선택,IID242,디자인교재연구및지도법,3(3)
4학년/1학기,전공선택,IID207,디자인리더십과포트폴리오,2(3)
4학년/1학기,전공선택,IID217,산업디자인(2)(캡스톤디자인연구),2(4)
4학년/1학기,전공선택,IID219,산업디자인현장실습(2),3(3)
4학년/1학기,전공선택,IID248,환경디자인취업실무,2(3)
4학년/2학기,전공선택,IID010,공간디자인워크샵,2(3)
4학년/2학기,전공선택,IID263,모빌리티시스템디자인(2),2(3)
4학년/2학기,전공선택,IID095,산업디자인실무,2(3)
4학년/2학기,전공선택,IID221,제품시스템디자인(2),2(3)
4학년/2학기,전공선택,IID224,환경시스템디자인(2),2(3)
