학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00911,대학생활과전공설계,1(1)
1학년/1학기,교양필수,U00258,실용영어,3(3)
1학년/1학기,교양필수,U00595,음악감상및비평,3(3)
1학년/1학기,전공핵심,MUS002,시창·청음,2(2)
1학년/1학기,전공핵심,MUS015,전공실기(1),2(2)
1학년/1학기,전공핵심,MUS005,화성법(1),2(2)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00409,전통음악의이해,3(3)
1학년/2학기,전공핵심,MUS002,시창·청음,2(2)
1학년/2학기,전공핵심,MUS010,전공실기(1),2(2)
1학년/2학기,전공핵심,MUS025,화성법(2),2(2)
2학년/1학기,전공핵심,KAC017,전공세미나(1),2(3)
2학년/1학기,전공핵심,KAC018,전공세미나(2),2(3)
2학년/1학기,전공핵심,KAC009,전공실기(2),2(2)
2학년/1학기,전공핵심,KAC031,화성법(3),2(2)
2학년/1학기,전공선택,KAC022,국악장단법,2(2)
2학년/1학기,전공선택,KAC002,대위법,2(2)
2학년/1학기,전공선택,KAC037,민속합주(1),1(1.5)
2학년/1학기,전공선택,KAC003,서양음악사(1),2(2)
2학년/1학기,전공선택,KAC023,세계음악춤,2(2)
2학년/1학기,전공선택,KAC028,연주(1),1(1.5)
2학년/1학기,전공선택,KAC007,음악분석(1),1(1)
2학년/1학기,전공선택,KAC012,제2실기(1),1(1)
2학년/1학기,전공선택,KAC039,한국음악워크숍(1),2(2)
2학년/1학기,전공선택,KAC036,한국음악프로덕션,2(2)
2학년/1학기,전공선택,KAC015,합창,1(1.5)
2학년/2학기,전공핵심,KAC017,전공세미나(1),2(3)
2학년/2학기,전공핵심,KAC018,전공세미나(2),2(3)
2학년/2학기,전공핵심,KAC009,전공실기(2),2(2)
2학년/2학기,전공핵심,KAC032,화성법(4),2(2)
2학년/2학기,전공선택,KAC037,민속합주(1),1(1.5)
2학년/2학기,전공선택,KAC004,서양음악사(2),2(2)
2학년/2학기,전공선택,KAC023,세계음악춤,2(2)
2학년/2학기,전공선택,KAC005,연주(1),1(1.5)
2학년/2학기,전공선택,KAC008,음악분석(2),1(1)
2학년/2학기,전공선택,KAC012,제2실기(1),1(1)
2학년/2학기,전공선택,KAC039,한국음악워크숍(1),2(2)
2학년/2학기,전공선택,KAC036,한국음악프로덕션,2(2)
2학년/2학기,전공선택,KAC014,한국전통성악,2(2)
2학년/2학기,전공선택,KAC015,합창,1(1.5)
3학년/1학기,전공핵심,KAC010,전공실기(3),2(2)
3학년/1학기,전공핵심,KAC021,한국음악사,2(2)
3학년/1학기,전공선택,KAC001,관현악법,2(2)
3학년/1학기,전공선택,KAC027,국악교육론,2(2)
3학년/1학기,전공선택,KAC038,민속합주(2),1(1.5)
3학년/1학기,전공선택,KAC006,연주(2),1(1.5)
3학년/1학기,전공선택,T00163,음악논리및논술,2(2)
3학년/1학기,전공선택,KAC029,음악분석(3),1(1)
3학년/1학기,전공선택,KAC019,전공세미나(3),2(3)
3학년/1학기,전공선택,KAC013,제2실기(2),1(1)
3학년/1학기,전공선택,KAC040,한국음악워크숍(2),2(2)
3학년/2학기,전공핵심,KAC010,전공실기(3),2(2)
3학년/2학기,전공핵심,KAC021,한국음악사,2(2)
3학년/2학기,전공선택,KAC026,국악교수학습방법,2(2)
3학년/2학기,전공선택,KAC034,국악교육프로그램개발,2(2)
3학년/2학기,전공선택,KAC035,뮤직테크놀로지,2(2)
3학년/2학기,전공선택,KAC038,민속합주(2),1(1.5)
3학년/2학기,전공선택,KAC006,연주(2),1(1.5)
3학년/2학기,전공선택,T00084,음악교재연구및지도법,3(3)
3학년/2학기,전공선택,KAC030,음악분석(4),1(1)
3학년/2학기,전공선택,KAC019,전공세미나(3),2(3)
3학년/2학기,전공선택,KAC040,한국음악워크숍(2),2(2)
4학년/1학기,전공핵심,KAC011,전공실기(4),2(2)
4학년/1학기,전공선택,T00083,음악교육론,3(3)
4학년/1학기,전공선택,KAC020,전공세미나(4),2(3)
4학년/1학기,전공선택,KAC016,편곡법,2(2)
4학년/2학기,전공핵심,KAC011,전공실기(4),2(2)
4학년/2학기,전공선택,KAC033,실용음악세미나,2(2)
4학년/2학기,전공선택,KAC017,전공세미나(4),2(2)
