학년/학기,구분,학수번호,교과목명,학점(시간)
2학년/1학기,전공핵심,PIA080,기악연주(1),1(1.5)
2학년/1학기,전공핵심,PIA032,피아노문헌(1),2(2)
2학년/1학기,전공핵심,PIA076,피아노전공실기(2),2(2)
2학년/1학기,전공핵심,PIA070,화성법(3),2(2)
2학년/1학기,전공선택,PIA014,서양음악사(1),2(2)
2학년/1학기,전공선택,PIA018,시창·청음(2),2(2)
2학년/1학기,전공선택,PIA023,일반합창,1(1.5)
2학년/1학기,전공선택,PIA072,피아노테크닉(1),2(2)
2학년/2학기,전공핵심,PIA080,기악연주(1),1(1.5)
2학년/2학기,전공핵심,PIA032,피아노문헌(1),2(2)
2학년/2학기,전공핵심,PIA076,피아노전공실기(2),2(2)
2학년/2학기,전공핵심,PIA071,화성법(4),2(2)
2학년/2학기,전공선택,PIA015,서양음악사(2),2(2)
2학년/2학기,전공선택,PIA018,시창·청음(2),2(2)
2학년/2학기,전공선택,PIA023,일반합창,1(1.5)
2학년/2학기,전공선택,PIA072,피아노테크닉(1),2(2)
3학년/1학기,전공핵심,PIA081,기악연주(2),1(1.5)
3학년/1학기,전공핵심,PIA033,피아노문헌(2),2(2)
3학년/1학기,전공핵심,PIA077,피아노전공실기(3),2(2)
3학년/1학기,전공선택,PIA099,대위법,2(2)
3학년/1학기,전공선택,PIA011,반주법,2(2)
3학년/1학기,전공선택,PIA016,서양음악사(3),2(2)
3학년/1학기,전공선택,PIA021,음악분석,2(2)
3학년/1학기,전공선택,PIA067,제2실기(1),1(1)
3학년/2학기,전공핵심,PIA081,기악연주(2),1(1.5)
3학년/2학기,전공핵심,PIA033,피아노문헌(2),2(2)
3학년/2학기,전공핵심,PIA077,피아노전공실기(3),2(2)
3학년/2학기,전공선택,PIA009,대위법,2(2)
3학년/2학기,전공선택,PIA069,서양음악사(4),2(2)
3학년/2학기,전공선택,PIA021,음악분석,2(2)
3학년/2학기,전공선택,PIA067,제2실기(1),1(1)
4학년/1학기,전공핵심,PIA078,피아노전공실기(4),2(2)
4학년/1학기,전공선택,PIA004,건반화성,2(2)
4학년/1학기,전공선택,PIA062,음악경영,2(2)
4학년/1학기,전공선택,PIA055,음악교수학습방법,2(2)
4학년/1학기,전공선택,PIA068,제2실기(2),1(1)
4학년/2학기,전공핵심,PIA078,피아노전공실기(4),2(2)
4학년/2학기,전공선택,PIA056,음악교육…교구개발및활용,2(2)
4학년/2학기,전공선택,PIA068,제2실기(2),1(1)
4학년/2학기,전공선택,PIA038,피아노앙상블,2(2)
