학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00800,계열실무영어,3(3)
1학년/1학기,교양필수,U00911,대학생활과전공설계,1(1)
1학년/1학기,교양필수,U00302,영문독해,3(3)
1학년/1학기,전공핵심,ENL064,영미시의이해,3(3)
1학년/1학기,전공핵심,ENL102,영어학의이해,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00303,영미문화와사회,3(3)
1학년/2학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/2학기,전공핵심,ENL060,영미소설의이해,3(3)
1학년/2학기,전공핵심,ENL120,영미연극의이해,3(3)
2학년/1학기,전공핵심,ENL041,실용영문법과연습,3(3)
2학년/1학기,전공핵심,ENL045,영국문학사,3(3)
2학년/1학기,전공핵심,ENL105,영어회화(1),3(3)
2학년/1학기,전공선택,ENL034,시네마영어,3(3)
2학년/2학기,전공핵심,ENL017,미국문학사,3(3)
2학년/2학기,전공핵심,ENL087,영어발음과연습,3(3)
2학년/2학기,전공핵심,ENL106,영어회화(2),3(3)
2학년/2학기,전공선택,ENL004,19세기영국소설,3(3)
2학년/2학기,전공선택,ENL125,영어학습방법,3(3)
3학년/1학기,전공핵심,ENL098,영어작문(1),3(3)
3학년/1학기,전공선택,ENL002,18세기영국소설,3(3)
3학년/1학기,전공선택,ENL124,근대미국소설,3(3)
3학년/1학기,전공선택,ENL119,글로벌문화콘텐츠와항공서비스영어,3(3)
3학년/1학기,전공선택,ENL117,미국연극과뮤지컬,3(3)
3학년/1학기,전공선택,ENL086,영어문장의구조,3(3)
3학년/2학기,전공핵심,ENL099,영어작문(2),3(3)
3학년/2학기,전공선택,ENL014,근대영미시,3(3)
3학년/2학기,전공선택,ENL116,서양어문학과진로개발,2(2)
3학년/2학기,전공선택,T00077,영어교재연구및지도법,3(3)
3학년/2학기,전공선택,ENL077,영어구문과의미,3(3)
3학년/2학기,전공선택,ENL121,영어구문분석과응용,3(3)
3학년/2학기,전공선택,ENL122,영화로만나는셰익스피어,3(3)
3학년/2학기,전공선택,ENL123,현대영국연극과뮤지컬,3(3)
4학년/1학기,전공선택,ENL007,20세기영국소설,3(3)
4학년/1학기,전공선택,ENL040,실무영어,3(3)
4학년/1학기,전공선택,ENL043,아시아계미국문학과영화,3(3)
4학년/1학기,전공선택,ENL055,영미문학비평,3(3)
4학년/1학기,전공선택,ENL067,영미아동문학,3(3)
4학년/1학기,전공선택,T00075,영어교육론,3(3)
4학년/1학기,전공선택,T00160,영어논리및논술,2(2)
4학년/1학기,전공선택,ENL118,영어음성분석실습,3(3)
4학년/2학기,전공선택,ENL009,20세기영미시,3(3)
4학년/2학기,전공선택,ENL053,영문학특강,3(3)
4학년/2학기,전공선택,ENL097,영어인터뷰연습,3(3)
4학년/2학기,전공선택,ENL126,현대미국소설,3(3)
