학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00911,대학생활과전공설계,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00453,초급일본어(1),3(3)
1학년/1학기,교양필수,U00545,현대일본의이해,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00454,초급일본어(2),3(3)
1학년/2학기,교양필수,U00565,한국사,3(3)
1학년/2학기,전공선택,JAL082,일본어듣기(1),3(3)
1학년/2학기,전공선택,JAL089,일본한자(1),3(3)
2학년/1학기,전공핵심,JAL115,근대일본의이해,3(3)
2학년/1학기,전공핵심,JAL038,일본문화의이해(1),3(3)
2학년/1학기,전공핵심,JAL074,현대일본어문법,3(3)
2학년/1학기,전공선택,JAL083,일본어듣기(2),3(3)
2학년/1학기,전공선택,JAL050,일본어작문,3(3)
2학년/1학기,전공선택,JAL096,초급일본어회화,3(3)
2학년/2학기,전공핵심,JAL094,중급일본어회화,3(3)
2학년/2학기,전공선택,JAL116,디지털인문학의입문과탐색,3(3)
2학년/2학기,전공선택,JAL080,시사일본어,3(3)
2학년/2학기,전공선택,JAL016,실용일본어,3(3)
2학년/2학기,전공선택,JAL039,일본문화의이해(2),3(3)
2학년/2학기,전공선택,JAL088,일본어읽기,3(3)
3학년/1학기,전공핵심,JAL081,일본근대문학의이해,3(3)
3학년/1학기,전공핵심,JAL090,일본한자(2),3(3)
3학년/1학기,전공핵심,JAL098,관광비즈니스일본어,3(3)
3학년/1학기,전공선택,JAL110,디지털일본학의이해,3(3)
3학년/1학기,전공선택,JAL023,일본고전문학사,3(3)
3학년/1학기,전공선택,JAL112,일어일문학종합설계(1),2(4)
3학년/1학기,전공선택,JAL118,지역문화디지털데이터캡스톤디자인(1),3(3)
3학년/1학기,전공선택,JAL103,현장실습(일어일문학),3(3)
3학년/2학기,전공핵심,JAL024,일본고전문학선독,3(3)
3학년/2학기,전공핵심,JAL029,일본근대문학사,3(3)
3학년/2학기,전공핵심,JAL087,일본어음성학,3(3)
3학년/2학기,전공핵심,JAL091,일본현대문학의이해,3(3)
3학년/2학기,전공핵심,JAL092,중급일본어,3(3)
3학년/2학기,전공선택,JAL108,미디어일본문화,3(3)
3학년/2학기,전공선택,JAL100,이문화의이해,2(2)
3학년/2학기,전공선택,T00091,일본어교재연구및지도법,3(3)
3학년/2학기,전공선택,JAL113,일어일문학종합설계(2),2(4)
3학년/2학기,전공선택,JAL119,지역문화디지털데이터캡스톤디자인(2),3(3)
3학년/2학기,전공선택,JAL103,현장실습(일어일문학),3(3)
4학년/1학기,전공선택,T00090,일본어교육론,3(3)
4학년/1학기,전공선택,JAL086,일본어어휘론,3(3)
4학년/1학기,전공선택,JAL106,일한언어비교,3(3)
4학년/1학기,전공선택,JAL101,지역문화와일본,3(3)
4학년/2학기,전공선택,JAL105,일본어토론,3(3)
4학년/2학기,전공선택,JAL033,일본문학과번역,3(3)
4학년/2학기,전공선택,JAL117,일본사회의이해,3(3)
4학년/2학기,전공선택,T00165,일본어논리및논술,2(2)
