학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00911,대학생활과전공설계,1(1)
1학년/1학기,교양필수,U00258,실용영어,3(3)
1학년/1학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/1학기,교양필수,U00614,인간관계의철학,3(3)
1학년/1학기,전공핵심,PHI082,서양고중세철학,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00341,이야기로듣는철학,3(3)
1학년/2학기,전공핵심,PHI054,중국철학사,3(3)
2학년/1학기,전공핵심,PHI046,윤리학,3(3)
2학년/1학기,전공핵심,PHI049,인식론,3(3)
2학년/1학기,전공핵심,PHI052,중국고대유학,3(3)
2학년/1학기,전공선택,PHI019,동양철학고전의이해,3(3)
2학년/1학기,전공선택,PHI081,서양철학원전강독,3(3)
2학년/2학기,전공핵심,PHI012,논리학개론,3(3)
2학년/2학기,전공핵심,PHI024,불교철학사,3(3)
2학년/2학기,전공핵심,PHI079,서양근대철학,3(3)
2학년/2학기,전공선택,PHI089,도덕윤리논리및논술,3(3)
2학년/2학기,전공선택,PHI078,동양철학원전강독,3(3)
3학년/1학기,전공핵심,PHI015,도가철학,3(3)
3학년/1학기,전공핵심,PHI064,한국철학사,3(3)
3학년/1학기,전공핵심,PHI071,현대유럽철학,3(3)
3학년/1학기,전공선택,PHI011,기호논리학,3(3)
3학년/1학기,전공선택,T00115,철학교육론,3(3)
3학년/1학기,전공선택,PHI080,현상학과해석학,3(3)
3학년/2학기,전공핵심,PHI053,중국근세철학,3(3)
3학년/2학기,전공핵심,PHI075,형이상학,3(3)
3학년/2학기,전공선택,PHI017,동아시아근대사상,3(3)
3학년/2학기,전공선택,PHI047,응용윤리학,3(3)
3학년/2학기,전공선택,T00116,철학교재연구및지도법,3(3)
3학년/2학기,전공선택,T00168,철학논리및논술,2(2)
4학년/1학기,전공핵심,PHI087,도덕심리철학,3(3)
4학년/1학기,전공선택,PHI005,과학철학,3(3)
4학년/1학기,전공선택,PHI018,동아시아사상과대중문화,3(3)
4학년/1학기,전공선택,PHI062,철학적인간학,3(3)
4학년/1학기,전공선택,PHI068,현대동양철학,3(3)
4학년/1학기,전공선택,PHI083,현대프랑스철학,3(3)
4학년/2학기,전공핵심,PHI025,사회정치철학,3(3)
4학년/2학기,전공선택,PHI088,문화·기술철학,3(3)
4학년/2학기,전공선택,PHI044,예술철학,3(3)
4학년/2학기,전공선택,PHI050,종교철학,3(3)
4학년/2학기,전공선택,PHI051,주역철학,3(3)
4학년/2학기,전공선택,PHI090,철학논문분석,3(3)
