학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00911,대학생활과전공설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/1학기,교양필수,U00469,통계학(1),3(3)
1학년/2학기,교양필수,U00258,실용영어,3(3)
1학년/2학기,교양필수,U00335,응용통계학,3(3)
1학년/2학기,교양필수,U00470,통계학(2),3(3)
2학년/1학기,전공핵심,STA008,기초확률및분포이론,3(3)
2학년/1학기,전공핵심,STA118,통계패키지,3(3)
2학년/1학기,전공선택,T00158,수학논리및논술,2(2)
2학년/1학기,전공선택,STA125,통계수학,3(3)
2학년/1학기,전공선택,STA090,통계조사방법및분석,3(3)
2학년/1학기,전공선택,STA126,통계프로그래밍,3(3)
2학년/2학기,전공선택,STA117,통계계산,3(3)
2학년/2학기,전공선택,STA078,통계데이터베이스,3(3)
2학년/2학기,전공선택,STA083,통계적방법론,3(3)
2학년/2학기,전공선택,STA087,통계적품질관리,3(3)
2학년/2학기,전공선택,STA088,통계전공영어,3(3)
3학년/1학기,전공핵심,STA037,수리통계학개론(1),3(3)
3학년/1학기,전공핵심,STA110,확률시뮬레이션,3(3)
3학년/1학기,전공핵심,STA112,회귀분석,3(3)
3학년/1학기,전공선택,STA027,보험통계,3(3)
3학년/2학기,전공핵심,STA013,다변량자료분석,3(3)
3학년/2학기,전공핵심,STA038,수리통계학개론(2),3(3)
3학년/2학기,전공핵심,STA061,실험설계와분석,3(3)
3학년/2학기,전공선택,STA127,빅데이터분석,3(3)
3학년/2학기,전공선택,T00065,수학교재연구및지도법,3(3)
3학년/2학기,전공선택,STA122,통계캡스톤디자인(1),2(4)
3학년/2학기,전공선택,STA119,통계현장실습(1),3(3)
3학년/2학기,전공선택,STA106,확률과정모형,3(3)
4학년/1학기,전공핵심,STA051,시계열자료분석과예측,3(3)
4학년/1학기,전공선택,STA003,금융통계학입문,3(3)
4학년/1학기,전공선택,STA115,데이터마이닝입문,3(3)
4학년/1학기,전공선택,STA026,베이지안통계학입문,3(3)
4학년/1학기,전공선택,T00063,수학교육론,3(3)
4학년/1학기,전공선택,STA123,통계캡스톤디자인(2),2(4)
4학년/1학기,전공선택,STA120,통계현장실습(2),3(3)
4학년/2학기,전공선택,STA002,금융통계학,3(3)
4학년/2학기,전공선택,STA025,범주형자료분석,3(3)
4학년/2학기,전공선택,STA029,비모수통계학입문,3(3)
4학년/2학기,전공선택,STA128,통계머신러닝,3(3)
4학년/2학기,전공선택,STA129,통계자료분석,3(3)
