학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00017,경제학의이해,3(3)
1학년/1학기,교양필수,U00822,글로벌비즈니스의이해,3(3)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00066,기업회계의이해,3(3)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00335,응용통계학,3(3)
2학년/1학기,전공핵심,IEB043,글로벌경영학,3(3)
2학년/1학기,전공핵심,IEB064,무역실무,3(3)
2학년/1학기,전공핵심,IEB082,미시경제학,3(3)
2학년/1학기,전공핵심,IEB156,컴퓨터활용과프로그래밍,3(4)
2학년/1학기,전공선택,IEB001,21세기지식특강,1(1)
2학년/1학기,전공선택,IEB057,대외무역법,3(3)
2학년/2학기,전공핵심,IEB005,거시경제학,3(3)
2학년/2학기,전공핵심,IEB010,관세법,3(3)
2학년/2학기,전공핵심,IEB027,국제무역론,3(3)
2학년/2학기,전공핵심,IEB171,기업재무의이해,3(3)
2학년/2학기,전공핵심,IEB161,디지털무역,3(3)
2학년/2학기,전공핵심,IEB066,무역영어,3(3)
2학년/2학기,전공선택,IEB001,21세기지식특강,1(1)
2학년/2학기,전공선택,IEB170,글로벌지속가능성과국제대응,3(3)
2학년/2학기,전공선택,IEB076,무역현장실습(1),3(3)
3학년/1학기,전공핵심,IEB018,국제금융론,3(3)
3학년/1학기,전공핵심,IEB165,미국금융시장,3(3)
3학년/1학기,전공핵심,IEB096,세계지역경제,3(3)
3학년/1학기,전공핵심,IEB133,통상정책론,3(3)
3학년/1학기,전공선택,IEB158,국제운송,3(3)
3학년/1학기,전공선택,IEB148,글로벌창업,3(3)
3학년/1학기,전공선택,IEB053,금융투자론,3(3)
3학년/1학기,전공선택,IEB163,무역과해상보험,3(3)
3학년/1학기,전공선택,IEB077,무역현장실습(2),3(3)
3학년/2학기,전공핵심,IEB086,보험론,3(3)
3학년/2학기,전공선택,IEB014,국제경제관계론,3(3)
3학년/2학기,전공선택,IEB024,국제대금결제론,3(3)
3학년/2학기,전공선택,IEB157,국제물류,3(3)
3학년/2학기,전공선택,IEB041,국제통화금융,3(3)
3학년/2학기,전공선택,IEB162,글로벌금융시장분석,3(3)
3학년/2학기,전공선택,IEB054,기초계량분석,3(3)
3학년/2학기,전공선택,IEB172,무역전공세미나,3(3)
3학년/2학기,전공선택,IEB078,무역현장실습(3),3(3)
3학년/2학기,전공선택,T00056,상업정보교육론,3(3)
3학년/2학기,전공선택,IEB166,크로스컬처관리,3(3)
3학년/2학기,전공선택,IEB160,현장실습(무역),3(3)
4학년/1학기,전공선택,IEB040,국제통상환경,3(3)
4학년/1학기,전공선택,IEB044,글로벌마케팅,3(3)
4학년/1학기,전공선택,IEB169,글로벌상생을위한자원이용과협력,3(3)
4학년/1학기,전공선택,IEB051,글로벌재무관리,3(3)
4학년/1학기,전공선택,IEB154,무역진로세미나,3(3)
4학년/1학기,전공선택,IEB079,무역현장실습(4),3(3)
4학년/1학기,전공선택,IEB080,무역현장실습(5),3(3)
4학년/1학기,전공선택,IEB084,보험경영론,3(3)
4학년/1학기,전공선택,T00057,상업정보교재연구및지도법,3(3)
4학년/1학기,전공선택,IEB167,항공운송물류,3(3)
4학년/1학기,전공선택,IEB160,현장실습(무역),3(3)
4학년/2학기,전공핵심,IEB042,글로벌경영전략,3(3)
4학년/2학기,전공선택,IEB004,FTA실무와활용,3(3)
4학년/2학기,전공선택,IEB168,국제플랫폼비즈니스사례분석,3(3)
4학년/2학기,전공선택,T00157,상업정보논리및논술,2(2)
