학년/학기,구분,학수번호,교과목명,학점(시간)
2학년/1학기,전공필수,AER043,비행기조종학(1),3(3)
2학년/1학기,전공필수,AER035,항공이론,3(3)
2학년/1학기,전공선택,AER015,국제항공물류,3(3)
2학년/1학기,전공선택,AER023,항공과대외무역제도,3(3)
2학년/1학기,전공선택,AER025,항공기초역학,3(3)
2학년/2학기,전공필수,AER018,미래사회와항공물류,3(3)
2학년/2학기,전공필수,AER008,항공실용영어,3(3)
2학년/2학기,전공필수,AER030,항공안전시스템,3(3)
2학년/2학기,전공선택,AER026,항공기추진장치,3(3)
2학년/2학기,전공선택,AER028,항공무역과관세,3(3)
3학년/1학기,전공필수,AER044,비행기조종학(2),3(3)
3학년/1학기,전공선택,AER016,국제항공운송,3(3)
3학년/1학기,전공선택,AER039,모의장비비행(1),3(4)
3학년/1학기,전공선택,AER050,일반비행교육(CPC과정),3(3)
3학년/1학기,전공선택,AER027,항공리더십,3(3)
3학년/2학기,전공필수,AER033,항공전의역사,3(3)
3학년/2학기,전공선택,AER036,국내항공법규,3(3)
3학년/2학기,전공선택,AER037,국제항공기구의이해,3(3)
3학년/2학기,전공선택,AER040,모의장비비행(2),3(4)
3학년/2학기,전공선택,AER050,일반비행교육(CPC과정),3(3)
4학년/1학기,전공필수,AER005,항공력의역할,3(3)
4학년/1학기,전공선택,AER048,국가안보론,3(3)
4학년/1학기,전공선택,AER038,국제항공우주법,3(3)
4학년/1학기,전공선택,AER041,모의장비비행(3),3(4)
4학년/1학기,전공선택,AER029,항공산업전략,3(3)
4학년/2학기,전공선택,AER049,계기비행일반,3(3)
4학년/2학기,전공선택,AER042,모의장비비행(4),3(4)
4학년/2학기,전공선택,AER034,무기체계론,3(3)
4학년/2학기,전공선택,AER051,일반비행교육(MPC과정),3(3)
4학년/2학기,전공선택,AER052,항공운항업무론,3(3)
