학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00015,경영학의이해,3(3)
1학년/1학기,교양필수,U00066,기업회계의이해,3(3)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,전공핵심,ACC065,회계와사회,3(3)
1학년/2학기,교양필수,U00017,경제학의이해,3(3)
1학년/2학기,교양필수,U00800,계열실무영어,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,전공핵심,ACC063,회계와파이선,3(3)
1학년/2학기,전공핵심,ACC014,회계원리,3(3)
2학년/1학기,전공핵심,ACC028,세무학기초,3(3)
2학년/1학기,전공핵심,ACC008,원가회계,3(3)
2학년/1학기,전공핵심,ACC017,재무관리원론,3(3)
2학년/1학기,전공핵심,ACC009,재무회계(1),3(3)
2학년/1학기,전공선택,ACC020,21세기지식특강,1(1)
2학년/1학기,전공선택,ACC044,HR과조직시스템의이해,3(3)
2학년/1학기,전공선택,ACC061,회계영어,3(3)
2학년/2학기,전공핵심,ACC003,관리회계,3(3)
2학년/2학기,전공핵심,ACC053,부가가치세회계,3(3)
2학년/2학기,전공핵심,ACC010,재무회계(2),3(3)
2학년/2학기,전공핵심,ACC032,전산회계,3(3)
2학년/2학기,전공선택,ACC020,21세기지식특강,1(1)
2학년/2학기,전공선택,ACC045,마케팅원론,3(3)
2학년/2학기,전공선택,ACC012,투자론,3(3)
3학년/1학기,전공핵심,ACC066,법인세회계(1),3(3)
3학년/1학기,전공핵심,ACC055,재무회계(3),3(3)
3학년/1학기,전공선택,ACC064,금융공공기관실무,3(3)
3학년/1학기,전공선택,ACC049,원가관리회계연습,3(3)
3학년/1학기,전공선택,ACC056,재무회계연습(1),3(3)
3학년/2학기,전공핵심,ACC067,법인세회계(2),3(3)
3학년/2학기,전공핵심,ACC054,소득세회계,3(3)
3학년/2학기,전공핵심,ACC013,회계감사,3(3)
3학년/2학기,전공선택,ACC002,경영전략론,3(3)
3학년/2학기,전공선택,ACC068,산업과회계,3(3)
3학년/2학기,전공선택,ACC050,세무회계연습,3(3)
3학년/2학기,전공선택,ACC030,연결합병회계,3(3)
3학년/2학기,전공선택,ACC057,재무회계연습(2),3(3)
3학년/2학기,전공선택,ACC059,회계세무현장실습(1),3(3)
4학년/1학기,전공선택,ACC001,경영분석,3(3)
4학년/1학기,전공선택,ACC051,법인세조정실무,3(3)
4학년/1학기,전공선택,ACC046,생산운영관리,3(3)
4학년/1학기,전공선택,ACC033,정부및비영리회계,3(3)
4학년/1학기,전공선택,ACC060,회계세무현장실습(2),3(3)
4학년/1학기,전공선택,ACC039,회계윤리,3(3)
4학년/2학기,전공선택,ACC025,비즈니스모델과기업가정신,3(3)
4학년/2학기,전공선택,ACC037,회계실무세미나,3(3)
4학년/2학기,전공선택,ACC062,회계와딥러닝,3(3)
4학년/2학기,전공선택,ACC016,회사법,3(3)
