학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00361,일반물리(1),3(3)
1학년/1학기,교양필수,U00469,통계학(1),3(3)
1학년/1학기,전공선택,CIV153,건설BIM개론,2(3)
1학년/2학기,교양필수,U00800,계열실무영어,3(3)
1학년/2학기,교양필수,U00145,미분적분학(1),3(3)
1학년/2학기,교양필수,U00798,파이썬프로그래밍,3(3)
1학년/2학기,전공선택,CIV146,건설시스템공학개론,2(2)
2학년/1학기,전공핵심,CIV150,건설계획및관리,3(3)
2학년/1학기,전공핵심,CIV070,유체역학,3(3)
2학년/1학기,전공핵심,CIV082,재료역학,3(3)
2학년/1학기,전공핵심,CIV100,측량학및실습,3(4)
2학년/1학기,전공선택,CIV009,건설재료및실험,3(4)
2학년/1학기,전공선택,CIV015,공업수학(1),2(2)
2학년/2학기,전공핵심,CIV026,구조역학(1),3(3)
2학년/2학기,전공핵심,CIV031,기초수문학,3(3)
2학년/2학기,전공핵심,CIV112,토질역학(1),3(3)
2학년/2학기,전공선택,CIV130,도로공학및실습,3(4)
2학년/2학기,전공선택,CIV156,방재공학개론,3(3)
2학년/2학기,전공선택,CIV131,지형공간정보학및실습,3(4)
2학년/2학기,전공선택,CIV149,환경공학개론,2(2)
3학년/1학기,전공핵심,CIV027,구조역학(2),3(3)
3학년/1학기,전공핵심,CIV072,응용수문학,3(3)
3학년/1학기,전공핵심,CIV093,철근콘크리트,3(3)
3학년/1학기,전공핵심,CIV113,토질역학(2),3(3)
3학년/1학기,전공선택,CIV151,상수도공학,3(3)
3학년/2학기,전공핵심,CIV127,PS콘크리트,3(3)
3학년/2학기,전공핵심,CIV055,수리학및실험,3(4)
3학년/2학기,전공핵심,CIV104,토목시공,3(3)
3학년/2학기,전공핵심,CIV152,하수도공학,3(3)
3학년/2학기,전공선택,CIV085,전산구조해석,2(2)
3학년/2학기,전공선택,CIV091,지반조사및토질실험,2(3)
3학년/2학기,전공선택,CIV142,현장실습(토목1),3(3)
4학년/1학기,전공핵심,CIV157,상하수도계획실무,2(2)
4학년/1학기,전공선택,CIV003,강구조공학,3(3)
4학년/1학기,전공선택,CIV154,건설관리실무,2(2)
4학년/1학기,전공선택,CIV128,건설산업및취업전략,3(3)
4학년/1학기,전공선택,CIV028,기초공학,2(2)
4학년/1학기,전공선택,CIV158,수자원설계실무,3(3)
4학년/1학기,전공선택,CIV140,창의종합설계(1),2(4)
4학년/1학기,전공선택,CIV101,콘크리트구조설계,3(3)
4학년/1학기,전공선택,CIV137,토목설계기법,3(3)
4학년/1학기,전공선택,CIV143,현장실습(토목2),3(3)
4학년/2학기,전공선택,CIV155,건설엔지니어링실무,3(3)
4학년/2학기,전공선택,CIV135,건설현장관리기법,3(3)
4학년/2학기,전공선택,CIV019,교량공학,3(3)
4학년/2학기,전공선택,CIV159,스마트건설실무,2(2)
4학년/2학기,전공선택,CIV088,전산지반공학,3(3)
4학년/2학기,전공선택,CIV141,창의종합설계(2),2(4)
