학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00072,기초수학,3(3)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00258,실용영어,3(3)
1학년/1학기,교양필수,U00361,일반물리(1),3(3)
1학년/1학기,전공필수,ARC004,건축개론,2(2)
1학년/1학기,전공필수,ARC045,건축설계의기초,3(6)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/2학기,교양필수,U00348,인간생활과건축,3(3)
1학년/2학기,전공필수,ARC187,건축구성과설계,3(6)
1학년/2학기,전공필수,ARC090,공학입문설계,2(2)
1학년/2학기,전공선택,ARC001,CAD및실습,2(4)
2학년/1학기,전공필수,ARC023,건축구조의원리,3(3)
2학년/1학기,전공필수,ARC037,건축설계(1),6(12)
2학년/1학기,전공필수,ARC109,서양건축사,3(3)
2학년/1학기,전공선택,ARC003,건축CAD,2(4)
2학년/1학기,전공선택,ARC017,건축구법,3(3)
2학년/1학기,전공선택,ARC169,형태구성,2(4)
2학년/2학기,전공필수,ARC038,건축설계(2),6(12)
2학년/2학기,전공필수,ARC190,건축이론,3(3)
2학년/2학기,전공필수,ARC207,건축재료와응용,3(3)
2학년/2학기,전공선택,ARC160,한국건축사,3(3)
2학년/2학기,전공선택,ARC185,단지계획,2(2)
3학년/1학기,전공필수,ARC203,건축구조시스템,3(3)
3학년/1학기,전공필수,ARC236,건축설계(3)(종합설계),6(12)
3학년/1학기,전공필수,ARC073,건축환경론,3(3)
3학년/1학기,전공선택,ARC188,건축구성론,3(3)
3학년/1학기,전공선택,ARC226,도시건축,3(3)
3학년/2학기,전공필수,ARC237,건축설계(4)(종합설계),6(12)
3학년/2학기,전공필수,ARC201,건축설비계획,2(2)
3학년/2학기,전공필수,ARC205,건축시공기술,2(2)
3학년/2학기,전공필수,ARC161,현대건축,3(3)
3학년/2학기,전공선택,ARC172,환경친화건축,3(3)
3학년/2학기,전공선택,T00177,공업교재연구및지도법,3(3)
3학년/2학기,전공선택,ARC209,스마트건축,2(4)
4학년/1학기,전공필수,ARC034,건축법규,3(3)
4학년/1학기,전공필수,ARC238,건축설계(5)(종합설계),6(12)
4학년/1학기,전공필수,ARC210,현장실습1,3(3)
4학년/1학기,전공선택,ARC206,건축시공실무,2(3)
4학년/1학기,전공선택,ARC070,건축형태론,3(3)
4학년/1학기,전공선택,T00161,공업교육론,3(3)
4학년/1학기,전공선택,ARC108,보존과리노베이션,3(3)
4학년/1학기,전공선택,ARC211,현장실습2,3(3)
4학년/2학기,전공필수,ARC198,건축설계(6)(종합설계),6(12)
4학년/2학기,전공필수,ARC175,건축설계BIM,2(4)
4학년/2학기,전공필수,ARC093,구조시스템설계,3(3)
4학년/2학기,전공선택,ARC210,현장실습1,3(3)
4학년/2학기,전공선택,ARC241,건축경관과입면,3(4)
4학년/2학기,전공선택,ARC204,건축설비설계,2(4)
4학년/2학기,전공선택,T00147,공업논리및논술,2(2)
4학년/2학기,전공선택,ARC211,현장실습2,3(3)
5학년/1학기,전공필수,ARC194,건축설계(7)(종합설계),6(12)
5학년/1학기,전공필수,ARC057,건축실무,2(2)
5학년/1학기,전공선택,ARC052,건축세미나,2(2)
5학년/2학기,전공필수,ARC044,건축설계(8),4(8)
