학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00145,미분적분학(1),3(3)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00361,일반물리(1),3(3)
1학년/1학기,교양필수,U00364,일반물리실험(1),1(2)
1학년/1학기,교양필수,U00374,일반화학(1),3(3)
1학년/1학기,교양필수,U00377,일반화학실험(1),1(2)
1학년/2학기,교양필수,U00258,실용영어,3(3)
1학년/2학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/2학기,교양필수,U00365,일반물리실험(2),1(2)
1학년/2학기,교양필수,U00378,일반화학실험(2),1(2)
1학년/2학기,전공선택,MSE341,신소재입문,3(3)
2학년/1학기,전공핵심,MSE029,공업수학(1),3(3)
2학년/1학기,전공핵심,MSE198,재료공학기초실험(1),2(4)
2학년/1학기,전공핵심,MSE222,재료열역학,3(3)
2학년/1학기,전공선택,MSE004,CAD및실습,2(3)
2학년/1학기,전공선택,MSE193,재료공학개론(1),3(3)
2학년/2학기,전공핵심,MSE199,재료공학기초실험(2),2(4)
2학년/2학기,전공핵심,MSE226,재료의구조및결함,3(3)
2학년/2학기,전공선택,MSE194,재료공학개론(2),3(3)
2학년/2학기,전공선택,MSE220,재료상평형,3(3)
2학년/2학기,전공선택,MSE244,전기전자공학,3(3)
2학년/2학기,전공선택,MSE246,전기화학,3(3)
3학년/1학기,전공핵심,MSE137,상변태,3(3)
3학년/1학기,전공핵심,MSE139,세라믹공정,3(3)
3학년/1학기,전공핵심,MSE208,재료금속강도학,3(3)
3학년/1학기,전공핵심,MSE227,재료전자물성론,3(3)
3학년/1학기,전공선택,MSE009,X-선회절및실습,3(4)
3학년/1학기,전공선택,MSE053,금속공학실험,2(4)
3학년/1학기,전공선택,MSE334,금속부식학,3(3)
3학년/1학기,전공선택,MSE142,세라믹공정실험,2(4)
3학년/2학기,전공핵심,MSE069,금속재료,3(3)
3학년/2학기,전공핵심,MSE122,반도체재료,3(3)
3학년/2학기,전공핵심,MSE345,이차전지소재및소자,3(3)
3학년/2학기,전공선택,MSE001,6-시그마,3(3)
3학년/2학기,전공선택,T00177,공업교재연구및지도법,3(3)
3학년/2학기,전공선택,MSE344,금속조직제어,3(3)
3학년/2학기,전공선택,MSE124,복합재료,3(3)
3학년/2학기,전공선택,MSE321,소결공정,3(3)
3학년/2학기,전공선택,MSE342,신소재공학세미나,1(1)
3학년/2학기,전공선택,MSE256,전자부품재료,3(3)
3학년/2학기,전공선택,MSE267,전자재료실험,2(4)
3학년/2학기,전공선택,MSE347,표면및박막공정,3(3)
3학년/2학기,전공선택,MSE304,현장실습(신소재1),3(3)
4학년/1학기,전공핵심,MSE175,용접공학,3(3)
4학년/1학기,전공핵심,MSE346,첨단금속가공,3(3)
4학년/1학기,전공선택,T00161,공업교육론,3(3)
4학년/1학기,전공선택,MSE118,반도체공정,3(3)
4학년/1학기,전공선택,MSE149,수소연료전지,3(3)
4학년/1학기,전공선택,MSE318,재료공학캡스톤디자인(1),2(4)
4학년/1학기,전공선택,MSE305,현장실습(신소재2),3(3)
4학년/2학기,전공선택,T00147,공업논리및논술,2(2)
4학년/2학기,전공선택,MSE319,재료공학캡스톤디자인(2),2(4)
4학년/2학기,전공선택,MSE209,재료기기분석,3(3)
