학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00258,실용영어,3(3)
1학년/1학기,교양필수,U00207,심리학의이해,3(3)
1학년/1학기,교양필수,U00819,언어의비밀,3(3)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,전공필수,KES017,한국어교육개론,3(3)
1학년/2학기,전공선택,KES012,이중언어교육개론,3(3)
2학년/1학기,전공필수,KES016,한국어교수법,3(3)
2학년/1학기,전공선택,KES003,글로벌의사소통과문화,3(3)
2학년/1학기,전공선택,KES015,한국어교사문화와이해,3(3)
2학년/1학기,전공선택,KES033,한국어어문규범,3(3)
2학년/1학기,전공선택,KES031,한국의생활문화론,3(3)
2학년/2학기,전공선택,KES002,국제매너와언어예절,3(3)
2학년/2학기,전공선택,KES034,소통과공감의한국어기술,3(3)
2학년/2학기,전공선택,KES009,심리언어학,3(3)
2학년/2학기,전공선택,KES010,외국어교수법,3(3)
2학년/2학기,전공선택,KES023,한국어문법교육론,3(3)
2학년/2학기,전공선택,KES025,한국어어휘교육론,3(3)
2학년/2학기,전공선택,KES027,한국어이해교육론,3(3)
3학년/1학기,전공선택,KES005,글로벌커뮤니케이션이해,3(3)
3학년/1학기,전공선택,KES006,사회언어학,3(3)
3학년/1학기,전공선택,KES011,외국어습득과오류분석,3(3)
3학년/1학기,전공선택,KES024,한국어발음교육론,3(3)
3학년/1학기,전공선택,KES029,한국어표현교육론,3(3)
3학년/2학기,전공선택,KES004,글로벌인터뷰와발표스킬,3(3)
3학년/2학기,전공선택,KES014,한국문화교육론,3(3)
3학년/2학기,전공선택,KES018,한국어교육과정,3(3)
3학년/2학기,전공선택,KES022,한국어교재론,3(3)
3학년/2학기,전공선택,KES028,한국어평가론,3(3)
3학년/2학기,전공선택,KES032,현대한국사회의이해,3(3)
4학년/1학기,전공필수,KES019,한국어교육실습(1),3(3)
4학년/1학기,전공선택,KES035,교육인적콘텐츠자료의이해와설계,3(3)
4학년/1학기,전공선택,KES007,세계의한국어교육,3(3)
4학년/1학기,전공선택,KES008,세계시민교육의이해,3(3)
4학년/1학기,전공선택,KES030,한국어화용교육론,3(3)
4학년/2학기,전공필수,KES020,한국어교육실습(2),3(3)
4학년/2학기,전공선택,KES001,국제관계와외교,3(3)
4학년/2학기,전공선택,KES026,한국어어휘의이해교육,3(3)
