학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00015,경영학의이해,3(3)
1학년/1학기,교양필수,U00822,글로벌거시스의이해,3(3)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00066,기업회의의이해,3(3)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00335,응용통계학,3(3)
2학년/1학기,전공핵심,GBU006,글로벌경영학,3(3)
2학년/1학기,전공핵심,GBU027,비즈니스경제학1,3(3)
2학년/1학기,전공선택,GBU021,글로벌비즈니스영어1,3(3)
2학년/1학기,전공선택,GBU023,글로벌비즈니스중국어1,3(3)
2학년/1학기,전공선택,GBU016,컴퓨터활용과프로그래밍,3(4)
2학년/2학기,전공핵심,GBU002,무역실무,3(3)
2학년/2학기,전공핵심,GBU028,비즈니스경제학2,3(3)
2학년/2학기,전공선택,GBU022,글로벌비즈니스영어2,3(3)
2학년/2학기,전공선택,GBU024,글로벌비즈니스중국어2,3(3)
2학년/2학기,전공선택,GBU017,비즈니스코딩기초활용,3(3)
3학년/1학기,전공핵심,EBT171,기업재무의이해,3(3)
3학년/1학기,전공핵심,GBU001,마케팅원론,3(3)
3학년/1학기,전공선택,GBU015,빅데이터분석과응용,3(3)
3학년/1학기,전공선택,GBU003,인적자원관리론,3(3)
3학년/2학기,전공핵심,GBU005,글로벌경영전략,3(3)
3학년/2학기,전공핵심,GBU007,글로벌마케팅,3(3)
3학년/2학기,전공핵심,GBU008,글로벌재무관리,3(3)
3학년/2학기,전공핵심,GBU031,디지털무역,3(3)
3학년/2학기,전공선택,GBU032,국제물류비즈니스사례분석,3(3)
3학년/2학기,전공선택,GBU030,글로벌시대의창업윤리,3(3)
4학년/1학기,전공핵심,GBU018,국제물류,3(3)
4학년/1학기,전공선택,GBU011,글로벌창업,3(3)
4학년/1학기,전공선택,GBU009,생산운영관리,3(3)
4학년/1학기,전공선택,GBU012,창업설계(캡스톤디자인)(1),3(6)
4학년/2학기,전공핵심,GBU020,글로벌비즈니스세미나,3(3)
4학년/2학기,전공선택,GBU014,국제비즈니스협상,3(3)
4학년/2학기,전공선택,GBU019,글로벌기업윤리,3(3)
4학년/2학기,전공선택,GBU025,글로벌인턴십,3(3)
4학년/2학기,전공선택,GBU013,창업설계(캡스톤디자인)(2),3(6)
