학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00800,계열실무영어,3(3)
1학년/1학기,교양필수,U00821,기초중국어번역연습,3(3)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00302,영문독해,3(3)
1학년/1학기,교양필수,U00456,초급중국어(1),3(3)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00250,시사영어강독,3(3)
1학년/2학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/2학기,교양필수,U00336,의사소통기술,3(3)
1학년/2학기,교양필수,U00457,초급중국어(2),3(3)
1학년/2학기,전공선택,IAT001,영미문화와사회,3(3)
1학년/2학기,전공선택,IAT002,한중기초어휘및수문형,3(3)
2학년/1학기,전공핵심,EIT007,실용영문번역연습,3(3)
2학년/1학기,전공핵심,EIT009,영미문학개론,3(3)
2학년/1학기,전공핵심,EIT021,영어통번역개론,3(3)
2학년/1학기,전공선택,EIT001,영어작문(1),3(3)
2학년/1학기,전공선택,EIT020,영어청취,3(3)
2학년/1학기,전공선택,EIT003,영어회화(1),3(3)
2학년/2학기,전공핵심,EIT005,영어학의이해,3(3)
2학년/2학기,전공핵심,EIT023,영한번역,3(3)
2학년/2학기,전공선택,EIT013,멀티미디어영어,3(3)
2학년/2학기,전공선택,EIT017,실전영어연습,3(3)
2학년/2학기,전공선택,EIT002,영어작문(2),3(3)
2학년/2학기,전공선택,EIT004,영어회화(2),3(3)
3학년/1학기,전공핵심,EIT006,영어발음과연습,3(3)
3학년/1학기,전공핵심,EIT024,영한통역,3(3)
3학년/1학기,전공선택,EIT026,드라마영어,3(3)
3학년/1학기,전공선택,EIT015,미디어영어청취,3(3)
3학년/1학기,전공선택,EIT025,한영번역,3(3)
3학년/2학기,전공핵심,EIT026,한영통역,3(3)
3학년/2학기,전공선택,EIT016,스피킹실전연습,3(3)
3학년/2학기,전공선택,EIT018,영미문학번역,3(3)
3학년/2학기,전공선택,EIT019,영어번역실무,3(3)
3학년/2학기,전공선택,EIT011,영어음성분석실습,3(3)
4학년/1학기,전공선택,EIT014,무역영어통번역,3(3)
4학년/1학기,전공선택,EIT010,영어프레젠테이션,3(3)
4학년/2학기,전공핵심,EIT008,영어인터뷰실습,3(3)
4학년/2학기,전공선택,EIT022,영어통역실무,3(3)
