학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
2학년/1학기,전공핵심,ADM015,AI를위한수학 I,3(3)
2학년/1학기,전공핵심,ADM008,프로그래밍기초,3(3)
2학년/1학기,전공선택,ADM017,C++프로그래밍,3(4)
2학년/1학기,전공선택,ADM013,오픈소스SW의이해,2(2)
2학년/2학기,전공핵심,ADM006,JAVA프로그래밍,3(4)
2학년/2학기,전공핵심,ADM020,웹프로그래밍 I,3(3)
2학년/2학기,전공핵심,ADM005,컴퓨터구조,3(3)
2학년/2학기,전공선택,ADM010,데이터분석,3(3)
3학년/1학기,전공핵심,ADM019,기계학습,3(3)
3학년/1학기,전공핵심,ADM003,운영체제,3(3)
3학년/1학기,전공핵심,ADM004,자료구조,3(3)
3학년/1학기,전공핵심,ADM024,현장실습(소프트웨어응용),3(3)
3학년/1학기,전공선택,ADM023,임베디드시스템(Arduino),3(4)
3학년/2학기,전공핵심,ADM014,AI경영전략,3(3)
3학년/2학기,전공핵심,ADM016,AI를위한수학 II,3(3)
3학년/2학기,전공핵심,ADM011,딥러닝,3(3)
3학년/2학기,전공선택,ADM001,데이터베이스,3(3)
3학년/2학기,전공선택,ADM002,알고리즘,3(3)
4학년/1학기,전공핵심,ADM018,금융데이터분석과투자전략,3(3)
4학년/1학기,전공핵심,ADM007,빅데이터응용,3(3)
4학년/1학기,전공핵심,ADM021,융합CDP(1),2(4)
4학년/1학기,전공핵심,ADM024,현장실습(소프트웨어응용),3(3)
4학년/2학기,전공핵심,ADM022,융합CDP(2),2(4)
4학년/2학기,전공핵심,ADM024,현장실습(소프트웨어응용),3(3)
4학년/2학기,전공선택,ADM009,강화학습,3(3)
4학년/2학기,전공선택,ADM012,자연어처리,3(3)
