학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00889,ChatGPT의이해와활용,2(2)
1학년/1학기,교양필수,U00801,C프로그래밍,3(3)
1학년/1학기,교양필수,U00017,경제학의이해,3(3)
1학년/1학기,교양필수,U00210,생활법률,3(3)
1학년/1학기,교양필수,U00632,영어프레젠테이션,3(3)
1학년/1학기,전공선택,DSM012,공학입문설계,2(2)
1학년/2학기,교양필수,U00892,Excel의이해,2(2)
1학년/2학기,교양필수,U00728,디지털시대의예술문화,3(3)
1학년/2학기,교양필수,U00816,자산관리와인생재무제표,3(3)
1학년/2학기,전공핵심,DSM030,스마트모빌리티개론,3(3)
1학년/2학기,전공선택,DSM013,3D모델링,3(3)
1학년/2학기,전공선택,DSM018,MatLAB프로그래밍,3(3)
2학년/1학기,교양필수,U00890,파이썬기초프로그래밍,3(3)
2학년/1학기,전공핵심,DSM019,기계동작의원리,3(3)
2학년/1학기,전공선택,DSM016,고급프로그래밍,3(3)
2학년/1학기,전공선택,DSM001,공업수학,3(3)
2학년/1학기,전공선택,DSM003,디지털신호처리,3(3)
2학년/1학기,전공선택,DSM004,디지털회로,3(3)
2학년/1학기,전공선택,DSM014,미래자동차및대체에너지,3(3)
2학년/2학기,교양필수,U00893,R기반빅데이터분석의이해,3(3)
2학년/2학기,전공핵심,DSM020,기계학습및인공지능,3(3)
2학년/2학기,전공선택,DSM005,메카트로닉스,3(3)
2학년/2학기,전공선택,DSM027,모빌리티확률과통계,3(3)
2학년/2학기,전공선택,DSM032,운영체제및보안,3(3)
2학년/2학기,전공선택,DSM008,정역학,3(3)
3학년/1학기,전공핵심,DSM023,모빌리티기구설계,3(3)
3학년/1학기,전공선택,DSM002,기계진동학,3(3)
3학년/1학기,전공선택,DSM022,데이터구조및알고리즘,3(3)
3학년/1학기,전공선택,DSM006,열역학,3(3)
3학년/1학기,전공선택,DSM009,컴퓨터구조,3(3)
3학년/2학기,전공핵심,DSM007,자동제어,3(3)
3학년/2학기,전공선택,DSM021,네트워크및통신보안,3(3)
3학년/2학기,전공선택,DSM024,모빌리티동역학,3(3)
3학년/2학기,전공선택,DSM010,전기전자공학개론,3(3)
3학년/2학기,전공선택,DSM034,전산기이용기계설계,3(3)
4학년/1학기,전공핵심,DSM017,ROS프로그래밍,3(3)
4학년/1학기,전공선택,DSM025,모빌리티비전,3(3)
4학년/1학기,전공선택,DSM028,센서이론,3(3)
4학년/1학기,전공선택,DSM029,스마트공정설계,3(3)
4학년/1학기,전공선택,DSM011,임베디드시스템,3(3)
4학년/2학기,전공선택,DSM026,모빌리티신뢰성공학,3(3)
4학년/2학기,전공선택,DSM031,스마트모빌리티세미나,3(3)
4학년/2학기,전공선택,DSM033,인간로봇상호작용,3(3)
4학년/2학기,전공선택,DSM035,지능시스템설계,3(3)
