학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00258,실용영어,3(3)
1학년/1학기,교양필수,U00514,행렬및행렬식,3(3)
1학년/2학기,교양필수,U00801,C프로그래밍,3(3)
1학년/2학기,교양필수,U00145,미분적분학(1),3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00469,통계학(1),3(3)
2학년/1학기,전공핵심,SCM024,보안기초,3(3)
2학년/1학기,전공핵심,SCM014,자바프로그래밍및실습,3(4)
2학년/1학기,전공선택,SCM016,공학입문설계,2(2)
2학년/1학기,전공선택,SCM001,논리회로,3(3)
2학년/1학기,전공선택,SCM006,이산수학,3(3)
2학년/1학기,전공선택,SCM030,통계분석및모델링,3(3)
2학년/2학기,전공핵심,SCM036,오픈소스SW의이해,2(2)
2학년/2학기,전공핵심,SCM027,인공지능기초,3(3)
2학년/2학기,전공핵심,SCM007,자료구조,3(3)
2학년/2학기,전공선택,SCM017,시스템프로그래밍및보안,3(3)
2학년/2학기,전공선택,SCM008,컴퓨터구조,3(3)
2학년/2학기,전공선택,SCM010,컴퓨터네트워크,3(4)
3학년/1학기,전공핵심,SCM023,딥러닝,3(3)
3학년/1학기,전공핵심,SCM004,알고리즘,3(3)
3학년/1학기,전공핵심,SCM035,오픈소스SW설계,2(2)
3학년/1학기,전공핵심,SCM005,운영체제,3(3)
3학년/1학기,전공선택,SCM026,인공지능과컴퓨터비전,3(3)
3학년/1학기,전공선택,SCM033,빅데이터개론,3(3)
3학년/1학기,전공선택,SCM011,웹프로그래밍,3(3)
3학년/2학기,전공핵심,SCM021,강화학습,3(3)
3학년/2학기,전공핵심,SCM012,데이터마이닝,3(3)
3학년/2학기,전공핵심,SCM025,블록체인,3(3)
3학년/2학기,전공핵심,SCM003,소프트웨어공학,3(3)
3학년/2학기,전공선택,SCM002,데이터베이스,3(3)
3학년/2학기,전공선택,SCM015,모바일프로그래밍,3(3)
3학년/2학기,전공선택,SCM013,소프트웨어프로젝트,2(4)
3학년/2학기,전공선택,SCM037,현장실습(소프트웨어),3(3)
4학년/1학기,전공핵심,SCM029,자연어처리,3(3)
4학년/1학기,전공선택,SCM031,MIDAS종합설계(1),2(2)
4학년/1학기,전공선택,SCM022,네트워크보안및관제,3(3)
4학년/1학기,전공선택,SCM018,빅데이터응용,3(3)
4학년/1학기,전공선택,SCM034,산업체요구문제분석,3(3)
4학년/1학기,전공선택,SCM037,현장실습(소프트웨어),3(3)
4학년/2학기,전공선택,SCM020,4차산업혁명과취업/현장기술세미나,1(1)
4학년/2학기,전공선택,SCM032,MIDAS종합설계(2),2(2)
4학년/2학기,전공선택,SCM019,산학과제공동연구,2(2)
4학년/2학기,전공선택,SCM028,인공지능및보안,3(3)
4학년/2학기,전공선택,SCM009,컴퓨터그래픽스,3(3)
