학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00258,실용영어,3(3)
1학년/1학기,교양필수,U00514,행렬및행렬식,3(3)
1학년/2학기,교양필수,U00801,C프로그래밍,3(3)
1학년/2학기,교양필수,U00145,미분적분학(1),3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00469,통계학(1),3(3)
2학년/1학기,전공핵심,CEM001,논리회로,3(3)
2학년/1학기,전공핵심,CEM002,논리회로실험,1(2)
2학년/1학기,전공핵심,CEM050,오픈소스SW의이해,2(2)
2학년/1학기,전공핵심,CEM017,프로그래밍언어,3(4)
2학년/1학기,전공선택,CEM026,공학입문설계,2(2)
2학년/1학기,전공선택,CEM010,이산수학,3(3)
2학년/2학기,전공핵심,CEM005,마이크로프로세서,2(2)
2학년/2학기,전공핵심,CEM006,마이크로프로세서실험,1(2)
2학년/2학기,전공핵심,CEM031,시스템프로그래밍및보안,3(3)
2학년/2학기,전공핵심,CEM012,자료구조,3(3)
2학년/2학기,전공선택,CEM024,자바프로그래밍및실습,3(4)
2학년/2학기,전공선택,CEM004,데이터통신,2(2)
2학년/2학기,전공선택,CEM034,자료구조실습,1(2)
3학년/1학기,전공핵심,CEM036,IoT와임베디드소프트웨어,3(4)
3학년/1학기,전공핵심,CEM008,알고리즘,3(3)
3학년/1학기,전공핵심,CEM049,오픈소스SW설계,2(2)
3학년/1학기,전공핵심,CEM009,운영체제,3(3)
3학년/1학기,전공선택,CEM016,컴퓨터네트워크,3(4)
3학년/1학기,전공선택,CEM015,컴퓨터그래픽스,3(3)
3학년/2학기,전공핵심,CEM003,데이터베이스,3(3)
3학년/2학기,전공핵심,CEM007,소프트웨어공학,3(3)
3학년/2학기,전공핵심,CEM014,컴퓨터구조,3(3)
3학년/2학기,전공선택,CEM038,데이터분석과머신러닝,3(3)
3학년/2학기,전공선택,CEM025,모바일프로그래밍,3(3)
3학년/2학기,전공선택,T00056,상업정보교육론,3(3)
3학년/2학기,전공선택,CEM023,소프트웨어프로젝트,2(4)
3학년/2학기,전공선택,CEM030,컴퓨터비전,3(3)
4학년/1학기,전공핵심,CEM046,MIDAS종합설계(1),2(2)
4학년/1학기,전공선택,CEM040,IT디자인융합프로젝트(종합설계),2(4)
4학년/1학기,전공선택,CEM037,네트워크보안과블록체인,2(2)
4학년/1학기,전공선택,CEM048,메타버스프로그래밍,2(2)
4학년/1학기,전공선택,CEM032,산업체요구문제연구,3(3)
4학년/1학기,전공선택,T00057,상업정보교재연구및지도법,3(3)
4학년/1학기,전공선택,CEM020,웹프로그래밍,2(2)
4학년/1학기,전공선택,CEM011,인공지능,3(3)
4학년/1학기,전공선택,CEM019,현장실습(컴퓨터),3(3)
4학년/2학기,전공선택,CEM035,4차산업혁명과취업/현장기술세미나,1(1)
4학년/2학기,전공선택,CEM045,AI게임프로그래밍,2(2)
4학년/2학기,전공선택,CEM051,AI기반빅데이터분석을통한지역재생정보활용,3(3)
4학년/2학기,전공선택,CEM029,ICT기술과지식재산권,2(2)
4학년/2학기,전공선택,CEM047,MIDAS종합설계(2),2(2)
4학년/2학기,전공선택,CEM042,데이터베이스응용,3(3)
4학년/2학기,전공선택,CEM018,멀티미디어시스템,2(2)
4학년/2학기,전공선택,CEM043,빅데이터분석및응용,3(3)
4학년/2학기,전공선택,CEM033,산학과제공동연구,2(2)
4학년/2학기,전공선택,CEM044,산학연계PBL,3(4)
4학년/2학기,전공선택,T00157,상업정보논리및논술,2(2)
4학년/2학기,전공선택,CEM041,웹프레임워크,2(2)
4학년/2학기,전공선택,CEM027,임베디드운영체제,3(3)
4학년/2학기,전공선택,CEM013,컴파일러,2(2)
4학년/2학기,전공선택,CEM039,클라우드컴퓨팅,2(2)
4학년/2학기,전공선택,CEM019,현장실습(컴퓨터),3(3)
