학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00270,심리학의이해,3(3)
1학년/1학기,전공필수,ECE044,유아교육론,3(3)
1학년/1학기,전공선택,ECE088,유아교육사,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00336,의사소통기술,3(3)
1학년/2학기,전공필수,ECE028,영유아발달,3(3)
1학년/2학기,전공선택,ECE013,놀이지도,3(4)
1학년/2학기,교직,T00023,교육학개론,2(2)
2학년/1학기,전공필수,ECE075,아동권리와복지,3(3)
2학년/1학기,전공필수,ECE050,유아사회교육,3(3)
2학년/1학기,전공선택,ECE085,아동문학,3(3)
2학년/1학기,전공선택,ECE020,아동미술,3(4)
2학년/1학기,전공선택,ECE055,유아음악교육,3(4)
2학년/1학기,교직,T00017,교육사회,2(2)
2학년/1학기,교직,T00019,교육심리,2(2)
2학년/1학기,교직,T00060,생활지도,2(2)
2학년/2학기,전공필수,ECE082,유아교과교재연구및지도법,3(4)
2학년/2학기,전공필수,ECE083,유아교과논리및논술,3(3)
2학년/2학기,전공필수,ECE040,유아교육과정,3(3)
2학년/2학기,전공선택,ECE089,유아멀티미디어교육,3(3)
2학년/2학기,교직,T00025,교육행정및교육경영,2(2)
2학년/2학기,교직,T00186,디지털교육,2(2)
2학년/2학기,교직,T00184,학교폭력예방및학생의이해,2(2)
3학년/1학기,전공필수,ECE051,유아언어교육,3(3)
3학년/1학기,전공선택,ECE074,아동관찰및행동연구,3(4)
3학년/1학기,전공선택,ECE034,영유아프로그램개발과평가,3(3)
3학년/1학기,전공선택,ECE048,유아동작교육,3(4)
3학년/1학기,전공선택,ECE086,유아수학교육,3(3)
3학년/1학기,교직,T00011,교육과정,2(2)
3학년/1학기,교직,T00022,교육평가,2(2)
3학년/2학기,전공선택,ECE084,미래유아교육환경변화와교사,1(1)
3학년/2학기,전공선택,ECE019,아동건강교육,3(3)
3학년/2학기,전공선택,ECE087,영유아교사인성론,3(3)
3학년/2학기,전공선택,ECE076,영유아교사상담,3(4)
3학년/2학기,전공선택,ECE034,유아과학교육,3(3)
3학년/2학기,교직,T00015,교육방법및교육공학,2(2)
3학년/2학기,교직,T00021,교육철학및교육사,2(2)
3학년/2학기,교직,T00026,교직실무,2(2)
3학년/2학기,교직,T00126,특수교육학개론,2(2)
4학년/1학기,전공필수,ECE016,보육실습,3(3)
4학년/1학기,전공선택,ECE081,유아교과교육론,3(3)
4학년/1학기,전공선택,ECE080,영유아교육현장의이해,3(3)
4학년/1학기,교직,T00016,교육봉사활동,2(2)
4학년/1학기,교직,T00185,학교현장실습,2(2)
4학년/2학기,전공필수,ECE018,부모교육,3(3)
4학년/2학기,전공선택,ECE026,영유아안전관리,3(3)
4학년/2학기,전공선택,ECE042,유아교육기관운영관리,3(3)
4학년/2학기,교직,T00016,교육봉사활동,2(2)
