학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00217,생활한자,3(3)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,전공선택,SKE018,문자학개론,3(3)
1학년/1학기,전공선택,SKE095,선현들의글과삶,3(3)
1학년/2학기,교양필수,U00026,고전에만나는리더,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00340,이야기고사성어,3(3)
1학년/2학기,교양필수,U00565,한국사,3(3)
1학년/2학기,전공필수,SKE074,한문학개론,3(3)
1학년/2학기,전공필수,SKE081,한시선독,3(3)
1학년/2학기,교직,T00023,교육학개론,2(2)
2학년/1학기,전공필수,SKE092,논어강독,3(3)
2학년/1학기,전공필수,SKE071,한문소설독,3(3)
2학년/1학기,전공선택,SKE094,미래한문교육환경변화와교사,1(1)
2학년/1학기,전공선택,SKE039,중국역사선독,3(3)
2학년/1학기,전공선택,SKE086,한국고전시기상,2(2)
2학년/1학기,교직,T00017,교육사회,2(2)
2학년/1학기,교직,T00019,교육심리,2(2)
2학년/1학기,교직,T00060,생활지도,2(2)
2학년/2학기,전공필수,SKE017,나란소문선독,2(2)
2학년/2학기,전공필수,SKE093,악가독독,2(2)
2학년/2학기,전공필수,SKE065,한문문법,3(3)
2학년/2학기,전공필수,SKE069,한문소설론,2(2)
2학년/2학기,교직,T00025,교육행정및교육경영,2(2)
2학년/2학기,교직,T00186,디지털교육,2(2)
2학년/2학기,교직,T00184,학교폭력예방및학생의이해,2(2)
3학년/1학기,전공필수,SKE058,한문교육론,3(3)
3학년/1학기,전공필수,SKE062,한문작연습,3(3)
3학년/1학기,전공필수,SKE076,한문학사,3(3)
3학년/1학기,전공선택,SKE027,역대산문선독,3(3)
3학년/1학기,교직,T00011,교육과정,2(2)
3학년/1학기,교직,T00022,교육평가,2(2)
3학년/1학기,교직,T00026,교직실무,2(2)
3학년/2학기,전공필수,SKE029,이조산문선독,3(3)
3학년/2학기,전공필수,SKE087,한문고전읽기,3(3)
3학년/2학기,전공필수,SKE061,한문교재연구및지도법,3(3)
3학년/2학기,전공선택,SKE026,시화선독,2(2)
3학년/2학기,교직,T00015,교육방법및교육공학,2(2)
3학년/2학기,교직,T00021,교육철학및교육사,2(2)
3학년/2학기,교직,T00126,특수교육학개론,2(2)
4학년/1학기,전공필수,SKE075,한문학비평론,3(3)
4학년/1학기,전공필수,SKE080,한시론,3(3)
4학년/1학기,전공선택,SKE090,한문과한문학,2(2)
4학년/1학기,교직,T00016,교육봉사활동,2(2)
4학년/1학기,교직,T00185,학교현장실습,2(2)
4학년/2학기,전공필수,SKE063,한문논리및논술,2(2)
4학년/2학기,전공선택,SKE088,제자백가의이해,2(2)
4학년/2학기,전공선택,SKE089,한국역사사상의이해,2(2)
4학년/2학기,교직,T00016,교육봉사활동,2(2)
