학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00107,독서와토론,3(3)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00285,언론정보와현대사회,3(3)
1학년/2학기,교양필수,U00802,빅데이터와지능정보사회의이해,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,전공선택,MAC017,언론정보학의이해,3(3)
2학년/1학기,전공선택,MAC035,미디어글쓰기와말하기,3(4)
2학년/1학기,전공선택,MAC036,미디어와PR,3(3)
2학년/1학기,전공선택,MAC027,미디어와기술,3(3)
2학년/1학기,전공선택,MAC002,영상커뮤니케이션,3(3)
2학년/1학기,전공선택,MAC040,융복합미디어와콘텐츠,3(4)
2학년/1학기,전공선택,MAC016,인터넷의이해와활용,3(3)
2학년/1학기,전공선택,MAC005,커뮤니케이션조사방법론,3(3)
2학년/2학기,전공선택,MAC008,광고기획,3(3)
2학년/2학기,전공선택,MAC018,디지털스토리텔링,3(4)
2학년/2학기,전공선택,MAC028,미디어효과의기초,3(3)
2학년/2학기,전공선택,MAC004,영화론,3(3)
2학년/2학기,전공선택,MAC022,온라인및모바일저널리즘의실제,3(3)
2학년/2학기,전공선택,MAC006,커뮤니케이션통계학,3(3)
3학년/1학기,전공선택,MAC007,광고CREATIVE,3(3)
3학년/1학기,전공선택,MAC026,미디어경제학,3(3)
3학년/1학기,전공선택,MAC011,사진저널리즘의실제,3(4)
3학년/1학기,전공선택,MAC012,설득의원리와실제,3(3)
3학년/1학기,전공선택,MAC014,영상기획의실제,3(6)
3학년/1학기,전공선택,MAC019,인간-컴퓨터상호작용과인포그래픽스,3(3)
3학년/1학기,전공선택,MAC003,커뮤니케이션이론,3(3)
3학년/2학기,전공선택,MAC001,광고효과분석,3(3)
3학년/2학기,전공선택,MAC025,글로벌커뮤니케이션,3(3)
3학년/2학기,전공선택,MAC010,사이버커뮤니케이션과네트워크분석,3(3)
3학년/2학기,전공선택,MAC038,스토리텔링과스토리쇼잉,3(3)
3학년/2학기,전공선택,MAC013,스피치의원리와실제,3(3)
3학년/2학기,전공선택,MAC015,영상제작실습,3(6)
3학년/2학기,전공선택,MAC034,현장실습(언론정보),3(3)
4학년/1학기,전공선택,MAC020,디지털시대의위기커뮤니케이션,3(3)
4학년/1학기,전공선택,MAC023,웹보메트릭스빅데이터와계량정보학,3(3)
4학년/1학기,전공선택,MAC034,현장실습(언론정보),3(3)
4학년/2학기,전공선택,MAC030,미디어의법제와정책,3(3)
4학년/2학기,전공선택,MAC029,보건커뮤니케이션전략,3(3)
4학년/2학기,전공선택,MAC031,산학협력혁신소통론,3(3)
4학년/2학기,전공선택,MAC021,오투오미디어전략과활용,3(3)
4학년/2학기,전공선택,MAC039,지역재생과디지털문화기획,3(3)
