학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00562,생명과학입문,3(3)
1학년/1학기,교양필수,U00374,일반화학(1),3(3)
1학년/1학기,교양필수,U00469,통계학(1),3(3)
1학년/1학기,전공선택,FST120,전학세미나,2(2)
1학년/2학기,교양필수,U00802,빅데이터와지능정보사회이해,3(3)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00336,의사소통기술,3(3)
1학년/2학기,전공핵심,FST062,식품유기화학,3(3)
1학년/2학기,전공선택,FST120,전학세미나,2(2)
2학년/1학기,전공핵심,FST019,분석화학,3(3)
2학년/1학기,전공핵심,FST042,식품미생물학,3(3)
2학년/1학기,전공핵심,FST113,식품생화학,3(3)
2학년/1학기,전공선택,FST020,분석화학실험,2(4)
2학년/1학기,전공선택,FST045,식품미생물학실험,2(4)
2학년/1학기,전공선택,FST124,한국전통식품이론및제품개발실습,3(4)
2학년/2학기,전공핵심,FST009,농산식품가공학,3(3)
2학년/2학기,전공핵심,FST109,식품미생물대사학,3(3)
2학년/2학기,전공선택,FST123,물리화학이론및제품개발실습,3(4)
2학년/2학기,전공선택,FST010,농산식품가공학실습,2(4)
2학년/2학기,전공선택,T00039,농업교육론,3(3)
2학년/2학기,전공선택,FST116,식품생리생화학,3(3)
2학년/2학기,전공선택,FST052,식품생화학실험,2(4)
2학년/2학기,전공선택,FST078,영양학,3(3)
3학년/1학기,전공핵심,FST004,기능성식품학,3(3)
3학년/1학기,전공핵심,FST036,식품공학,3(3)
3학년/1학기,전공핵심,FST063,식품저장학,3(3)
3학년/1학기,전공핵심,FST069,식품화학,3(3)
3학년/1학기,전공핵심,FST101,축산식품가공학,3(3)
3학년/1학기,전공선택,T00152,농업논문작성,2(2)
3학년/1학기,전공선택,FST112,식품기기분석,3(3)
3학년/1학기,전공선택,FST072,식품화학실험,2(4)
3학년/1학기,전공선택,FST102,축산식품가공학실험,2(4)
3학년/2학기,전공핵심,FST047,식품생물공학,3(3)
3학년/2학기,전공핵심,FST058,식품위생학,3(3)
3학년/2학기,전공선택,T00040,농업교재연구및지도법,3(3)
3학년/2학기,전공선택,FST049,식품생물공학실험,2(4)
3학년/2학기,전공선택,FST110,식품소재화학,3(3)
3학년/2학기,전공선택,FST061,식품위생학실험,2(4)
4학년/1학기,전공선택,FST125,바이오캡스톤디자인(식품공학과)1,2(4)
4학년/1학기,전공선택,FST111,발효대사공학,3(3)
4학년/1학기,전공선택,FST117,식량과인간,3(3)
4학년/1학기,전공선택,FST115,식품공학캡스톤세미나,2(2)
4학년/1학기,전공선택,FST046,식품산업현장실습,3(3)
4학년/1학기,전공선택,FST066,식품포장학,3(3)
4학년/1학기,전공선택,FST119,천연물소재학,3(3)
4학년/2학기,전공핵심,FST056,식품알레르기와식품저항성,3(3)
4학년/2학기,전공핵심,FST114,식품효소공학,3(3)
4학년/2학기,전공선택,FST126,바이오캡스톤디자인(식품공학과)2,2(4)
4학년/2학기,전공선택,FST030,술과문화,3(3)
4학년/2학기,전공선택,FST041,식품관능평가론,3(3)
4학년/2학기,전공선택,FST046,식품산업현장실습,3(3)
