학년/학기,구분,학수번호,교과목명,학점(시간)
2학년/1학기,전공핵심,SP0065,발레테크닉(1),1(1.5)
2학년/1학기,전공핵심,SP0155,전공실기(3),2(3)
2학년/1학기,전공핵심,SP0231,현대무용테크닉(1),1(1.5)
2학년/1학기,전공선택,SP0014,기본실기(1),1(1.5)
2학년/1학기,전공선택,SP0240,기초실기워크숍(3),1(1.5)
2학년/1학기,전공선택,SP0038,무용교육론,2(2)
2학년/1학기,전공선택,SP0044,무용사,2(2)
2학년/1학기,전공선택,SP0251,무용치료,2(2)
2학년/1학기,전공선택,SP0151,재즈(1),1(1.5)
2학년/2학기,전공핵심,SP0066,발레테크닉(2),1(1.5)
2학년/2학기,전공핵심,SP0156,전공실기(4),2(3)
2학년/2학기,전공선택,SP0015,기본실기(2),1(1.5)
2학년/2학기,전공선택,SP0233,기초실기워크숍(4),1(1.5)
2학년/2학기,전공선택,SP0249,무용교수학습방법,2(2)
2학년/2학기,전공선택,SP0242,무용분장법,2(2)
2학년/2학기,전공선택,SP0120,연기법,2(2)
2학년/2학기,전공선택,SP0152,재즈(2),1(1.5)
2학년/2학기,전공선택,SP0223,현대무용테크닉(2),1(1.5)
3학년/1학기,전공핵심,SP0229,무용감상및비평,2(2)
3학년/1학기,전공핵심,SP0236,발레테크닉심화(1),1(1.5)
3학년/1학기,전공핵심,SP0157,전공실기(5),2(3)
3학년/1학기,전공핵심,SP0237,현대무용테크닉심화(1),1(1.5)
3학년/1학기,전공선택,SP0018,댄스스포츠(1),1(1.5)
3학년/1학기,전공선택,SP0244,창의적방법을통한무용교수법,2(2)
3학년/2학기,전공핵심,SP0245,발레테크닉심화(2),1(1.5)
3학년/2학기,전공핵심,SP0158,전공실기(6),2(3)
3학년/2학기,전공핵심,SP0238,현대무용테크닉심화(2),1(1.5)
3학년/2학기,전공선택,SP0019,댄스스포츠(2),1(1.5)
3학년/2학기,전공선택,SP0250,무용교육프로그램개발,2(2)
3학년/2학기,전공선택,SP0051,무용제작법,2(2)
3학년/2학기,전공선택,T00119,체육교재연구및지도법,3(3)
4학년/1학기,전공핵심,SP0243,기획제작및시연,2(2)
4학년/1학기,전공핵심,SP0253,무용작품연구(1),1(1.5)
4학년/1학기,전공핵심,SP0224,발레레퍼토리(1),1(1.5)
4학년/1학기,전공핵심,SP0159,전공실기(7),2(3)
4학년/1학기,전공핵심,SP0241,즉흥및안무법(1),1(1.5)
4학년/1학기,전공선택,SP0234,힙합&스트릿댄스(1),1(1.5)
4학년/1학기,전공선택,T00117,체육교육론,3(3)
4학년/1학기,전공선택,T00169,체육논리및논술,2(2)
4학년/2학기,전공핵심,SP0232,공연예술행정의이해,2(2)
4학년/2학기,전공핵심,SP0042,무용미학,2(2)
4학년/2학기,전공핵심,SP0254,무용작품연구(2),2(3)
4학년/2학기,전공핵심,SP0227,발레레퍼토리(2),1(1.5)
4학년/2학기,전공핵심,SP0160,전공실기(8),2(3)
4학년/2학기,전공핵심,SP0230,즉흥및안무법(2),1(1.5)
4학년/2학기,전공핵심,SP0235,힙합&스트릿댄스(2),1(1.5)
