학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,전공선택,ARC004,건축개론,2(2)
1학년/1학기,전공선택,FHS193,한국주거의이해,3(3)
1학년/2학기,전공선택,FHS173,주택과실내디자인,3(3)
2학년/1학기,전공선택,BUS080,HR과조직시스템의이해,3(3)
2학년/1학기,전공선택,HUM001,가족관계,3(3)
2학년/1학기,전공선택,MEC063,기계재료,3(3)
2학년/1학기,전공선택,INC002,논리회로,3(3)
2학년/1학기,전공선택,BUS008,마케팅원론,3(3)
2학년/1학기,전공선택,THE005,부부상담,3(3)
2학년/1학기,전공선택,FOR087,수목학,3(3)
2학년/1학기,전공선택,FAN040,식품학,3(3)
2학년/1학기,전공선택,CL0220,의류소재,3(4)
2학년/1학기,전공선택,CEM010,이산수학,3(3)
2학년/1학기,전공선택,FAN065,조리원리,3(3)
2학년/1학기,전공선택,INC015,프로그래밍언어,3(4)
2학년/2학기,전공선택,THE001,가정경영,3(3)
2학년/2학기,전공선택,HUM015,가족상담및가족치료,3(3)
2학년/2학기,전공선택,MEC042,기계공작법,3(3)
2학년/2학기,전공선택,CEM004,데이터통신,2(2)
2학년/2학기,전공선택,BUS011,소비자행동론,3(3)
2학년/2학기,전공선택,FOR086,수목생리학,3(3)
2학년/2학기,전공선택,ARC119,실내건축론,3(3)
2학년/2학기,전공선택,INC011,컴퓨터구조,3(3)
2학년/2학기,전공선택,CL0218,패션디자인론,3(3)
3학년/1학기,전공선택,T00151,기술가정논리및논술,2(2)
3학년/1학기,전공선택,THE012,의복재료와생활환경,3(3)
3학년/2학기,전공선택,ARC205,건축시공기술,2(2)
3학년/2학기,전공선택,ARC065,건축적산,2(2)
3학년/2학기,전공선택,T00036,기술가정교재연구및지도법,3(3)
3학년/2학기,전공선택,FAN037,식품위생학,3(3)
3학년/2학기,전공선택,FOR100,임목육종학,2(2)
3학년/2학기,전공선택,CL0105,입체패턴설계이론및실습,3(4)
3학년/2학기,전공선택,FHS255,주거단지와커뮤니티,3(3)
4학년/1학기,전공선택,T00001,가정교육론,3(3)
4학년/1학기,전공선택,THE002,기술가정교육론,3(3)
4학년/1학기,전공선택,MEC239,미래자동차및대체에너지,3(3)
4학년/1학기,전공선택,CEM011,인공지능,3(3)
4학년/2학기,전공선택,MEC157,자동차공학,3(3)
