학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/2학기,전공선택,KOR031,국어학입문,3(3)
2학년/1학기,전공선택,SOC101,가족사회학,3(3)
2학년/1학기,전공선택,KOR055,우리말소리의이해,3(3)
2학년/1학기,전공선택,ANT094,한국인과한국문화,3(3)
2학년/2학기,전공선택,MAC028,미디어효과의기초,3(3)
2학년/2학기,전공선택,SOC020,사회문제론,3(3)
2학년/2학기,전공선택,HST050,일본의역사와문화,3(3)
3학년/1학기,전공선택,KOR131,국어의미화용론,3(3)
3학년/1학기,전공선택,ANT122,문화변동과문화유산,3(3)
3학년/1학기,전공선택,MAC012,설득의원리와실제,3(3)
3학년/1학기,전공선택,SOC051,인구사회학,3(3)
3학년/2학기,전공선택,KOR022,국어방언의이해,3(3)
3학년/2학기,전공선택,MAC025,글로벌커뮤니케이션,3(3)
3학년/2학기,전공선택,HST044,동아시아현대사,3(3)
3학년/2학기,전공선택,SOC084,사회복지학개론,3(3)
3학년/2학기,전공선택,MAC038,스토리텔링과스토리쇼잉,3(3)
3학년/2학기,전공선택,ANT139,아시아소수종족과문화,3(3)
3학년/2학기,전공선택,HST065,영국의역사와문화,3(3)
3학년/2학기,전공선택,MCS001,이민·다문화가족복지론,3(3)
3학년/2학기,전공선택,ANT085,한국고고학,3(3)
4학년/1학기,전공선택,ANT026,문화인류학과현대사회,3(3)
4학년/1학기,전공선택,SOC075,이민·다문화현장실습,2(2)
4학년/1학기,전공선택,MCS002,이중언어교육론,3(3)
4학년/1학기,전공선택,SOC067,현대사회와대중문화,3(3)
4학년/2학기,전공선택,MAC021,오투오미디어전략과활용,3(3)
4학년/2학기,전공선택,MAC039,지역재생과디지털문화기획,3(3)
