학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/2학기,전공선택,ANT031,민속학개론,3(3)
1학년/2학기,전공선택,POL083,한국정치사,3(3)
2학년/1학기,전공선택,ANT002,경제와사회,3(3)
2학년/1학기,전공선택,PHI046,윤리학,3(3)
2학년/2학기,전공선택,EDU040,도덕발달심리학,3(3)
2학년/2학기,전공선택,PHI089,도덕윤리논리및논술,3(3)
2학년/2학기,전공선택,PHI078,동양철학원전강독,3(3)
2학년/2학기,전공선택,SOC020,사회문제론,3(3)
2학년/2학기,전공선택,EDU052,서양윤리사상과교육,3(3)
2학년/2학기,전공선택,EDU098,윤리사상과교육적인간이해,3(3)
3학년/1학기,전공선택,EDU041,도덕윤리교육론,3(3)
3학년/1학기,전공선택,T00170,사회교육론,3(3)
3학년/1학기,전공선택,EDU070,통일교육론,3(3)
3학년/1학기,전공선택,EDU073,평생교육론,3(3)
3학년/2학기,전공선택,EDU042,도덕윤리교재연구및지도법,3(3)
3학년/2학기,전공선택,POL035,북한정치론,3(3)
3학년/2학기,전공선택,SOC084,사회복지학개론,3(3)
3학년/2학기,전공선택,PHI047,응용윤리학,3(3)
4학년/1학기,전공선택,EDU044,동양교육사상,3(3)
4학년/1학기,전공선택,ANT026,문화인류학과현대사회,3(3)
4학년/1학기,전공선택,POL084,한국정치사상,3(3)
4학년/2학기,전공선택,EDU096,교육현장창의인성교육,3(3)
4학년/2학기,전공선택,PHI025,사회정치철학,3(3)
4학년/2학기,전공선택,PHI050,종교철학,3(3)
4학년/2학기,전공선택,EDU090,청소년교육론,3(3)
4학년/2학기,전공선택,EDU097,학교현장과교육문제,3(3)
